
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1000004372,4372,
1.65107,,Spot,2,1000004372,4373,
2.20813,,Spot,3,1000004372,4374,
2.4106,,Spot,4,1000004372,4375,
1.97224,,Spot,5,1000004372,4376,
2.21418,,Spot,6,1000004372,4377,
1.80635,,Spot,7,1000004372,4378,
2.60275,,Spot,8,1000004372,4379,
2.27222,,Spot,9,1000004372,4380,
2.66506,,Spot,10,1000004372,4381,
2.2542,,Spot,11,1000004372,4382,
2.06516,,Spot,12,1000004372,4383,
1.95158,,Spot,13,1000004372,4384,
2.37219,,Spot,14,1000004372,4385,
2.09088,,Spot,15,1000004372,4386,
1.9228,,Spot,16,1000004372,4388,
2.23827,,Spot,17,1000004372,4389,
1.60884,,Spot,18,1000004372,4390,
1.75299,,Spot,19,1000004372,4391,
1.6478,,Spot,20,1000004372,4392,
1.83256,,Spot,21,1000004372,4393,
1.66031,,Spot,22,1000004372,4394,
1.1035,,Spot,23,1000004372,4395,
1.5324,,Spot,24,1000004372,4396,
1.04946,,Spot,25,1000004372,4397,
1.48854,,Spot,26,1000004372,4398,
1.31073,,Spot,27,1000004372,4399,
1.0674,,Spot,28,1000004372,4400,
1.1745,,Spot,29,1000004372,4401,
0.456926,,Spot,30,1000004372,4402,
0.932466,,Spot,31,1000004372,4403,
1.53772,,Spot,32,1000004372,4404,
1.26922,,Spot,33,1000004372,4405,
1.45122,,Spot,34,1000004372,4406,
1.82569,,Spot,35,1000004372,4407,
1.58539,,Spot,36,1000004372,4408,
1.9189,,Spot,37,1000004372,4409,
1.57581,,Spot,38,1000004372,4410,
3.03752,,Spot,39,1000004372,4411,
3.68317,,Spot,40,1000004372,4412,
3.07628,,Spot,41,1000004372,4413,
2.98056,,Spot,42,1000004372,4414,
2.62744,,Spot,43,1000004372,4415,
2.7315,,Spot,44,1000004372,4416,
2.48833,,Spot,45,1000004372,4417,
2.34326,,Spot,46,1000004372,4418,
2.39886,,Spot,47,1000004372,4419,
2.01864,,Spot,48,1000004372,4420,
1.9681,,Spot,49,1000004372,4421,
1.91445,,Spot,50,1000004372,4422,
2.01026,,Spot,51,1000004372,4423,
1.97532,,Spot,52,1000004372,4424,
2.08559,,Spot,53,1000004372,4425,
1.98246,,Spot,54,1000004372,4426,
1.76064,,Spot,55,1000004372,4427,
1.96334,,Spot,56,1000004372,4428,
1.75261,,Spot,57,1000004372,4429,
1.70561,,Spot,58,1000004372,4430,
1.91027,,Spot,59,1000004372,4431,
1.88987,,Spot,60,1000004372,4432,
1.83705,,Spot,61,1000004372,4433,
2.19579,,Spot,62,1000004372,4434,
1.82221,,Spot,63,1000004372,4435,
1.85622,,Spot,64,1000004372,4436,
1.83723,,Spot,65,1000004372,4437,
1.81347,,Spot,66,1000004372,4438,
1.96457,,Spot,67,1000004372,4439,
1.87427,,Spot,68,1000004372,4440,
1.80807,,Spot,69,1000004372,4441,
1.92456,,Spot,70,1000004372,4442,
1.62631,,Spot,71,1000004372,4443,
1.69327,,Spot,72,1000004372,4444,
1.79939,,Spot,73,1000004372,4445,
2.04153,,Spot,74,1000004372,4446,
2.14232,,Spot,75,1000004372,4447,
2.29195,,Spot,76,1000004372,4448,
2.67086,,Spot,77,1000004372,4449,
2.78638,,Spot,78,1000004372,4450,
2.52541,,Spot,79,1000004372,4451,
2.38117,,Spot,80,1000004372,4452,
2.33608,,Spot,81,1000004372,4453,
