
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
44.9116,µm,Spot,Distance from Origin,1,1000004372,4372,
46.4019,µm,Spot,Distance from Origin,2,1000004372,4373,
46.9828,µm,Spot,Distance from Origin,3,1000004372,4374,
47.2493,µm,Spot,Distance from Origin,4,1000004372,4375,
46.617,µm,Spot,Distance from Origin,5,1000004372,4376,
46.5536,µm,Spot,Distance from Origin,6,1000004372,4377,
45.9609,µm,Spot,Distance from Origin,7,1000004372,4378,
46.3278,µm,Spot,Distance from Origin,8,1000004372,4379,
45.977,µm,Spot,Distance from Origin,9,1000004372,4380,
46.3337,µm,Spot,Distance from Origin,10,1000004372,4381,
46.332,µm,Spot,Distance from Origin,11,1000004372,4382,
45.7335,µm,Spot,Distance from Origin,12,1000004372,4383,
45.5537,µm,Spot,Distance from Origin,13,1000004372,4384,
45.9477,µm,Spot,Distance from Origin,14,1000004372,4385,
46.4955,µm,Spot,Distance from Origin,15,1000004372,4386,
46.7606,µm,Spot,Distance from Origin,16,1000004372,4388,
46.6825,µm,Spot,Distance from Origin,17,1000004372,4389,
46.2004,µm,Spot,Distance from Origin,18,1000004372,4390,
46.1256,µm,Spot,Distance from Origin,19,1000004372,4391,
46.3345,µm,Spot,Distance from Origin,20,1000004372,4392,
46.5203,µm,Spot,Distance from Origin,21,1000004372,4393,
46.282,µm,Spot,Distance from Origin,22,1000004372,4394,
45.9379,µm,Spot,Distance from Origin,23,1000004372,4395,
46.4149,µm,Spot,Distance from Origin,24,1000004372,4396,
45.9079,µm,Spot,Distance from Origin,25,1000004372,4397,
46.3868,µm,Spot,Distance from Origin,26,1000004372,4398,
46.0921,µm,Spot,Distance from Origin,27,1000004372,4399,
45.7749,µm,Spot,Distance from Origin,28,1000004372,4400,
45.9588,µm,Spot,Distance from Origin,29,1000004372,4401,
45.3199,µm,Spot,Distance from Origin,30,1000004372,4402,
45.7506,µm,Spot,Distance from Origin,31,1000004372,4403,
46.2357,µm,Spot,Distance from Origin,32,1000004372,4404,
46.0237,µm,Spot,Distance from Origin,33,1000004372,4405,
46.1357,µm,Spot,Distance from Origin,34,1000004372,4406,
46.4333,µm,Spot,Distance from Origin,35,1000004372,4407,
46.2325,µm,Spot,Distance from Origin,36,1000004372,4408,
46.276,µm,Spot,Distance from Origin,37,1000004372,4409,
45.8192,µm,Spot,Distance from Origin,38,1000004372,4410,
44.8324,µm,Spot,Distance from Origin,39,1000004372,4411,
44.4958,µm,Spot,Distance from Origin,40,1000004372,4412,
44.6834,µm,Spot,Distance from Origin,41,1000004372,4413,
44.614,µm,Spot,Distance from Origin,42,1000004372,4414,
44.6623,µm,Spot,Distance from Origin,43,1000004372,4415,
44.6543,µm,Spot,Distance from Origin,44,1000004372,4416,
44.9089,µm,Spot,Distance from Origin,45,1000004372,4417,
44.8688,µm,Spot,Distance from Origin,46,1000004372,4418,
44.92,µm,Spot,Distance from Origin,47,1000004372,4419,
44.9995,µm,Spot,Distance from Origin,48,1000004372,4420,
44.9976,µm,Spot,Distance from Origin,49,1000004372,4421,
45.0409,µm,Spot,Distance from Origin,50,1000004372,4422,
44.9755,µm,Spot,Distance from Origin,51,1000004372,4423,
45.0388,µm,Spot,Distance from Origin,52,1000004372,4424,
45.0336,µm,Spot,Distance from Origin,53,1000004372,4425,
45.1193,µm,Spot,Distance from Origin,54,1000004372,4426,
45.0634,µm,Spot,Distance from Origin,55,1000004372,4427,
45.0085,µm,Spot,Distance from Origin,56,1000004372,4428,
45.1325,µm,Spot,Distance from Origin,57,1000004372,4429,
45.0916,µm,Spot,Distance from Origin,58,1000004372,4430,
45.117,µm,Spot,Distance from Origin,59,1000004372,4431,
45.2099,µm,Spot,Distance from Origin,60,1000004372,4432,
45.342,µm,Spot,Distance from Origin,61,1000004372,4433,
45.2626,µm,Spot,Distance from Origin,62,1000004372,4434,
45.3221,µm,Spot,Distance from Origin,63,1000004372,4435,
45.3212,µm,Spot,Distance from Origin,64,1000004372,4436,
45.3687,µm,Spot,Distance from Origin,65,1000004372,4437,
45.3337,µm,Spot,Distance from Origin,66,1000004372,4438,
45.4529,µm,Spot,Distance from Origin,67,1000004372,4439,
45.3076,µm,Spot,Distance from Origin,68,1000004372,4440,
45.3026,µm,Spot,Distance from Origin,69,1000004372,4441,
45.0998,µm,Spot,Distance from Origin,70,1000004372,4442,
45.0702,µm,Spot,Distance from Origin,71,1000004372,4443,
45.4548,µm,Spot,Distance from Origin,72,1000004372,4444,
45.231,µm,Spot,Distance from Origin,73,1000004372,4445,
45.2578,µm,Spot,Distance from Origin,74,1000004372,4446,
45.3689,µm,Spot,Distance from Origin,75,1000004372,4447,
45.291,µm,Spot,Distance from Origin,76,1000004372,4448,
45.0054,µm,Spot,Distance from Origin,77,1000004372,4449,
44.8512,µm,Spot,Distance from Origin,78,1000004372,4450,
45.4967,µm,Spot,Distance from Origin,79,1000004372,4451,
45.2897,µm,Spot,Distance from Origin,80,1000004372,4452,
45.1067,µm,Spot,Distance from Origin,81,1000004372,4453,
45.1062,µm,Spot,Distance from Origin,82,1000004372,4454,
45.1578,µm,Spot,Distance from Origin,83,1000004372,4455,
45.3547,µm,Spot,Distance from Origin,84,1000004372,4456,
45.3117,µm,Spot,Distance from Origin,85,1000004372,4457,
45.4123,µm,Spot,Distance from Origin,86,1000004372,4458,
45.7367,µm,Spot,Distance from Origin,87,1000004372,4459,
45.9818,µm,Spot,Distance from Origin,88,1000004372,4460,
46.185,µm,Spot,Distance from Origin,89,1000004372,4461,
46.334,µm,Spot,Distance from Origin,90,1000004372,4462,
