
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
238,,Spot,3,Image 1,1,1000004372,4372,
240,,Spot,3,Image 1,2,1000004372,4373,
229,,Spot,3,Image 1,3,1000004372,4374,
245,,Spot,3,Image 1,4,1000004372,4375,
240,,Spot,3,Image 1,5,1000004372,4376,
244,,Spot,3,Image 1,6,1000004372,4377,
217,,Spot,3,Image 1,7,1000004372,4378,
225,,Spot,3,Image 1,8,1000004372,4379,
241,,Spot,3,Image 1,9,1000004372,4380,
244,,Spot,3,Image 1,10,1000004372,4381,
238,,Spot,3,Image 1,11,1000004372,4382,
268,,Spot,3,Image 1,12,1000004372,4383,
224,,Spot,3,Image 1,13,1000004372,4384,
226,,Spot,3,Image 1,14,1000004372,4385,
223,,Spot,3,Image 1,15,1000004372,4386,
237,,Spot,3,Image 1,16,1000004372,4388,
229,,Spot,3,Image 1,17,1000004372,4389,
216,,Spot,3,Image 1,18,1000004372,4390,
222,,Spot,3,Image 1,19,1000004372,4391,
236,,Spot,3,Image 1,20,1000004372,4392,
249,,Spot,3,Image 1,21,1000004372,4393,
268,,Spot,3,Image 1,22,1000004372,4394,
231,,Spot,3,Image 1,23,1000004372,4395,
228,,Spot,3,Image 1,24,1000004372,4396,
214,,Spot,3,Image 1,25,1000004372,4397,
229,,Spot,3,Image 1,26,1000004372,4398,
240,,Spot,3,Image 1,27,1000004372,4399,
220,,Spot,3,Image 1,28,1000004372,4400,
229,,Spot,3,Image 1,29,1000004372,4401,
223,,Spot,3,Image 1,30,1000004372,4402,
222,,Spot,3,Image 1,31,1000004372,4403,
229,,Spot,3,Image 1,32,1000004372,4404,
251,,Spot,3,Image 1,33,1000004372,4405,
236,,Spot,3,Image 1,34,1000004372,4406,
219,,Spot,3,Image 1,35,1000004372,4407,
221,,Spot,3,Image 1,36,1000004372,4408,
223,,Spot,3,Image 1,37,1000004372,4409,
254,,Spot,3,Image 1,38,1000004372,4410,
214,,Spot,3,Image 1,39,1000004372,4411,
229,,Spot,3,Image 1,40,1000004372,4412,
216,,Spot,3,Image 1,41,1000004372,4413,
215,,Spot,3,Image 1,42,1000004372,4414,
232,,Spot,3,Image 1,43,1000004372,4415,
217,,Spot,3,Image 1,44,1000004372,4416,
229,,Spot,3,Image 1,45,1000004372,4417,
225,,Spot,3,Image 1,46,1000004372,4418,
222,,Spot,3,Image 1,47,1000004372,4419,
209,,Spot,3,Image 1,48,1000004372,4420,
219,,Spot,3,Image 1,49,1000004372,4421,
226,,Spot,3,Image 1,50,1000004372,4422,
234,,Spot,3,Image 1,51,1000004372,4423,
239,,Spot,3,Image 1,52,1000004372,4424,
222,,Spot,3,Image 1,53,1000004372,4425,
227,,Spot,3,Image 1,54,1000004372,4426,
217,,Spot,3,Image 1,55,1000004372,4427,
214,,Spot,3,Image 1,56,1000004372,4428,
223,,Spot,3,Image 1,57,1000004372,4429,
226,,Spot,3,Image 1,58,1000004372,4430,
249,,Spot,3,Image 1,59,1000004372,4431,
235,,Spot,3,Image 1,60,1000004372,4432,
215,,Spot,3,Image 1,61,1000004372,4433,
239,,Spot,3,Image 1,62,1000004372,4434,
226,,Spot,3,Image 1,63,1000004372,4435,
237,,Spot,3,Image 1,64,1000004372,4436,
217,,Spot,3,Image 1,65,1000004372,4437,
239,,Spot,3,Image 1,66,1000004372,4438,
223,,Spot,3,Image 1,67,1000004372,4439,
220,,Spot,3,Image 1,68,1000004372,4440,
222,,Spot,3,Image 1,69,1000004372,4441,
229,,Spot,3,Image 1,70,1000004372,4442,
215,,Spot,3,Image 1,71,1000004372,4443,
249,,Spot,3,Image 1,72,1000004372,4444,
222,,Spot,3,Image 1,73,1000004372,4445,
224,,Spot,3,Image 1,74,1000004372,4446,
233,,Spot,3,Image 1,75,1000004372,4447,
230,,Spot,3,Image 1,76,1000004372,4448,
230,,Spot,3,Image 1,77,1000004372,4449,
238,,Spot,3,Image 1,78,1000004372,4450,
218,,Spot,3,Image 1,79,1000004372,4451,
234,,Spot,3,Image 1,80,1000004372,4452,
219,,Spot,3,Image 1,81,1000004372,4453,
204,,Spot,3,Image 1,82,1000004372,4454,
206,,Spot,3,Image 1,83,1000004372,4455,
219,,Spot,3,Image 1,84,1000004372,4456,
223,,Spot,3,Image 1,85,1000004372,4457,
220,,Spot,3,Image 1,86,1000004372,4458,
232,,Spot,3,Image 1,87,1000004372,4459,
226,,Spot,3,Image 1,88,1000004372,4460,
208,,Spot,3,Image 1,89,1000004372,4461,
213,,Spot,3,Image 1,90,1000004372,4462,
226,,Spot,3,Image 1,91,1000004372,4463,
228,,Spot,3,Image 1,92,1000004372,4464,
237,,Spot,3,Image 1,93,1000004372,4465,
221,,Spot,3,Image 1,94,1000004372,4466,
235,,Spot,3,Image 1,95,1000004372,4467,
231,,Spot,3,Image 1,96,1000004372,4468,
232,,Spot,3,Image 1,97,1000004372,4469,
234,,Spot,3,Image 1,98,1000004372,4470,
208,,Spot,3,Image 1,99,1000004372,4471,
202,,Spot,3,Image 1,100,1000004372,4472,
218,,Spot,3,Image 1,101,1000004372,4473,
221,,Spot,3,Image 1,102,1000004372,4474,
218,,Spot,3,Image 1,103,1000004372,4475,
226,,Spot,3,Image 1,104,1000004372,4476,
221,,Spot,3,Image 1,105,1000004372,4477,
206,,Spot,3,Image 1,106,1000004372,4478,
212,,Spot,3,Image 1,107,1000004372,4479,
226,,Spot,3,Image 1,108,1000004372,4480,
221,,Spot,3,Image 1,109,1000004372,4481,
219,,Spot,3,Image 1,110,1000004372,4482,
230,,Spot,3,Image 1,111,1000004372,4483,
206,,Spot,3,Image 1,112,1000004372,4484,
222,,Spot,3,Image 1,113,1000004372,4485,
225,,Spot,3,Image 1,114,1000004372,4486,
217,,Spot,3,Image 1,115,1000004372,4487,
221,,Spot,3,Image 1,116,1000004372,4488,
234,,Spot,3,Image 1,117,1000004372,4489,
237,,Spot,3,Image 1,118,1000004372,4490,
224,,Spot,3,Image 1,119,1000004372,4491,
229,,Spot,3,Image 1,120,1000004372,4492,
246,,Spot,3,Image 1,121,1000004372,4493,
