
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
24.8787,µm,Spot,Image 1,1,1000000000,0,
24.4134,µm,Spot,Image 1,2,1000000000,1,
23.9242,µm,Spot,Image 1,3,1000000000,2,
24.5307,µm,Spot,Image 1,4,1000000000,3,
24.4745,µm,Spot,Image 1,5,1000000000,4,
24.591,µm,Spot,Image 1,6,1000000000,5,
25.2629,µm,Spot,Image 1,7,1000000000,6,
24.7078,µm,Spot,Image 1,8,1000000000,7,
24.6825,µm,Spot,Image 1,9,1000000000,8,
23.9584,µm,Spot,Image 1,10,1000000000,9,
23.8607,µm,Spot,Image 1,11,1000000000,10,
24.6247,µm,Spot,Image 1,12,1000000000,11,
24.9701,µm,Spot,Image 1,13,1000000000,12,
25.1831,µm,Spot,Image 1,14,1000000000,13,
24.7854,µm,Spot,Image 1,15,1000000000,14,
25.6619,µm,Spot,Image 1,16,1000000000,15,
25.6948,µm,Spot,Image 1,17,1000000000,16,
25.7266,µm,Spot,Image 1,18,1000000000,17,
25.5306,µm,Spot,Image 1,19,1000000000,18,
25.7745,µm,Spot,Image 1,20,1000000000,19,
24.992,µm,Spot,Image 1,21,1000000000,20,
24.431,µm,Spot,Image 1,22,1000000000,21,
24.7073,µm,Spot,Image 1,23,1000000000,22,
24.7462,µm,Spot,Image 1,24,1000000000,23,
24.2811,µm,Spot,Image 1,25,1000000000,24,
24.0907,µm,Spot,Image 1,26,1000000000,25,
22.8738,µm,Spot,Image 1,27,1000000000,26,
22.9614,µm,Spot,Image 1,28,1000000000,27,
22.486,µm,Spot,Image 1,29,1000000000,28,
21.6317,µm,Spot,Image 1,30,1000000000,29,
20.4634,µm,Spot,Image 1,31,1000000000,30,
21.3715,µm,Spot,Image 1,32,1000000000,31,
22.2894,µm,Spot,Image 1,33,1000000000,32,
20.8125,µm,Spot,Image 1,34,1000000000,33,
17.8589,µm,Spot,Image 1,35,1000000000,34,
15.419,µm,Spot,Image 1,36,1000000000,35,
12.225,µm,Spot,Image 1,37,1000000000,36,
10.4365,µm,Spot,Image 1,38,1000000000,37,
10.4365,µm,Spot,Image 1,39,1000000000,38,
11.2466,µm,Spot,Image 1,40,1000000000,39,
9.74211,µm,Spot,Image 1,41,1000000000,40,
8.35334,µm,Spot,Image 1,42,1000000000,41,
9.16346,µm,Spot,Image 1,43,1000000000,42,
9.39492,µm,Spot,Image 1,44,1000000000,43,
9.27919,µm,Spot,Image 1,45,1000000000,44,
10.205,µm,Spot,Image 1,46,1000000000,45,
10.4365,µm,Spot,Image 1,47,1000000000,46,
10.7837,µm,Spot,Image 1,48,1000000000,47,
11.4781,µm,Spot,Image 1,49,1000000000,48,
12.891,µm,Spot,Image 1,50,1000000000,49,
13.062,µm,Spot,Image 1,51,1000000000,50,
13.256,µm,Spot,Image 1,52,1000000000,51,
13.6909,µm,Spot,Image 1,53,1000000000,52,
13.9601,µm,Spot,Image 1,54,1000000000,53,
14.9451,µm,Spot,Image 1,55,1000000000,54,
14.9507,µm,Spot,Image 1,56,1000000000,55,
15.7337,µm,Spot,Image 1,57,1000000000,56,
15.2696,µm,Spot,Image 1,58,1000000000,57,
16.3275,µm,Spot,Image 1,59,1000000000,58,
17.5907,µm,Spot,Image 1,60,1000000000,59,
18.6674,µm,Spot,Image 1,61,1000000000,60,
18.8689,µm,Spot,Image 1,62,1000000000,61,
19.3586,µm,Spot,Image 1,63,1000000000,62,
19.6467,µm,Spot,Image 1,64,1000000000,63,
19.1946,µm,Spot,Image 1,65,1000000000,64,
18.9024,µm,Spot,Image 1,66,1000000000,65,
18.6181,µm,Spot,Image 1,67,1000000000,66,
18.2042,µm,Spot,Image 1,68,1000000000,67,
17.2668,µm,Spot,Image 1,69,1000000000,68,
17.8399,µm,Spot,Image 1,70,1000000000,70,
19.0071,µm,Spot,Image 1,71,1000000000,71,
18.4018,µm,Spot,Image 1,72,1000000000,72,
17.5754,µm,Spot,Image 1,73,1000000000,73,
17.0187,µm,Spot,Image 1,74,1000000000,74,
18.6627,µm,Spot,Image 1,75,1000000000,75,
19.6624,µm,Spot,Image 1,76,1000000000,76,
19.3932,µm,Spot,Image 1,77,1000000000,77,
18.4867,µm,Spot,Image 1,78,1000000000,78,
21.1757,µm,Spot,Image 1,79,1000000000,79,
23.1957,µm,Spot,Image 1,80,1000000000,80,
23.5596,µm,Spot,Image 1,81,1000000000,81,
22.9233,µm,Spot,Image 1,82,1000000000,82,
22.6891,µm,Spot,Image 1,83,1000000000,83,
22.9535,µm,Spot,Image 1,84,1000000000,84,
