
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
29.6709,,Spot,3,Image 1,1,1000000000,0,
31.8903,,Spot,3,Image 1,2,1000000000,1,
34.309,,Spot,3,Image 1,3,1000000000,2,
37.9297,,Spot,3,Image 1,4,1000000000,3,
31.5405,,Spot,3,Image 1,5,1000000000,4,
20.2676,,Spot,3,Image 1,6,1000000000,5,
32.8178,,Spot,3,Image 1,7,1000000000,6,
30.9265,,Spot,3,Image 1,8,1000000000,7,
30.7789,,Spot,3,Image 1,9,1000000000,8,
32.0468,,Spot,3,Image 1,10,1000000000,9,
29.7895,,Spot,3,Image 1,11,1000000000,10,
35.3129,,Spot,3,Image 1,12,1000000000,11,
27.4056,,Spot,3,Image 1,13,1000000000,12,
36.6786,,Spot,3,Image 1,14,1000000000,13,
32.3999,,Spot,3,Image 1,15,1000000000,14,
25.5188,,Spot,3,Image 1,16,1000000000,15,
22.5635,,Spot,3,Image 1,17,1000000000,16,
21.8689,,Spot,3,Image 1,18,1000000000,17,
23.4742,,Spot,3,Image 1,19,1000000000,18,
17.1761,,Spot,3,Image 1,20,1000000000,19,
39.6844,,Spot,3,Image 1,21,1000000000,20,
18.9857,,Spot,3,Image 1,22,1000000000,21,
34.257,,Spot,3,Image 1,23,1000000000,22,
28.2127,,Spot,3,Image 1,24,1000000000,23,
27.4766,,Spot,3,Image 1,25,1000000000,24,
28.1261,,Spot,3,Image 1,26,1000000000,25,
22.2988,,Spot,3,Image 1,27,1000000000,26,
17.4308,,Spot,3,Image 1,28,1000000000,27,
15.3627,,Spot,3,Image 1,29,1000000000,28,
11.2634,,Spot,3,Image 1,30,1000000000,29,
15.5362,,Spot,3,Image 1,31,1000000000,30,
11.608,,Spot,3,Image 1,32,1000000000,31,
16.4978,,Spot,3,Image 1,33,1000000000,32,
14.5986,,Spot,3,Image 1,34,1000000000,33,
13.3675,,Spot,3,Image 1,35,1000000000,34,
45.7222,,Spot,3,Image 1,36,1000000000,35,
17.206,,Spot,3,Image 1,37,1000000000,36,
