
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
1.02866e+07,,Spot,1,Image 1,1,1000000000,0,
1.14371e+07,,Spot,1,Image 1,2,1000000000,1,
9.48083e+06,,Spot,1,Image 1,3,1000000000,2,
8.91565e+06,,Spot,1,Image 1,4,1000000000,3,
7.84604e+06,,Spot,1,Image 1,5,1000000000,4,
6.51352e+06,,Spot,1,Image 1,6,1000000000,5,
9.81128e+06,,Spot,1,Image 1,7,1000000000,6,
1.04378e+07,,Spot,1,Image 1,8,1000000000,7,
8.76607e+06,,Spot,1,Image 1,9,1000000000,8,
7.27366e+06,,Spot,1,Image 1,10,1000000000,9,
8.88347e+06,,Spot,1,Image 1,11,1000000000,10,
8.07681e+06,,Spot,1,Image 1,12,1000000000,11,
8.31911e+06,,Spot,1,Image 1,13,1000000000,12,
9.0187e+06,,Spot,1,Image 1,14,1000000000,13,
7.19715e+06,,Spot,1,Image 1,15,1000000000,14,
9.0746e+06,,Spot,1,Image 1,16,1000000000,15,
9.97726e+06,,Spot,1,Image 1,17,1000000000,16,
9.18272e+06,,Spot,1,Image 1,18,1000000000,17,
7.44766e+06,,Spot,1,Image 1,19,1000000000,18,
9.6107e+06,,Spot,1,Image 1,20,1000000000,19,
8.06277e+06,,Spot,1,Image 1,21,1000000000,20,
8.4967e+06,,Spot,1,Image 1,22,1000000000,21,
1.43963e+07,,Spot,1,Image 1,23,1000000000,22,
7.28941e+06,,Spot,1,Image 1,24,1000000000,23,
1.27607e+07,,Spot,1,Image 1,25,1000000000,24,
1.27955e+07,,Spot,1,Image 1,26,1000000000,25,
8.6656e+06,,Spot,1,Image 1,27,1000000000,26,
9.4616e+06,,Spot,1,Image 1,28,1000000000,27,
7.87911e+06,,Spot,1,Image 1,29,1000000000,28,
6.64048e+06,,Spot,1,Image 1,30,1000000000,29,
5.37736e+06,,Spot,1,Image 1,31,1000000000,30,
5.39725e+06,,Spot,1,Image 1,32,1000000000,31,
8.3062e+06,,Spot,1,Image 1,33,1000000000,32,
6.92106e+06,,Spot,1,Image 1,34,1000000000,33,
4.90673e+06,,Spot,1,Image 1,35,1000000000,34,
7.81276e+06,,Spot,1,Image 1,36,1000000000,35,
3.41907e+06,,Spot,1,Image 1,37,1000000000,36,
4.69005e+06,,Spot,1,Image 1,38,1000000000,37,
5.96697e+06,,Spot,1,Image 1,39,1000000000,38,
5.62244e+06,,Spot,1,Image 1,40,1000000000,39,
5.17783e+06,,Spot,1,Image 1,41,1000000000,40,
4.61325e+06,,Spot,1,Image 1,42,1000000000,41,
5.90637e+06,,Spot,1,Image 1,43,1000000000,42,
5.4124e+06,,Spot,1,Image 1,44,1000000000,43,
9.28654e+06,,Spot,1,Image 1,45,1000000000,44,
8.93733e+06,,Spot,1,Image 1,46,1000000000,45,
1.11248e+07,,Spot,1,Image 1,47,1000000000,46,
7.15913e+06,,Spot,1,Image 1,48,1000000000,47,
6.78789e+06,,Spot,1,Image 1,49,1000000000,48,
5.72864e+06,,Spot,1,Image 1,50,1000000000,49,
4.59003e+06,,Spot,1,Image 1,51,1000000000,50,
4.98302e+06,,Spot,1,Image 1,52,1000000000,51,
4.48712e+06,,Spot,1,Image 1,53,1000000000,52,
5.51982e+06,,Spot,1,Image 1,54,1000000000,53,
7.02471e+06,,Spot,1,Image 1,55,1000000000,54,
5.04994e+06,,Spot,1,Image 1,56,1000000000,55,
5.87031e+06,,Spot,1,Image 1,57,1000000000,56,
5.58063e+06,,Spot,1,Image 1,58,1000000000,57,
5.29696e+06,,Spot,1,Image 1,59,1000000000,58,
6.14837e+06,,Spot,1,Image 1,60,1000000000,59,
5.81827e+06,,Spot,1,Image 1,61,1000000000,60,
5.73928e+06,,Spot,1,Image 1,62,1000000000,61,
6.52479e+06,,Spot,1,Image 1,63,1000000000,62,
7.78841e+06,,Spot,1,Image 1,64,1000000000,63,
6.3436e+06,,Spot,1,Image 1,65,1000000000,64,
4.78457e+06,,Spot,1,Image 1,66,1000000000,65,
6.72424e+06,,Spot,1,Image 1,67,1000000000,66,
5.29012e+06,,Spot,1,Image 1,68,1000000000,67,
4.46825e+06,,Spot,1,Image 1,69,1000000000,68,
6.61308e+06,,Spot,1,Image 1,70,1000000000,70,
1.09368e+07,,Spot,1,Image 1,71,1000000000,71,
5.72686e+06,,Spot,1,Image 1,72,1000000000,72,
4.6685e+06,,Spot,1,Image 1,73,1000000000,73,
5.11407e+06,,Spot,1,Image 1,74,1000000000,74,
9.68869e+06,,Spot,1,Image 1,75,1000000000,75,
7.32855e+06,,Spot,1,Image 1,76,1000000000,76,
7.43226e+06,,Spot,1,Image 1,77,1000000000,77,
5.59894e+06,,Spot,1,Image 1,78,1000000000,78,
6.22476e+06,,Spot,1,Image 1,79,1000000000,79,
6.90635e+06,,Spot,1,Image 1,80,1000000000,80,
7.02718e+06,,Spot,1,Image 1,81,1000000000,81,
6.87132e+06,,Spot,1,Image 1,82,1000000000,82,
4.89193e+06,,Spot,1,Image 1,83,1000000000,83,
7.90164e+06,,Spot,1,Image 1,84,1000000000,84,
6.98759e+06,,Spot,1,Image 1,85,1000000000,85,
5.21864e+06,,Spot,1,Image 1,86,1000000000,86,
4.3141e+06,,Spot,1,Image 1,87,1000000000,87,
5.91773e+06,,Spot,1,Image 1,88,1000000000,88,
6.86597e+06,,Spot,1,Image 1,89,1000000000,89,
6.8362e+06,,Spot,1,Image 1,90,1000000000,90,
8.71982e+06,,Spot,1,Image 1,91,1000000000,91,
7.63237e+06,,Spot,1,Image 1,92,1000000000,92,
6.98084e+06,,Spot,1,Image 1,93,1000000000,93,
6.7531e+06,,Spot,1,Image 1,94,1000000000,94,
8.85384e+06,,Spot,1,Image 1,95,1000000000,95,
7.08842e+06,,Spot,1,Image 1,96,1000000000,96,
7.67909e+06,,Spot,1,Image 1,97,1000000000,97,
7.06583e+06,,Spot,1,Image 1,98,1000000000,98,
7.63772e+06,,Spot,1,Image 1,99,1000000000,99,
6.19492e+06,,Spot,1,Image 1,100,1000000000,100,
1.08681e+07,,Spot,1,Image 1,101,1000000000,101,
9.88237e+06,,Spot,1,Image 1,102,1000000000,102,
1.42818e+07,,Spot,1,Image 1,103,1000000000,103,
8.88346e+06,,Spot,1,Image 1,104,1000000000,104,
1.13264e+07,,Spot,1,Image 1,105,1000000000,105,
1.05361e+07,,Spot,1,Image 1,106,1000000000,106,
9.84282e+06,,Spot,1,Image 1,107,1000000000,107,
8.95099e+06,,Spot,1,Image 1,108,1000000000,108,
1.04102e+07,,Spot,1,Image 1,109,1000000000,109,
8.54307e+06,,Spot,1,Image 1,110,1000000000,110,
1.18729e+07,,Spot,1,Image 1,111,1000000000,111,
7.22341e+06,,Spot,1,Image 1,112,1000000000,112,
1.10469e+07,,Spot,1,Image 1,113,1000000000,113,
1.20984e+07,,Spot,1,Image 1,114,1000000000,114,
6.42666e+06,,Spot,1,Image 1,115,1000000000,115,
7.81893e+06,,Spot,1,Image 1,116,1000000000,116,
1.45003e+07,,Spot,1,Image 1,117,1000000000,117,
7.88569e+06,,Spot,1,Image 1,118,1000000000,118,
