
Shortest Distance to Spots Spots=Cell-soma
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
6.98407,,Spot,Cell-soma,1,1000000000,0,
7.16992,,Spot,Cell-soma,2,1000000000,1,
7.62462,,Spot,Cell-soma,3,1000000000,2,
7.40884,,Spot,Cell-soma,4,1000000000,3,
7.66846,,Spot,Cell-soma,5,1000000000,4,
8.13018,,Spot,Cell-soma,6,1000000000,5,
7.24838,,Spot,Cell-soma,7,1000000000,6,
7.8948,,Spot,Cell-soma,8,1000000000,7,
7.97427,,Spot,Cell-soma,9,1000000000,8,
9.12723,,Spot,Cell-soma,10,1000000000,9,
8.42224,,Spot,Cell-soma,11,1000000000,10,
7.87476,,Spot,Cell-soma,12,1000000000,11,
7.11311,,Spot,Cell-soma,13,1000000000,12,
7.40039,,Spot,Cell-soma,14,1000000000,13,
7.63812,,Spot,Cell-soma,15,1000000000,14,
6.26738,,Spot,Cell-soma,16,1000000000,15,
6.9527,,Spot,Cell-soma,17,1000000000,16,
6.78699,,Spot,Cell-soma,18,1000000000,17,
7.1942,,Spot,Cell-soma,19,1000000000,18,
6.10802,,Spot,Cell-soma,20,1000000000,19,
7.74528,,Spot,Cell-soma,21,1000000000,20,
7.90834,,Spot,Cell-soma,22,1000000000,21,
7.38265,,Spot,Cell-soma,23,1000000000,22,
7.41075,,Spot,Cell-soma,24,1000000000,23,
7.88183,,Spot,Cell-soma,25,1000000000,24,
7.75458,,Spot,Cell-soma,26,1000000000,25,
8.73457,,Spot,Cell-soma,27,1000000000,26,
8.47019,,Spot,Cell-soma,28,1000000000,27,
9.47346,,Spot,Cell-soma,29,1000000000,28,
10.4473,,Spot,Cell-soma,30,1000000000,29,
11.527,,Spot,Cell-soma,31,1000000000,30,
10.7391,,Spot,Cell-soma,32,1000000000,31,
9.79238,,Spot,Cell-soma,33,1000000000,32,
10.6097,,Spot,Cell-soma,34,1000000000,33,
13.6318,,Spot,Cell-soma,35,1000000000,34,
15.8288,,Spot,Cell-soma,36,1000000000,35,
19.1507,,Spot,Cell-soma,37,1000000000,36,
21.1781,,Spot,Cell-soma,38,1000000000,37,
19.3962,,Spot,Cell-soma,39,1000000000,38,
17.5396,,Spot,Cell-soma,40,1000000000,39,
20.1672,,Spot,Cell-soma,41,1000000000,40,
22.0211,,Spot,Cell-soma,42,1000000000,41,
21.621,,Spot,Cell-soma,43,1000000000,42,
21.7959,,Spot,Cell-soma,44,1000000000,43,
22.0835,,Spot,Cell-soma,45,1000000000,44,
21.0461,,Spot,Cell-soma,46,1000000000,45,
20.7236,,Spot,Cell-soma,47,1000000000,46,
21.4566,,Spot,Cell-soma,48,1000000000,47,
20.3652,,Spot,Cell-soma,49,1000000000,48,
18.9391,,Spot,Cell-soma,50,1000000000,49,
18.1857,,Spot,Cell-soma,51,1000000000,50,
18.3898,,Spot,Cell-soma,52,1000000000,51,
17.7292,,Spot,Cell-soma,53,1000000000,52,
17.2872,,Spot,Cell-soma,54,1000000000,53,
15.864,,Spot,Cell-soma,55,1000000000,54,
15.7503,,Spot,Cell-soma,56,1000000000,55,
15.478,,Spot,Cell-soma,57,1000000000,56,
15.9154,,Spot,Cell-soma,58,1000000000,57,
14.4524,,Spot,Cell-soma,59,1000000000,58,
12.9676,,Spot,Cell-soma,60,1000000000,59,
11.5639,,Spot,Cell-soma,61,1000000000,60,
11.5238,,Spot,Cell-soma,62,1000000000,61,
11.1807,,Spot,Cell-soma,63,1000000000,62,
10.4455,,Spot,Cell-soma,64,1000000000,63,
10.8393,,Spot,Cell-soma,65,1000000000,64,
11.3277,,Spot,Cell-soma,66,1000000000,65,
10.9429,,Spot,Cell-soma,67,1000000000,66,
12.1467,,Spot,Cell-soma,68,1000000000,67,
13.9033,,Spot,Cell-soma,69,1000000000,68,
12.4098,,Spot,Cell-soma,70,1000000000,70,
11.4753,,Spot,Cell-soma,71,1000000000,71,
12.0122,,Spot,Cell-soma,72,1000000000,72,
12.7465,,Spot,Cell-soma,73,1000000000,73,
13.0771,,Spot,Cell-soma,74,1000000000,74,
11.0936,,Spot,Cell-soma,75,1000000000,75,
9.87217,,Spot,Cell-soma,76,1000000000,76,
9.71544,,Spot,Cell-soma,77,1000000000,77,
10.5051,,Spot,Cell-soma,78,1000000000,78,
8.26824,,Spot,Cell-soma,79,1000000000,79,
6.39209,,Spot,Cell-soma,80,1000000000,80,
6.06921,,Spot,Cell-soma,81,1000000000,81,
6.86663,,Spot,Cell-soma,82,1000000000,82,
5.71784,,Spot,Cell-soma,83,1000000000,83,
5.0885,,Spot,Cell-soma,84,1000000000,84,
5.55831,,Spot,Cell-soma,85,1000000000,85,
6.5067,,Spot,Cell-soma,86,1000000000,86,
9.08557,,Spot,Cell-soma,87,1000000000,87,
12.5364,,Spot,Cell-soma,88,1000000000,88,
13.5821,,Spot,Cell-soma,89,1000000000,89,
13.2008,,Spot,Cell-soma,90,1000000000,90,
14.4643,,Spot,Cell-soma,91,1000000000,91,
13.8422,,Spot,Cell-soma,92,1000000000,92,
12.5224,,Spot,Cell-soma,93,1000000000,93,
13.6862,,Spot,Cell-soma,94,1000000000,94,
14.1875,,Spot,Cell-soma,95,1000000000,95,
13.4711,,Spot,Cell-soma,96,1000000000,96,
13.7244,,Spot,Cell-soma,97,1000000000,97,
10.7311,,Spot,Cell-soma,98,1000000000,98,
9.42009,,Spot,Cell-soma,99,1000000000,99,
