
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
55.4759,µm,Spot,Distance from Origin,28,1000124095,124095,
56.6039,µm,Spot,Distance from Origin,29,1000124095,124096,
57.5748,µm,Spot,Distance from Origin,30,1000124095,124097,
40.7316,µm,Spot,Distance from Origin,32,1000124098,124098,
40.5975,µm,Spot,Distance from Origin,33,1000124098,124099,
40.7649,µm,Spot,Distance from Origin,34,1000124098,124100,
40.4298,µm,Spot,Distance from Origin,259,1000124101,124101,
40.7046,µm,Spot,Distance from Origin,260,1000124101,124102,
40.478,µm,Spot,Distance from Origin,261,1000124101,124103,
38.7217,µm,Spot,Distance from Origin,312,1000124104,124104,
37.8027,µm,Spot,Distance from Origin,313,1000124104,124105,
38.5208,µm,Spot,Distance from Origin,314,1000124104,124106,
38.3139,µm,Spot,Distance from Origin,315,1000124104,124107,
39.5041,µm,Spot,Distance from Origin,316,1000124104,124108,
56.8598,µm,Spot,Distance from Origin,385,1000124109,124109,
56.9899,µm,Spot,Distance from Origin,386,1000124109,124110,
56.8504,µm,Spot,Distance from Origin,387,1000124109,124111,
36.6171,µm,Spot,Distance from Origin,370,1000124112,124112,
36.2739,µm,Spot,Distance from Origin,371,1000124112,124113,
35.9724,µm,Spot,Distance from Origin,372,1000124112,124114,
43.0175,µm,Spot,Distance from Origin,275,1000124115,124115,
42.9079,µm,Spot,Distance from Origin,276,1000124115,124116,
43.0102,µm,Spot,Distance from Origin,277,1000124115,124117,
43.1206,µm,Spot,Distance from Origin,278,1000124115,124118,
43.0175,µm,Spot,Distance from Origin,279,1000124115,124119,
50.1614,µm,Spot,Distance from Origin,167,1000124120,124120,
49.4632,µm,Spot,Distance from Origin,168,1000124120,124121,
