
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
382,,Spot,2,Image 1,28,1000124095,124095,
362,,Spot,2,Image 1,29,1000124095,124096,
372,,Spot,2,Image 1,30,1000124095,124097,
314,,Spot,2,Image 1,32,1000124098,124098,
291,,Spot,2,Image 1,33,1000124098,124099,
296,,Spot,2,Image 1,34,1000124098,124100,
299,,Spot,2,Image 1,259,1000124101,124101,
309,,Spot,2,Image 1,260,1000124101,124102,
353,,Spot,2,Image 1,261,1000124101,124103,
277,,Spot,2,Image 1,312,1000124104,124104,
295,,Spot,2,Image 1,313,1000124104,124105,
253,,Spot,2,Image 1,314,1000124104,124106,
291,,Spot,2,Image 1,315,1000124104,124107,
235,,Spot,2,Image 1,316,1000124104,124108,
302,,Spot,2,Image 1,385,1000124109,124109,
332,,Spot,2,Image 1,386,1000124109,124110,
331,,Spot,2,Image 1,387,1000124109,124111,
262,,Spot,2,Image 1,370,1000124112,124112,
293,,Spot,2,Image 1,371,1000124112,124113,
285,,Spot,2,Image 1,372,1000124112,124114,
323,,Spot,2,Image 1,275,1000124115,124115,
300,,Spot,2,Image 1,276,1000124115,124116,
299,,Spot,2,Image 1,277,1000124115,124117,
302,,Spot,2,Image 1,278,1000124115,124118,
286,,Spot,2,Image 1,279,1000124115,124119,
297,,Spot,2,Image 1,167,1000124120,124120,
348,,Spot,2,Image 1,168,1000124120,124121,
