
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
268,,Spot,1,Image 1,28,1000124095,124095,
254,,Spot,1,Image 1,29,1000124095,124096,
273,,Spot,1,Image 1,30,1000124095,124097,
225,,Spot,1,Image 1,32,1000124098,124098,
231,,Spot,1,Image 1,33,1000124098,124099,
234,,Spot,1,Image 1,34,1000124098,124100,
232,,Spot,1,Image 1,259,1000124101,124101,
237,,Spot,1,Image 1,260,1000124101,124102,
244,,Spot,1,Image 1,261,1000124101,124103,
241,,Spot,1,Image 1,312,1000124104,124104,
236,,Spot,1,Image 1,313,1000124104,124105,
248,,Spot,1,Image 1,314,1000124104,124106,
243,,Spot,1,Image 1,315,1000124104,124107,
228,,Spot,1,Image 1,316,1000124104,124108,
232,,Spot,1,Image 1,385,1000124109,124109,
241,,Spot,1,Image 1,386,1000124109,124110,
242,,Spot,1,Image 1,387,1000124109,124111,
227,,Spot,1,Image 1,370,1000124112,124112,
236,,Spot,1,Image 1,371,1000124112,124113,
230,,Spot,1,Image 1,372,1000124112,124114,
225,,Spot,1,Image 1,275,1000124115,124115,
234,,Spot,1,Image 1,276,1000124115,124116,
240,,Spot,1,Image 1,277,1000124115,124117,
240,,Spot,1,Image 1,278,1000124115,124118,
241,,Spot,1,Image 1,279,1000124115,124119,
242,,Spot,1,Image 1,167,1000124120,124120,
261,,Spot,1,Image 1,168,1000124120,124121,
