
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
7.19351,,Spot,3,Image 1,28,1000124095,124095,
7.19912,,Spot,3,Image 1,29,1000124095,124096,
7.34269,,Spot,3,Image 1,30,1000124095,124097,
6.92212,,Spot,3,Image 1,32,1000124098,124098,
7.01743,,Spot,3,Image 1,33,1000124098,124099,
7.05217,,Spot,3,Image 1,34,1000124098,124100,
6.9343,,Spot,3,Image 1,259,1000124101,124101,
6.98969,,Spot,3,Image 1,260,1000124101,124102,
7.04995,,Spot,3,Image 1,261,1000124101,124103,
6.83195,,Spot,3,Image 1,312,1000124104,124104,
6.98642,,Spot,3,Image 1,313,1000124104,124105,
6.89203,,Spot,3,Image 1,314,1000124104,124106,
6.91324,,Spot,3,Image 1,315,1000124104,124107,
6.88886,,Spot,3,Image 1,316,1000124104,124108,
6.69051,,Spot,3,Image 1,385,1000124109,124109,
7.13212,,Spot,3,Image 1,386,1000124109,124110,
7.20718,,Spot,3,Image 1,387,1000124109,124111,
7.21288,,Spot,3,Image 1,370,1000124112,124112,
7.1701,,Spot,3,Image 1,371,1000124112,124113,
7.02202,,Spot,3,Image 1,372,1000124112,124114,
7.07462,,Spot,3,Image 1,275,1000124115,124115,
7.13892,,Spot,3,Image 1,276,1000124115,124116,
6.95366,,Spot,3,Image 1,277,1000124115,124117,
6.96369,,Spot,3,Image 1,278,1000124115,124118,
7.25199,,Spot,3,Image 1,279,1000124115,124119,
6.94829,,Spot,3,Image 1,167,1000124120,124120,
6.66561,,Spot,3,Image 1,168,1000124120,124121,
