
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,TrackID,ID,
27.173,µm,Spot,Position,28,1000124095,124095,
26.9954,µm,Spot,Position,29,1000124095,124096,
26.9935,µm,Spot,Position,30,1000124095,124097,
4.34357,µm,Spot,Position,32,1000124098,124098,
4.95433,µm,Spot,Position,33,1000124098,124099,
4.85372,µm,Spot,Position,34,1000124098,124100,
31.4796,µm,Spot,Position,259,1000124101,124101,
31.7383,µm,Spot,Position,260,1000124101,124102,
30.3478,µm,Spot,Position,261,1000124101,124103,
15.1712,µm,Spot,Position,312,1000124104,124104,
14.825,µm,Spot,Position,313,1000124104,124105,
14.5943,µm,Spot,Position,314,1000124104,124106,
14.825,µm,Spot,Position,315,1000124104,124107,
13.4406,µm,Spot,Position,316,1000124104,124108,
39.0315,µm,Spot,Position,385,1000124109,124109,
39.3834,µm,Spot,Position,386,1000124109,124110,
39.1869,µm,Spot,Position,387,1000124109,124111,
13.7706,µm,Spot,Position,370,1000124112,124112,
13.5228,µm,Spot,Position,371,1000124112,124113,
13.3714,µm,Spot,Position,372,1000124112,124114,
30.2713,µm,Spot,Position,275,1000124115,124115,
30.529,µm,Spot,Position,276,1000124115,124116,
30.1333,µm,Spot,Position,277,1000124115,124117,
30.0547,µm,Spot,Position,278,1000124115,124118,
30.2713,µm,Spot,Position,279,1000124115,124119,
18.5169,µm,Spot,Position,167,1000124120,124120,
18.5169,µm,Spot,Position,168,1000124120,124121,
