
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,TrackID,ID,
45.8596,µm,Spot,Position,28,1000124095,124095,
46.7825,µm,Spot,Position,29,1000124095,124096,
47.4748,µm,Spot,Position,30,1000124095,124097,
39.3082,µm,Spot,Position,32,1000124098,124098,
38.9686,µm,Spot,Position,33,1000124098,124099,
39.283,µm,Spot,Position,34,1000124098,124100,
13.556,µm,Spot,Position,259,1000124101,124101,
14.0175,µm,Spot,Position,260,1000124101,124102,
15.6326,µm,Spot,Position,261,1000124101,124103,
28.2414,µm,Spot,Position,312,1000124104,124104,
28.466,µm,Spot,Position,313,1000124104,124105,
28.0458,µm,Spot,Position,314,1000124104,124106,
27.8266,µm,Spot,Position,315,1000124104,124107,
28.3346,µm,Spot,Position,316,1000124104,124108,
32.2459,µm,Spot,Position,385,1000124109,124109,
31.8998,µm,Spot,Position,386,1000124109,124110,
31.8998,µm,Spot,Position,387,1000124109,124111,
25.1719,µm,Spot,Position,370,1000124112,124112,
25.2561,µm,Spot,Position,371,1000124112,124113,
25.3408,µm,Spot,Position,372,1000124112,124114,
18.6035,µm,Spot,Position,275,1000124115,124115,
17.9165,µm,Spot,Position,276,1000124115,124116,
18.1466,µm,Spot,Position,277,1000124115,124117,
18.5346,µm,Spot,Position,278,1000124115,124118,
18.6035,µm,Spot,Position,279,1000124115,124119,
37.0179,µm,Spot,Position,167,1000124120,124120,
35.8665,µm,Spot,Position,168,1000124120,124121,
