
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,1,,1,,
Number of Spots per Time Point,1,,2,,
Number of Spots per Time Point,1,,3,,
Number of Spots per Time Point,1,,4,,
Number of Spots per Time Point,1,,5,,
Number of Spots per Time Point,1,,6,,
Number of Spots per Time Point,1,,7,,
Number of Spots per Time Point,1,,8,,
Number of Spots per Time Point,1,,9,,
Number of Spots per Time Point,1,,10,,
Number of Spots per Time Point,1,,11,,
Number of Spots per Time Point,1,,12,,
Number of Spots per Time Point,1,,13,,
Number of Spots per Time Point,1,,14,,
Number of Spots per Time Point,1,,15,,
Number of Spots per Time Point,1,,16,,
Number of Spots per Time Point,1,,17,,
Number of Spots per Time Point,1,,18,,
Number of Spots per Time Point,1,,19,,
Number of Spots per Time Point,1,,20,,
Number of Spots per Time Point,1,,21,,
Number of Spots per Time Point,1,,22,,
Number of Spots per Time Point,1,,23,,
Number of Spots per Time Point,1,,24,,
Number of Spots per Time Point,1,,25,,
Number of Spots per Time Point,1,,26,,
Number of Spots per Time Point,1,,27,,
Number of Spots per Time Point,1,,28,,
Number of Spots per Time Point,1,,29,,
Number of Spots per Time Point,1,,30,,
Number of Spots per Time Point,1,,31,,
Number of Spots per Time Point,1,,32,,
Number of Spots per Time Point,1,,33,,
Number of Spots per Time Point,1,,34,,
Number of Spots per Time Point,1,,35,,
Number of Spots per Time Point,1,,36,,
Number of Spots per Time Point,2,,37,,
Number of Spots per Time Point,2,,38,,
Number of Spots per Time Point,2,,39,,
Number of Spots per Time Point,2,,40,,
Number of Spots per Time Point,2,,41,,
Number of Spots per Time Point,2,,42,,
Number of Spots per Time Point,2,,43,,
Number of Spots per Time Point,2,,44,,
Number of Spots per Time Point,2,,45,,
Number of Spots per Time Point,2,,46,,
Number of Spots per Time Point,2,,47,,
Number of Spots per Time Point,2,,48,,
Number of Spots per Time Point,2,,49,,
Number of Spots per Time Point,1,,50,,
Number of Spots per Time Point,1,,51,,
Number of Spots per Time Point,1,,52,,
Number of Spots per Time Point,1,,53,,
Number of Spots per Time Point,1,,54,,
Number of Spots per Time Point,1,,55,,
Number of Spots per Time Point,1,,56,,
Number of Spots per Time Point,1,,57,,
Number of Spots per Time Point,1,,58,,
Number of Spots per Time Point,1,,59,,
Number of Spots per Time Point,1,,60,,
Number of Spots per Time Point,1,,61,,
Number of Spots per Time Point,1,,62,,
Number of Spots per Time Point,1,,63,,
Number of Spots per Time Point,1,,64,,
Number of Spots per Time Point,1,,65,,
Number of Spots per Time Point,1,,66,,
Number of Spots per Time Point,1,,67,,
Number of Spots per Time Point,1,,68,,
Number of Spots per Time Point,1,,69,,
Number of Spots per Time Point,1,,70,,
Number of Spots per Time Point,1,,71,,
Number of Spots per Time Point,1,,72,,
Number of Spots per Time Point,1,,73,,
Number of Spots per Time Point,1,,74,,
Number of Spots per Time Point,1,,75,,
Number of Spots per Time Point,1,,76,,
Number of Spots per Time Point,1,,77,,
Number of Spots per Time Point,1,,78,,
Number of Spots per Time Point,1,,79,,
Number of Spots per Time Point,1,,80,,
Number of Spots per Time Point,1,,81,,
Number of Spots per Time Point,1,,82,,
Number of Spots per Time Point,1,,83,,
Number of Spots per Time Point,1,,84,,
Number of Spots per Time Point,1,,85,,
Number of Spots per Time Point,1,,86,,
Number of Spots per Time Point,1,,87,,
Number of Spots per Time Point,1,,88,,
Number of Spots per Time Point,1,,89,,
Number of Spots per Time Point,1,,90,,
Number of Spots per Time Point,1,,91,,
Number of Spots per Time Point,1,,92,,
Number of Spots per Time Point,1,,93,,
Number of Spots per Time Point,2,,94,,
Number of Spots per Time Point,2,,95,,
Number of Spots per Time Point,2,,96,,
Number of Spots per Time Point,2,,97,,
Number of Spots per Time Point,2,,98,,
Number of Spots per Time Point,2,,99,,
Number of Spots per Time Point,2,,100,,
Number of Spots per Time Point,2,,101,,
Number of Spots per Time Point,2,,102,,
Number of Spots per Time Point,2,,103,,
Number of Spots per Time Point,2,,104,,
Number of Spots per Time Point,2,,105,,
Number of Spots per Time Point,2,,106,,
Number of Spots per Time Point,2,,107,,
Number of Spots per Time Point,2,,108,,
Number of Spots per Time Point,2,,109,,
Number of Spots per Time Point,2,,110,,
Number of Spots per Time Point,2,,111,,
Number of Spots per Time Point,2,,112,,
Number of Spots per Time Point,2,,113,,
Number of Spots per Time Point,2,,114,,
Number of Spots per Time Point,2,,115,,
Number of Spots per Time Point,2,,116,,
Number of Spots per Time Point,2,,117,,
Number of Spots per Time Point,2,,118,,
Number of Spots per Time Point,2,,119,,
Number of Spots per Time Point,2,,120,,
Number of Spots per Time Point,2,,121,,
Number of Spots per Time Point,2,,122,,
Number of Spots per Time Point,2,,123,,
Number of Spots per Time Point,2,,124,,
Number of Spots per Time Point,1,,125,,
Number of Spots per Time Point,1,,126,,
Number of Spots per Time Point,1,,127,,
Number of Spots per Time Point,1,,128,,
Number of Spots per Time Point,1,,129,,
Number of Spots per Time Point,1,,130,,
Number of Spots per Time Point,1,,131,,
Number of Spots per Time Point,1,,132,,
Number of Spots per Time Point,1,,133,,
Number of Spots per Time Point,1,,134,,
Number of Spots per Time Point,1,,135,,
Number of Spots per Time Point,1,,136,,
Number of Spots per Time Point,1,,137,,
Number of Spots per Time Point,1,,138,,
Number of Spots per Time Point,1,,139,,
Number of Spots per Time Point,1,,140,,
Number of Spots per Time Point,2,,141,,
Number of Spots per Time Point,2,,142,,
Number of Spots per Time Point,2,,143,,
Number of Spots per Time Point,2,,144,,
Number of Spots per Time Point,2,,145,,
Number of Spots per Time Point,2,,146,,
Number of Spots per Time Point,2,,147,,
Number of Spots per Time Point,2,,148,,
Number of Spots per Time Point,1,,149,,
Number of Spots per Time Point,1,,150,,
Number of Spots per Time Point,1,,151,,
Number of Spots per Time Point,1,,152,,
Number of Spots per Time Point,1,,153,,
Number of Spots per Time Point,1,,154,,
Number of Spots per Time Point,1,,155,,
Number of Spots per Time Point,1,,156,,
Number of Spots per Time Point,1,,157,,
Number of Spots per Time Point,1,,158,,
Number of Spots per Time Point,1,,159,,
Number of Spots per Time Point,1,,160,,
Number of Spots per Time Point,1,,161,,
Number of Spots per Time Point,1,,162,,
Number of Spots per Time Point,1,,163,,
Number of Spots per Time Point,1,,164,,
Number of Spots per Time Point,1,,165,,
Number of Spots per Time Point,1,,166,,
Number of Spots per Time Point,1,,167,,
Number of Spots per Time Point,1,,168,,
Number of Spots per Time Point,1,,169,,
Number of Spots per Time Point,1,,170,,
Number of Spots per Time Point,1,,171,,
Number of Spots per Time Point,1,,172,,
Number of Spots per Time Point,1,,173,,
Number of Spots per Time Point,1,,174,,
Number of Spots per Time Point,1,,175,,
Number of Spots per Time Point,1,,176,,
Number of Spots per Time Point,1,,177,,
Number of Spots per Time Point,1,,178,,
Number of Spots per Time Point,1,,179,,
Number of Spots per Time Point,1,,180,,
Number of Spots per Time Point,1,,181,,
Number of Spots per Time Point,2,,182,,
Number of Spots per Time Point,2,,183,,
Number of Spots per Time Point,2,,184,,
Number of Spots per Time Point,2,,185,,
Number of Spots per Time Point,2,,186,,
Number of Spots per Time Point,2,,187,,
Number of Spots per Time Point,2,,188,,
Number of Spots per Time Point,2,,189,,
Number of Spots per Time Point,2,,190,,
Number of Spots per Time Point,2,,191,,
Number of Spots per Time Point,2,,192,,
Number of Spots per Time Point,2,,193,,
Number of Spots per Time Point,2,,194,,
Number of Spots per Time Point,2,,195,,
Number of Spots per Time Point,2,,196,,
Number of Spots per Time Point,2,,197,,
Number of Spots per Time Point,2,,198,,
Number of Spots per Time Point,1,,199,,
Number of Spots per Time Point,1,,200,,
Number of Spots per Time Point,1,,201,,
Number of Spots per Time Point,1,,202,,
Number of Spots per Time Point,1,,203,,
Number of Spots per Time Point,1,,204,,
Number of Spots per Time Point,1,,205,,
Number of Spots per Time Point,1,,206,,
Number of Spots per Time Point,1,,207,,
Number of Spots per Time Point,1,,208,,
Number of Spots per Time Point,1,,209,,
Number of Spots per Time Point,1,,210,,
Number of Spots per Time Point,1,,211,,
Number of Spots per Time Point,1,,212,,
Number of Spots per Time Point,1,,213,,
