
Shortest Distance to Spots Spots=Cell-soma
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
13.7337,,Spot,Cell-soma,1,1000000000,0,
14.074,,Spot,Cell-soma,2,1000000000,1,
13.7707,,Spot,Cell-soma,3,1000000000,2,
12.6239,,Spot,Cell-soma,4,1000000000,3,
12.2611,,Spot,Cell-soma,5,1000000000,4,
12.4158,,Spot,Cell-soma,6,1000000000,5,
12.1761,,Spot,Cell-soma,7,1000000000,6,
13.0668,,Spot,Cell-soma,8,1000000000,7,
12.9963,,Spot,Cell-soma,9,1000000000,8,
13.3618,,Spot,Cell-soma,10,1000000000,9,
12.8983,,Spot,Cell-soma,11,1000000000,10,
13.0338,,Spot,Cell-soma,12,1000000000,11,
12.6381,,Spot,Cell-soma,13,1000000000,12,
12.9679,,Spot,Cell-soma,14,1000000000,13,
13.4657,,Spot,Cell-soma,15,1000000000,14,
12.9081,,Spot,Cell-soma,16,1000000000,15,
13.4644,,Spot,Cell-soma,17,1000000000,16,
13.2408,,Spot,Cell-soma,18,1000000000,17,
13.5907,,Spot,Cell-soma,19,1000000000,18,
13.85,,Spot,Cell-soma,20,1000000000,19,
13.9287,,Spot,Cell-soma,21,1000000000,20,
13.589,,Spot,Cell-soma,22,1000000000,21,
13.0545,,Spot,Cell-soma,23,1000000000,22,
12.6325,,Spot,Cell-soma,24,1000000000,23,
13.3824,,Spot,Cell-soma,25,1000000000,24,
13.0825,,Spot,Cell-soma,26,1000000000,25,
12.7828,,Spot,Cell-soma,27,1000000000,26,
11.8292,,Spot,Cell-soma,28,1000000000,27,
12.2248,,Spot,Cell-soma,29,1000000000,28,
12.5525,,Spot,Cell-soma,30,1000000000,29,
12.2717,,Spot,Cell-soma,31,1000000000,30,
11.9916,,Spot,Cell-soma,32,1000000000,31,
12.7199,,Spot,Cell-soma,33,1000000000,32,
12.0238,,Spot,Cell-soma,34,1000000000,33,
11.2474,,Spot,Cell-soma,35,1000000000,34,
11.038,,Spot,Cell-soma,36,1000000000,35,
9.64341,,Spot,Cell-soma,37,1000000000,36,
35.5694,,Spot,Cell-soma,37,1000000139,139,
