
Shortest Distance to Spots Spots=Centrosome
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
7.08352,µm,Spot,Centrosome,1,1000000000,0,
7.31054,µm,Spot,Centrosome,2,1000000000,1,
6.53897,µm,Spot,Centrosome,3,1000000000,2,
6.58933,µm,Spot,Centrosome,4,1000000000,3,
5.56463,µm,Spot,Centrosome,5,1000000000,4,
5.59189,µm,Spot,Centrosome,6,1000000000,5,
6.05558,µm,Spot,Centrosome,7,1000000000,6,
7.15883,µm,Spot,Centrosome,8,1000000000,7,
7.09165,µm,Spot,Centrosome,9,1000000000,8,
7.46446,µm,Spot,Centrosome,10,1000000000,9,
7.54093,µm,Spot,Centrosome,11,1000000000,10,
7.25347,µm,Spot,Centrosome,12,1000000000,11,
7.92902,µm,Spot,Centrosome,13,1000000000,12,
7.80219,µm,Spot,Centrosome,14,1000000000,13,
8.27448,µm,Spot,Centrosome,15,1000000000,14,
8.25408,µm,Spot,Centrosome,16,1000000000,15,
7.98901,µm,Spot,Centrosome,17,1000000000,16,
7.82362,µm,Spot,Centrosome,18,1000000000,17,
8.26557,µm,Spot,Centrosome,19,1000000000,18,
8.81724,µm,Spot,Centrosome,20,1000000000,19,
8.29821,µm,Spot,Centrosome,21,1000000000,20,
6.97015,µm,Spot,Centrosome,22,1000000000,21,
7.59728,µm,Spot,Centrosome,23,1000000000,22,
8.07908,µm,Spot,Centrosome,24,1000000000,23,
7.73102,µm,Spot,Centrosome,25,1000000000,24,
8.10822,µm,Spot,Centrosome,26,1000000000,25,
7.84059,µm,Spot,Centrosome,27,1000000000,26,
6.96096,µm,Spot,Centrosome,28,1000000000,27,
6.8663,µm,Spot,Centrosome,29,1000000000,28,
7.10283,µm,Spot,Centrosome,30,1000000000,29,
7.44029,µm,Spot,Centrosome,31,1000000000,30,
6.37557,µm,Spot,Centrosome,32,1000000000,31,
6.36421,µm,Spot,Centrosome,33,1000000000,32,
7.15037,µm,Spot,Centrosome,34,1000000000,33,
8.39127,µm,Spot,Centrosome,35,1000000000,34,
9.5345,µm,Spot,Centrosome,36,1000000000,35,
11.998,µm,Spot,Centrosome,37,1000000000,36,
16.7011,µm,Spot,Centrosome,37,1000000139,139,
14.0618,µm,Spot,Centrosome,38,1000000000,140,
14.6636,µm,Spot,Centrosome,38,1000000139,141,
13.7669,µm,Spot,Centrosome,39,1000000000,142,
13.6219,µm,Spot,Centrosome,39,1000000139,143,
13.5032,µm,Spot,Centrosome,40,1000000000,144,
13.7492,µm,Spot,Centrosome,40,1000000139,145,
15.1162,µm,Spot,Centrosome,41,1000000000,146,
10.6703,µm,Spot,Centrosome,41,1000000139,147,
17.0409,µm,Spot,Centrosome,42,1000000000,148,
7.91258,µm,Spot,Centrosome,42,1000000139,149,
15.8931,µm,Spot,Centrosome,43,1000000000,150,
7.32074,µm,Spot,Centrosome,43,1000000139,151,
16.9053,µm,Spot,Centrosome,44,1000000000,152,
5.61501,µm,Spot,Centrosome,44,1000000139,153,
16.3895,µm,Spot,Centrosome,45,1000000000,154,
4.77933,µm,Spot,Centrosome,45,1000000139,155,
15.5407,µm,Spot,Centrosome,46,1000000000,156,
4.9255,µm,Spot,Centrosome,46,1000000139,157,
15.0905,µm,Spot,Centrosome,47,1000000000,158,
4.83134,µm,Spot,Centrosome,47,1000000139,159,
15.8085,µm,Spot,Centrosome,48,1000000000,160,
4.791,µm,Spot,Centrosome,48,1000000139,161,
14.529,µm,Spot,Centrosome,49,1000000000,162,
4.85749,µm,Spot,Centrosome,49,1000000139,163,
5.97933,µm,Spot,Centrosome,50,1000000139,164,
5.8865,µm,Spot,Centrosome,51,1000000139,165,
5.95007,µm,Spot,Centrosome,52,1000000139,166,
5.76423,µm,Spot,Centrosome,53,1000000139,167,
5.18547,µm,Spot,Centrosome,54,1000000139,168,
5.62865,µm,Spot,Centrosome,55,1000000139,169,
4.92245,µm,Spot,Centrosome,56,1000000139,170,
5.30195,µm,Spot,Centrosome,57,1000000139,171,
4.53917,µm,Spot,Centrosome,58,1000000139,172,
5.57416,µm,Spot,Centrosome,59,1000000139,173,
6.79324,µm,Spot,Centrosome,60,1000000139,174,
