
Track Shortest Distance to Spots Min Spots=Cell-soma
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
5.29247,µm,Track,Cell-soma,1000000000,
5.23833,µm,Track,Cell-soma,1000000139,
3.93913,µm,Track,Cell-soma,1000000209,
4.48386,µm,Track,Cell-soma,1000000287,
5.09857,µm,Track,Cell-soma,1000000336,
5.41237,µm,Track,Cell-soma,1000000452,
3.54456,µm,Track,Cell-soma,1000000612,
3.65646,µm,Track,Cell-soma,1000000730,
4.7269,µm,Track,Cell-soma,1000000753,
4.55424,µm,Track,Cell-soma,1000000794,
5.13222,µm,Track,Cell-soma,1000000806,
