
Track Shortest Distance to Spots Min Spots=Centrosome
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
5.56463,µm,Track,Centrosome,1000000000,
3.76877,µm,Track,Centrosome,1000000139,
3.06472,µm,Track,Centrosome,1000000209,
4.83925,µm,Track,Centrosome,1000000287,
1.50739,µm,Track,Centrosome,1000000336,
4.70426,µm,Track,Centrosome,1000000452,
3.03762,µm,Track,Centrosome,1000000612,
4.51533,µm,Track,Centrosome,1000000730,
2.56179,µm,Track,Centrosome,1000000753,
2.85821,µm,Track,Centrosome,1000000794,
3.14331,µm,Track,Centrosome,1000000806,
