
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
235.217,,Spot,1,Image 1,1,1000004490,4490,
232.221,,Spot,1,Image 1,2,1000004490,4491,
232.895,,Spot,1,Image 1,3,1000004490,4492,
235.826,,Spot,1,Image 1,4,1000004490,4493,
233.283,,Spot,1,Image 1,5,1000004490,4494,
236.792,,Spot,1,Image 1,6,1000004490,4495,
236.019,,Spot,1,Image 1,7,1000004490,4496,
233.082,,Spot,1,Image 1,8,1000004490,4497,
235.928,,Spot,1,Image 1,9,1000004490,4498,
231.448,,Spot,1,Image 1,10,1000004490,4499,
235.303,,Spot,1,Image 1,11,1000004490,4500,
234.505,,Spot,1,Image 1,12,1000004490,4501,
233.29,,Spot,1,Image 1,13,1000004490,4502,
233.138,,Spot,1,Image 1,14,1000004490,4503,
232.948,,Spot,1,Image 1,15,1000004490,4504,
232.06,,Spot,1,Image 1,16,1000004490,4505,
231.478,,Spot,1,Image 1,17,1000004490,4506,
229.51,,Spot,1,Image 1,18,1000004490,4507,
226.394,,Spot,1,Image 1,19,1000004490,4508,
230.302,,Spot,1,Image 1,20,1000004490,4509,
226.751,,Spot,1,Image 1,21,1000004490,4510,
229.858,,Spot,1,Image 1,22,1000004490,4511,
225.511,,Spot,1,Image 1,23,1000004490,4512,
229.964,,Spot,1,Image 1,24,1000004490,4513,
229.885,,Spot,1,Image 1,25,1000004490,4514,
228.608,,Spot,1,Image 1,26,1000004490,4515,
228.017,,Spot,1,Image 1,27,1000004490,4516,
227.163,,Spot,1,Image 1,28,1000004490,4517,
227.07,,Spot,1,Image 1,29,1000004490,4518,
231.319,,Spot,1,Image 1,30,1000004490,4519,
231.708,,Spot,1,Image 1,31,1000004490,4520,
228.115,,Spot,1,Image 1,32,1000004490,4521,
224.706,,Spot,1,Image 1,33,1000004490,4522,
224.797,,Spot,1,Image 1,34,1000004490,4523,
224.285,,Spot,1,Image 1,35,1000004490,4524,
228.855,,Spot,1,Image 1,36,1000004490,4525,
227.247,,Spot,1,Image 1,37,1000004490,4526,
222.407,,Spot,1,Image 1,38,1000004490,4527,
223.038,,Spot,1,Image 1,39,1000004490,4528,
225.104,,Spot,1,Image 1,40,1000004490,4529,
221.657,,Spot,1,Image 1,41,1000004490,4530,
224.63,,Spot,1,Image 1,42,1000004490,4531,
221.824,,Spot,1,Image 1,43,1000004490,4532,
221.339,,Spot,1,Image 1,44,1000004490,4533,
220.977,,Spot,1,Image 1,45,1000004490,4534,
222.192,,Spot,1,Image 1,46,1000004490,4535,
225.086,,Spot,1,Image 1,47,1000004490,4536,
221.808,,Spot,1,Image 1,48,1000004490,4537,
222.198,,Spot,1,Image 1,49,1000004490,4538,
222.209,,Spot,1,Image 1,50,1000004490,4539,
223.771,,Spot,1,Image 1,51,1000004490,4540,
219.791,,Spot,1,Image 1,52,1000004490,4541,
220.605,,Spot,1,Image 1,53,1000004490,4542,
221.369,,Spot,1,Image 1,54,1000004490,4543,
224.736,,Spot,1,Image 1,55,1000004490,4544,
221.136,,Spot,1,Image 1,56,1000004490,4545,
221.878,,Spot,1,Image 1,57,1000004490,4546,
221.787,,Spot,1,Image 1,58,1000004490,4547,
225.08,,Spot,1,Image 1,59,1000004490,4548,
224.801,,Spot,1,Image 1,60,1000004490,4549,
224.663,,Spot,1,Image 1,61,1000004490,4550,
220.51,,Spot,1,Image 1,62,1000004490,4551,
220.493,,Spot,1,Image 1,63,1000004490,4552,
224.124,,Spot,1,Image 1,64,1000004490,4553,
224.353,,Spot,1,Image 1,65,1000004490,4554,
221.396,,Spot,1,Image 1,66,1000004490,4555,
223.686,,Spot,1,Image 1,67,1000004490,4556,
219.872,,Spot,1,Image 1,68,1000004490,4557,
223.834,,Spot,1,Image 1,69,1000004490,4558,
221.643,,Spot,1,Image 1,70,1000004490,4559,
225.866,,Spot,1,Image 1,71,1000004490,4560,
221.823,,Spot,1,Image 1,72,1000004490,4561,
226.139,,Spot,1,Image 1,73,1000004490,4562,
226.142,,Spot,1,Image 1,74,1000004490,4563,
226.381,,Spot,1,Image 1,75,1000004490,4564,
223.64,,Spot,1,Image 1,76,1000004490,4565,
226.839,,Spot,1,Image 1,77,1000004490,4566,
222.212,,Spot,1,Image 1,78,1000004490,4567,
221.676,,Spot,1,Image 1,79,1000004490,4568,
224.034,,Spot,1,Image 1,80,1000004490,4569,
229.4,,Spot,1,Image 1,81,1000004490,4570,
229.262,,Spot,1,Image 1,82,1000004490,4571,
226.542,,Spot,1,Image 1,83,1000004490,4572,
227.572,,Spot,1,Image 1,84,1000004490,4573,
232.986,,Spot,1,Image 1,85,1000004490,4574,
232.487,,Spot,1,Image 1,86,1000004490,4575,
230.934,,Spot,1,Image 1,87,1000004490,4576,
230.853,,Spot,1,Image 1,88,1000004490,4577,
