
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,1,1000017505,17505,
0.895309,0.54361,0.394981,µm,Spot,Displacement Delta,2,1000017505,53972,
0.803062,0.367054,0.113041,µm,Spot,Displacement Delta,3,1000017505,91150,
-0.0925751,0.34557,-0.143867,µm,Spot,Displacement Delta,4,1000017505,128784,
-0.275272,-0.827991,0.046133,µm,Spot,Displacement Delta,5,1000017505,166638,
-2.31665,-0.490818,0.121769,µm,Spot,Displacement Delta,6,1000017505,204743,
-1.82888,-0.0949059,0.183027,µm,Spot,Displacement Delta,7,1000017505,243125,
-0.987129,0.470142,-0.353563,µm,Spot,Displacement Delta,8,1000017505,282220,
-0.347847,-0.929953,-0.908703,µm,Spot,Displacement Delta,9,1000017505,321782,
-0.799681,-0.933811,-0.849874,µm,Spot,Displacement Delta,10,1000017505,361583,
-0.177389,0.162693,-0.0362186,µm,Spot,Displacement Delta,11,1000017505,401600,
-1.91539,-1.9663,-1.60483,µm,Spot,Displacement Delta,12,1000017505,431816,
-1.29482,-1.17694,0.0338402,µm,Spot,Displacement Delta,13,1000017505,472106,
0.395573,0.642218,-0.456791,µm,Spot,Displacement Delta,14,1000017505,512129,
-1.70183,-0.94195,0.362677,µm,Spot,Displacement Delta,15,1000017505,552718,
-1.11663,-1.44921,-0.813799,µm,Spot,Displacement Delta,16,1000017505,593063,
-0.227623,-0.360018,-0.155273,µm,Spot,Displacement Delta,17,1000017505,633351,
-1.57929,-0.890022,-0.235315,µm,Spot,Displacement Delta,18,1000017505,673910,
-0.925848,-0.864506,-1.21218,µm,Spot,Displacement Delta,19,1000017505,714605,
-0.113476,-0.178831,0.146954,µm,Spot,Displacement Delta,20,1000017505,755519,
-0.334898,-0.031023,-0.212521,µm,Spot,Displacement Delta,21,1000017505,796668,
-0.489882,-0.349192,0.0910721,µm,Spot,Displacement Delta,22,1000017505,837624,
-0.441561,-1.02131,-0.136541,µm,Spot,Displacement Delta,23,1000017505,878326,
-0.306261,-0.226751,-0.24836,µm,Spot,Displacement Delta,24,1000017505,919109,
0.224752,0.321115,-0.0370064,µm,Spot,Displacement Delta,25,1000017505,960015,
-0.0817623,-1.32002,-0.232336,µm,Spot,Displacement Delta,26,1000017505,1001088,
0.050108,-0.477657,-0.043438,µm,Spot,Displacement Delta,27,1000017505,1042270,
0.658171,0.752644,0.396317,µm,Spot,Displacement Delta,28,1000017505,1083122,
0.944799,1.74536,-0.0386257,µm,Spot,Displacement Delta,29,1000017505,1124220,
1.72842,1.02761,-0.217091,µm,Spot,Displacement Delta,30,1000017505,1165160,
-0.965149,-1.10061,0.447134,µm,Spot,Displacement Delta,31,1000017505,1206437,
-1.19995,-3.12955,-0.564102,µm,Spot,Displacement Delta,32,1000017505,1247528,
-0.739643,-1.70681,-0.377083,µm,Spot,Displacement Delta,33,1000017505,1289207,
0.13986,0.271496,-0.069622,µm,Spot,Displacement Delta,34,1000017505,1331168,
-0.0596581,1.23783,0.055603,µm,Spot,Displacement Delta,35,1000017505,1372813,
0.327169,0.89752,-0.79348,µm,Spot,Displacement Delta,36,1000017505,1414760,
0.273827,0.355753,0.24852,µm,Spot,Displacement Delta,37,1000017505,1456739,
-0.721947,-0.698505,0.384851,µm,Spot,Displacement Delta,38,1000017505,1499223,
0.284548,-1.64607,0.102692,µm,Spot,Displacement Delta,39,1000017505,1541425,
-0.222286,-0.216311,0.0471935,µm,Spot,Displacement Delta,40,1000017505,1583783,
-0.324717,0.690937,-0.905046,µm,Spot,Displacement Delta,41,1000017505,1626381,
0.26454,0.226387,0.476089,µm,Spot,Displacement Delta,42,1000017505,1668887,
-0.339678,0.896595,-0.913551,µm,Spot,Displacement Delta,43,1000017505,1711364,
0.655685,-0.00273895,0.248007,µm,Spot,Displacement Delta,44,1000017505,1754387,
-0.595949,0.231842,-0.867855,µm,Spot,Displacement Delta,45,1000017505,1797791,
-0.0388908,-0.251163,-0.235418,µm,Spot,Displacement Delta,46,1000017505,1841131,
0.117794,-0.0941277,0.16016,µm,Spot,Displacement Delta,47,1000017505,1884164,
