
Diameter Z
 ==================== 
Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
4,µm,Spot,Diameter,16,1000099590,99590,
4,µm,Spot,Diameter,17,1000099590,99591,
4,µm,Spot,Diameter,18,1000099590,99592,
4,µm,Spot,Diameter,19,1000099590,99593,
4,µm,Spot,Diameter,30,1000099594,99594,
4,µm,Spot,Diameter,31,1000099594,99595,
4,µm,Spot,Diameter,32,1000099594,99596,
4,µm,Spot,Diameter,33,1000099594,99597,
4,µm,Spot,Diameter,38,1000099598,99598,
4,µm,Spot,Diameter,39,1000099598,99599,
4,µm,Spot,Diameter,40,1000099598,99600,
4,µm,Spot,Diameter,41,1000099598,99601,
4,µm,Spot,Diameter,75,1000099602,99602,
4,µm,Spot,Diameter,76,1000099602,99603,
4,µm,Spot,Diameter,77,1000099602,99604,
4,µm,Spot,Diameter,78,1000099602,99605,
4,µm,Spot,Diameter,79,1000099602,99606,
4,µm,Spot,Diameter,80,1000099602,99607,
4,µm,Spot,Diameter,81,1000099602,99608,
4,µm,Spot,Diameter,157,1000099609,99609,
4,µm,Spot,Diameter,158,1000099609,99610,
4,µm,Spot,Diameter,159,1000099609,99611,
4,µm,Spot,Diameter,160,1000099609,99612,
4,µm,Spot,Diameter,161,1000099609,99613,
4,µm,Spot,Diameter,162,1000099609,99614,
4,µm,Spot,Diameter,186,1000099615,99615,
4,µm,Spot,Diameter,187,1000099615,99616,
4,µm,Spot,Diameter,188,1000099615,99617,
4,µm,Spot,Diameter,189,1000099615,99618,
4,µm,Spot,Diameter,328,1000099619,99619,
4,µm,Spot,Diameter,332,1000099619,99623,
4,µm,Spot,Diameter,380,1000099629,99629,
4,µm,Spot,Diameter,381,1000099629,99630,
4,µm,Spot,Diameter,382,1000099629,99631,
4,µm,Spot,Diameter,383,1000099629,99632,
4,µm,Spot,Diameter,384,1000099629,99633,
4,µm,Spot,Diameter,329,1000099619,99634,
4,µm,Spot,Diameter,330,1000099619,99635,
4,µm,Spot,Diameter,331,1000099619,99636,
4,µm,Spot,Diameter,368,1000099637,99637,
4,µm,Spot,Diameter,369,1000099637,99638,
4,µm,Spot,Diameter,247,1000099640,99640,
4,µm,Spot,Diameter,248,1000099640,99641,
4,µm,Spot,Diameter,249,1000099640,99642,
4,µm,Spot,Diameter,250,1000099640,99643,
4,µm,Spot,Diameter,251,1000099640,99644,
4,µm,Spot,Diameter,135,1000099652,99652,
4,µm,Spot,Diameter,136,1000099652,99653,
4,µm,Spot,Diameter,137,1000099652,99654,
4,µm,Spot,Diameter,138,1000099652,99655,
4,µm,Spot,Diameter,4,1000099657,99657,
4,µm,Spot,Diameter,5,1000099657,99658,
4,µm,Spot,Diameter,6,1000099657,99659,
4,µm,Spot,Diameter,301,1000099660,99660,
4,µm,Spot,Diameter,302,1000099660,99661,
4,µm,Spot,Diameter,303,1000099660,99662,
