
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
215,,Spot,3,Image 1,16,1000099590,99590,
218.02,,Spot,3,Image 1,17,1000099590,99591,
215.016,,Spot,3,Image 1,18,1000099590,99592,
214.984,,Spot,3,Image 1,19,1000099590,99593,
217.02,,Spot,3,Image 1,30,1000099594,99594,
216.98,,Spot,3,Image 1,31,1000099594,99595,
213.02,,Spot,3,Image 1,32,1000099594,99596,
215.984,,Spot,3,Image 1,33,1000099594,99597,
218,,Spot,3,Image 1,38,1000099598,99598,
217.996,,Spot,3,Image 1,39,1000099598,99599,
214.008,,Spot,3,Image 1,40,1000099598,99600,
217.008,,Spot,3,Image 1,41,1000099598,99601,
218.008,,Spot,3,Image 1,75,1000099602,99602,
218.044,,Spot,3,Image 1,76,1000099602,99603,
217.96,,Spot,3,Image 1,77,1000099602,99604,
218,,Spot,3,Image 1,78,1000099602,99605,
217.016,,Spot,3,Image 1,79,1000099602,99606,
213.976,,Spot,3,Image 1,80,1000099602,99607,
214.04,,Spot,3,Image 1,81,1000099602,99608,
213.996,,Spot,3,Image 1,157,1000099609,99609,
218.008,,Spot,3,Image 1,158,1000099609,99610,
217.996,,Spot,3,Image 1,159,1000099609,99611,
216.996,,Spot,3,Image 1,160,1000099609,99612,
213.98,,Spot,3,Image 1,161,1000099609,99613,
218.032,,Spot,3,Image 1,162,1000099609,99614,
219.028,,Spot,3,Image 1,186,1000099615,99615,
217.99,,Spot,3,Image 1,187,1000099615,99616,
214.996,,Spot,3,Image 1,188,1000099615,99617,
217.984,,Spot,3,Image 1,189,1000099615,99618,
216.972,,Spot,3,Image 1,328,1000099619,99619,
218,,Spot,3,Image 1,332,1000099619,99623,
215.028,,Spot,3,Image 1,380,1000099629,99629,
215.02,,Spot,3,Image 1,381,1000099629,99630,
215,,Spot,3,Image 1,382,1000099629,99631,
215.004,,Spot,3,Image 1,383,1000099629,99632,
215.024,,Spot,3,Image 1,384,1000099629,99633,
213.96,,Spot,3,Image 1,329,1000099619,99634,
218.008,,Spot,3,Image 1,330,1000099619,99635,
218.06,,Spot,3,Image 1,331,1000099619,99636,
214.006,,Spot,3,Image 1,368,1000099637,99637,
213,,Spot,3,Image 1,369,1000099637,99638,
215.01,,Spot,3,Image 1,247,1000099640,99640,
217.966,,Spot,3,Image 1,248,1000099640,99641,
218.008,,Spot,3,Image 1,249,1000099640,99642,
214.996,,Spot,3,Image 1,250,1000099640,99643,
214.032,,Spot,3,Image 1,251,1000099640,99644,
213.004,,Spot,3,Image 1,135,1000099652,99652,
213.028,,Spot,3,Image 1,136,1000099652,99653,
213.992,,Spot,3,Image 1,137,1000099652,99654,
216.978,,Spot,3,Image 1,138,1000099652,99655,
216.976,,Spot,3,Image 1,4,1000099657,99657,
216.96,,Spot,3,Image 1,5,1000099657,99658,
217.052,,Spot,3,Image 1,6,1000099657,99659,
213,,Spot,3,Image 1,301,1000099660,99660,
217,,Spot,3,Image 1,302,1000099660,99661,
216.972,,Spot,3,Image 1,303,1000099660,99662,
