
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
1.02025e+06,,Spot,1,Image 1,16,1000099590,99590,
1.02709e+06,,Spot,1,Image 1,17,1000099590,99591,
1.02504e+06,,Spot,1,Image 1,18,1000099590,99592,
1.01601e+06,,Spot,1,Image 1,19,1000099590,99593,
1.02028e+06,,Spot,1,Image 1,30,1000099594,99594,
1.02002e+06,,Spot,1,Image 1,31,1000099594,99595,
1.00687e+06,,Spot,1,Image 1,32,1000099594,99596,
1.0018e+06,,Spot,1,Image 1,33,1000099594,99597,
1.01934e+06,,Spot,1,Image 1,38,1000099598,99598,
1.00517e+06,,Spot,1,Image 1,39,1000099598,99599,
1.0122e+06,,Spot,1,Image 1,40,1000099598,99600,
988714,,Spot,1,Image 1,41,1000099598,99601,
1.02673e+06,,Spot,1,Image 1,75,1000099602,99602,
999816,,Spot,1,Image 1,76,1000099602,99603,
1.02995e+06,,Spot,1,Image 1,77,1000099602,99604,
1.012e+06,,Spot,1,Image 1,78,1000099602,99605,
1.00928e+06,,Spot,1,Image 1,79,1000099602,99606,
1.01435e+06,,Spot,1,Image 1,80,1000099602,99607,
1.0286e+06,,Spot,1,Image 1,81,1000099602,99608,
1.0335e+06,,Spot,1,Image 1,157,1000099609,99609,
1.02474e+06,,Spot,1,Image 1,158,1000099609,99610,
1.03203e+06,,Spot,1,Image 1,159,1000099609,99611,
1.03393e+06,,Spot,1,Image 1,160,1000099609,99612,
1.01313e+06,,Spot,1,Image 1,161,1000099609,99613,
1.0342e+06,,Spot,1,Image 1,162,1000099609,99614,
1.00597e+06,,Spot,1,Image 1,186,1000099615,99615,
1.00736e+06,,Spot,1,Image 1,187,1000099615,99616,
1.01581e+06,,Spot,1,Image 1,188,1000099615,99617,
1.00299e+06,,Spot,1,Image 1,189,1000099615,99618,
998947,,Spot,1,Image 1,328,1000099619,99619,
1.02994e+06,,Spot,1,Image 1,332,1000099619,99623,
1.01133e+06,,Spot,1,Image 1,380,1000099629,99629,
1.00898e+06,,Spot,1,Image 1,381,1000099629,99630,
998233,,Spot,1,Image 1,382,1000099629,99631,
1.0039e+06,,Spot,1,Image 1,383,1000099629,99632,
1.0211e+06,,Spot,1,Image 1,384,1000099629,99633,
1.00197e+06,,Spot,1,Image 1,329,1000099619,99634,
1.01475e+06,,Spot,1,Image 1,330,1000099619,99635,
1.02366e+06,,Spot,1,Image 1,331,1000099619,99636,
1.02652e+06,,Spot,1,Image 1,368,1000099637,99637,
995804,,Spot,1,Image 1,369,1000099637,99638,
1.00737e+06,,Spot,1,Image 1,247,1000099640,99640,
1.04194e+06,,Spot,1,Image 1,248,1000099640,99641,
1.04813e+06,,Spot,1,Image 1,249,1000099640,99642,
1.01349e+06,,Spot,1,Image 1,250,1000099640,99643,
1.04355e+06,,Spot,1,Image 1,251,1000099640,99644,
996829,,Spot,1,Image 1,135,1000099652,99652,
1.01951e+06,,Spot,1,Image 1,136,1000099652,99653,
1.04276e+06,,Spot,1,Image 1,137,1000099652,99654,
1.01536e+06,,Spot,1,Image 1,138,1000099652,99655,
1.0166e+06,,Spot,1,Image 1,4,1000099657,99657,
1.00316e+06,,Spot,1,Image 1,5,1000099657,99658,
1.01894e+06,,Spot,1,Image 1,6,1000099657,99659,
993605,,Spot,1,Image 1,301,1000099660,99660,
1.00253e+06,,Spot,1,Image 1,302,1000099660,99661,
1.0156e+06,,Spot,1,Image 1,303,1000099660,99662,
