
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
2.11372e+08,,Spot,1,Image 1,16,1000099590,99590,
2.14253e+08,,Spot,1,Image 1,17,1000099590,99591,
2.13941e+08,,Spot,1,Image 1,18,1000099590,99592,
2.09302e+08,,Spot,1,Image 1,19,1000099590,99593,
2.07308e+08,,Spot,1,Image 1,30,1000099594,99594,
2.07196e+08,,Spot,1,Image 1,31,1000099594,99595,
2.0163e+08,,Spot,1,Image 1,32,1000099594,99596,
2.00566e+08,,Spot,1,Image 1,33,1000099594,99597,
2.07554e+08,,Spot,1,Image 1,38,1000099598,99598,
2.04241e+08,,Spot,1,Image 1,39,1000099598,99599,
2.07711e+08,,Spot,1,Image 1,40,1000099598,99600,
1.9907e+08,,Spot,1,Image 1,41,1000099598,99601,
2.10066e+08,,Spot,1,Image 1,75,1000099602,99602,
2.02007e+08,,Spot,1,Image 1,76,1000099602,99603,
2.11707e+08,,Spot,1,Image 1,77,1000099602,99604,
2.04066e+08,,Spot,1,Image 1,78,1000099602,99605,
2.03882e+08,,Spot,1,Image 1,79,1000099602,99606,
2.05145e+08,,Spot,1,Image 1,80,1000099602,99607,
2.11008e+08,,Spot,1,Image 1,81,1000099602,99608,
2.11367e+08,,Spot,1,Image 1,157,1000099609,99609,
2.0886e+08,,Spot,1,Image 1,158,1000099609,99610,
2.12254e+08,,Spot,1,Image 1,159,1000099609,99611,
2.1275e+08,,Spot,1,Image 1,160,1000099609,99612,
2.05021e+08,,Spot,1,Image 1,161,1000099609,99613,
2.14681e+08,,Spot,1,Image 1,162,1000099609,99614,
2.06112e+08,,Spot,1,Image 1,186,1000099615,99615,
2.06198e+08,,Spot,1,Image 1,187,1000099615,99616,
2.09463e+08,,Spot,1,Image 1,188,1000099615,99617,
2.04362e+08,,Spot,1,Image 1,189,1000099615,99618,
2.03442e+08,,Spot,1,Image 1,328,1000099619,99619,
2.15658e+08,,Spot,1,Image 1,332,1000099619,99623,
2.03147e+08,,Spot,1,Image 1,380,1000099629,99629,
2.06269e+08,,Spot,1,Image 1,381,1000099629,99630,
2.00017e+08,,Spot,1,Image 1,382,1000099629,99631,
2.04411e+08,,Spot,1,Image 1,383,1000099629,99632,
2.07723e+08,,Spot,1,Image 1,384,1000099629,99633,
2.02643e+08,,Spot,1,Image 1,329,1000099619,99634,
2.0523e+08,,Spot,1,Image 1,330,1000099619,99635,
2.09702e+08,,Spot,1,Image 1,331,1000099619,99636,
2.0896e+08,,Spot,1,Image 1,368,1000099637,99637,
1.99685e+08,,Spot,1,Image 1,369,1000099637,99638,
2.06793e+08,,Spot,1,Image 1,247,1000099640,99640,
2.20987e+08,,Spot,1,Image 1,248,1000099640,99641,
2.24146e+08,,Spot,1,Image 1,249,1000099640,99642,
2.0883e+08,,Spot,1,Image 1,250,1000099640,99643,
2.16023e+08,,Spot,1,Image 1,251,1000099640,99644,
2.01291e+08,,Spot,1,Image 1,135,1000099652,99652,
2.07441e+08,,Spot,1,Image 1,136,1000099652,99653,
2.16222e+08,,Spot,1,Image 1,137,1000099652,99654,
2.07465e+08,,Spot,1,Image 1,138,1000099652,99655,
2.09837e+08,,Spot,1,Image 1,4,1000099657,99657,
2.02438e+08,,Spot,1,Image 1,5,1000099657,99658,
2.07999e+08,,Spot,1,Image 1,6,1000099657,99659,
2.00203e+08,,Spot,1,Image 1,301,1000099660,99660,
2.02063e+08,,Spot,1,Image 1,302,1000099660,99661,
2.05397e+08,,Spot,1,Image 1,303,1000099660,99662,
