
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
41.25,µm,Spot,Position,16,1000099590,99590,
40.75,µm,Spot,Position,17,1000099590,99591,
41.25,µm,Spot,Position,18,1000099590,99592,
40.25,µm,Spot,Position,19,1000099590,99593,
20.3658,µm,Spot,Position,30,1000099594,99594,
20.3658,µm,Spot,Position,31,1000099594,99595,
19.5632,µm,Spot,Position,32,1000099594,99596,
18.8567,µm,Spot,Position,33,1000099594,99597,
20.629,µm,Spot,Position,38,1000099598,99598,
20.2941,µm,Spot,Position,39,1000099598,99599,
20.2382,µm,Spot,Position,40,1000099598,99600,
20.2519,µm,Spot,Position,41,1000099598,99601,
26.5877,µm,Spot,Position,75,1000099602,99602,
26.2721,µm,Spot,Position,76,1000099602,99603,
26.4096,µm,Spot,Position,77,1000099602,99604,
26.6604,µm,Spot,Position,78,1000099602,99605,
27.1574,µm,Spot,Position,79,1000099602,99606,
26.6433,µm,Spot,Position,80,1000099602,99607,
26.617,µm,Spot,Position,81,1000099602,99608,
18.4392,µm,Spot,Position,157,1000099609,99609,
17.9669,µm,Spot,Position,158,1000099609,99610,
18.9123,µm,Spot,Position,159,1000099609,99611,
18.423,µm,Spot,Position,160,1000099609,99612,
18.3833,µm,Spot,Position,161,1000099609,99613,
18.3295,µm,Spot,Position,162,1000099609,99614,
31.25,µm,Spot,Position,186,1000099615,99615,
32.75,µm,Spot,Position,187,1000099615,99616,
33.25,µm,Spot,Position,188,1000099615,99617,
32.75,µm,Spot,Position,189,1000099615,99618,
23.75,µm,Spot,Position,328,1000099619,99619,
24.25,µm,Spot,Position,332,1000099619,99623,
11.4805,µm,Spot,Position,380,1000099629,99629,
11.7702,µm,Spot,Position,381,1000099629,99630,
11.3397,µm,Spot,Position,382,1000099629,99631,
13.2383,µm,Spot,Position,383,1000099629,99632,
12.5777,µm,Spot,Position,384,1000099629,99633,
21.2999,µm,Spot,Position,329,1000099619,99634,
21.3953,µm,Spot,Position,330,1000099619,99635,
22.6645,µm,Spot,Position,331,1000099619,99636,
17.0037,µm,Spot,Position,368,1000099637,99637,
17.1872,µm,Spot,Position,369,1000099637,99638,
21.75,µm,Spot,Position,247,1000099640,99640,
21.25,µm,Spot,Position,248,1000099640,99641,
21.75,µm,Spot,Position,249,1000099640,99642,
22.75,µm,Spot,Position,250,1000099640,99643,
21.9593,µm,Spot,Position,251,1000099640,99644,
16.2398,µm,Spot,Position,135,1000099652,99652,
15.3787,µm,Spot,Position,136,1000099652,99653,
14.9704,µm,Spot,Position,137,1000099652,99654,
16.2806,µm,Spot,Position,138,1000099652,99655,
20.7352,µm,Spot,Position,4,1000099657,99657,
20.1908,µm,Spot,Position,5,1000099657,99658,
20.6501,µm,Spot,Position,6,1000099657,99659,
17.2332,µm,Spot,Position,301,1000099660,99660,
17.6601,µm,Spot,Position,302,1000099660,99661,
23.6075,µm,Spot,Position,303,1000099660,99662,
