
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0.25,min,Spot,16,1000099590,99590,
0.266667,min,Spot,17,1000099590,99591,
0.283333,min,Spot,18,1000099590,99592,
0.3,min,Spot,19,1000099590,99593,
0.483333,min,Spot,30,1000099594,99594,
0.5,min,Spot,31,1000099594,99595,
0.516667,min,Spot,32,1000099594,99596,
0.533333,min,Spot,33,1000099594,99597,
0.616667,min,Spot,38,1000099598,99598,
0.633333,min,Spot,39,1000099598,99599,
0.65,min,Spot,40,1000099598,99600,
0.666667,min,Spot,41,1000099598,99601,
1.23333,min,Spot,75,1000099602,99602,
1.25,min,Spot,76,1000099602,99603,
1.26667,min,Spot,77,1000099602,99604,
1.28333,min,Spot,78,1000099602,99605,
1.3,min,Spot,79,1000099602,99606,
1.31667,min,Spot,80,1000099602,99607,
1.33333,min,Spot,81,1000099602,99608,
2.6,min,Spot,157,1000099609,99609,
2.61667,min,Spot,158,1000099609,99610,
2.63333,min,Spot,159,1000099609,99611,
2.65,min,Spot,160,1000099609,99612,
2.66667,min,Spot,161,1000099609,99613,
2.68333,min,Spot,162,1000099609,99614,
3.08333,min,Spot,186,1000099615,99615,
3.1,min,Spot,187,1000099615,99616,
3.11667,min,Spot,188,1000099615,99617,
3.13333,min,Spot,189,1000099615,99618,
5.45,min,Spot,328,1000099619,99619,
5.51667,min,Spot,332,1000099619,99623,
6.31667,min,Spot,380,1000099629,99629,
6.33333,min,Spot,381,1000099629,99630,
6.35,min,Spot,382,1000099629,99631,
6.36667,min,Spot,383,1000099629,99632,
6.38333,min,Spot,384,1000099629,99633,
5.46667,min,Spot,329,1000099619,99634,
5.48333,min,Spot,330,1000099619,99635,
5.5,min,Spot,331,1000099619,99636,
6.11667,min,Spot,368,1000099637,99637,
6.13333,min,Spot,369,1000099637,99638,
4.1,min,Spot,247,1000099640,99640,
4.11667,min,Spot,248,1000099640,99641,
4.13333,min,Spot,249,1000099640,99642,
4.15,min,Spot,250,1000099640,99643,
4.16667,min,Spot,251,1000099640,99644,
2.23333,min,Spot,135,1000099652,99652,
2.25,min,Spot,136,1000099652,99653,
2.26667,min,Spot,137,1000099652,99654,
2.28333,min,Spot,138,1000099652,99655,
0.05,min,Spot,4,1000099657,99657,
0.0666667,min,Spot,5,1000099657,99658,
0.0833333,min,Spot,6,1000099657,99659,
5,min,Spot,301,1000099660,99660,
5.01667,min,Spot,302,1000099660,99661,
5.03333,min,Spot,303,1000099660,99662,
