
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
16,,Spot,16,1000099590,99590,
17,,Spot,17,1000099590,99591,
18,,Spot,18,1000099590,99592,
19,,Spot,19,1000099590,99593,
30,,Spot,30,1000099594,99594,
31,,Spot,31,1000099594,99595,
32,,Spot,32,1000099594,99596,
33,,Spot,33,1000099594,99597,
38,,Spot,38,1000099598,99598,
39,,Spot,39,1000099598,99599,
40,,Spot,40,1000099598,99600,
41,,Spot,41,1000099598,99601,
75,,Spot,75,1000099602,99602,
76,,Spot,76,1000099602,99603,
77,,Spot,77,1000099602,99604,
78,,Spot,78,1000099602,99605,
79,,Spot,79,1000099602,99606,
80,,Spot,80,1000099602,99607,
81,,Spot,81,1000099602,99608,
157,,Spot,157,1000099609,99609,
158,,Spot,158,1000099609,99610,
159,,Spot,159,1000099609,99611,
160,,Spot,160,1000099609,99612,
161,,Spot,161,1000099609,99613,
162,,Spot,162,1000099609,99614,
186,,Spot,186,1000099615,99615,
187,,Spot,187,1000099615,99616,
188,,Spot,188,1000099615,99617,
189,,Spot,189,1000099615,99618,
328,,Spot,328,1000099619,99619,
332,,Spot,332,1000099619,99623,
380,,Spot,380,1000099629,99629,
381,,Spot,381,1000099629,99630,
382,,Spot,382,1000099629,99631,
383,,Spot,383,1000099629,99632,
384,,Spot,384,1000099629,99633,
329,,Spot,329,1000099619,99634,
330,,Spot,330,1000099619,99635,
331,,Spot,331,1000099619,99636,
368,,Spot,368,1000099637,99637,
369,,Spot,369,1000099637,99638,
247,,Spot,247,1000099640,99640,
248,,Spot,248,1000099640,99641,
249,,Spot,249,1000099640,99642,
250,,Spot,250,1000099640,99643,
251,,Spot,251,1000099640,99644,
135,,Spot,135,1000099652,99652,
136,,Spot,136,1000099652,99653,
137,,Spot,137,1000099652,99654,
138,,Spot,138,1000099652,99655,
4,,Spot,4,1000099657,99657,
5,,Spot,5,1000099657,99658,
6,,Spot,6,1000099657,99659,
301,,Spot,301,1000099660,99660,
302,,Spot,302,1000099660,99661,
303,,Spot,303,1000099660,99662,
