
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
44.5646,46.1682,40.875,µm,Track,Track Position,1000099590,
14.0634,32.6359,19.7879,µm,Track,Track Position,1000099594,
19.7436,2.51713,20.3533,µm,Track,Track Position,1000099598,
43.4401,54.2758,26.6211,µm,Track,Track Position,1000099602,
14.114,4.49418,18.409,µm,Track,Track Position,1000099609,
35.576,49.9192,32.5,µm,Track,Track Position,1000099615,
18.9921,33.2003,22.6719,µm,Track,Track Position,1000099619,
55.6147,28.1571,12.0813,µm,Track,Track Position,1000099629,
44.2089,38.0052,17.0954,µm,Track,Track Position,1000099637,
13.0257,22.4806,21.8919,µm,Track,Track Position,1000099640,
38.0462,42.512,15.7174,µm,Track,Track Position,1000099652,
23.0101,34.3139,20.5254,µm,Track,Track Position,1000099657,
19.9416,33.5424,19.5002,µm,Track,Track Position,1000099660,
