
Track Position X Mean
 ==================== 
Track Position X Mean,Unit,Category,Collection,ID,
44.5646,µm,Track,Track Position,1000099590,
14.0634,µm,Track,Track Position,1000099594,
19.7436,µm,Track,Track Position,1000099598,
43.4401,µm,Track,Track Position,1000099602,
14.114,µm,Track,Track Position,1000099609,
35.576,µm,Track,Track Position,1000099615,
18.9921,µm,Track,Track Position,1000099619,
55.6147,µm,Track,Track Position,1000099629,
44.2089,µm,Track,Track Position,1000099637,
13.0257,µm,Track,Track Position,1000099640,
38.0462,µm,Track,Track Position,1000099652,
23.0101,µm,Track,Track Position,1000099657,
19.9416,µm,Track,Track Position,1000099660,
