
Track Position X Start
 ==================== 
Track Position X Start,Unit,Category,Collection,ID,
44.7974,µm,Track,Track Position Start,1000099590,
13.9254,µm,Track,Track Position Start,1000099594,
19.1458,µm,Track,Track Position Start,1000099598,
43.5723,µm,Track,Track Position Start,1000099602,
14.2983,µm,Track,Track Position Start,1000099609,
35.7521,µm,Track,Track Position Start,1000099615,
18.494,µm,Track,Track Position Start,1000099619,
55.9148,µm,Track,Track Position Start,1000099629,
44.0353,µm,Track,Track Position Start,1000099637,
13.3547,µm,Track,Track Position Start,1000099640,
38.7117,µm,Track,Track Position Start,1000099652,
23.3609,µm,Track,Track Position Start,1000099657,
20.4604,µm,Track,Track Position Start,1000099660,
