
Track Position Y Mean
 ==================== 
Track Position Y Mean,Unit,Category,Collection,ID,
46.1682,µm,Track,Track Position,1000099590,
32.6359,µm,Track,Track Position,1000099594,
2.51713,µm,Track,Track Position,1000099598,
54.2758,µm,Track,Track Position,1000099602,
4.49418,µm,Track,Track Position,1000099609,
49.9192,µm,Track,Track Position,1000099615,
33.2003,µm,Track,Track Position,1000099619,
28.1571,µm,Track,Track Position,1000099629,
38.0052,µm,Track,Track Position,1000099637,
22.4806,µm,Track,Track Position,1000099640,
42.512,µm,Track,Track Position,1000099652,
34.3139,µm,Track,Track Position,1000099657,
33.5424,µm,Track,Track Position,1000099660,
