
Track Position Z Mean
 ==================== 
Track Position Z Mean,Unit,Category,Collection,ID,
40.875,µm,Track,Track Position,1000099590,
19.7879,µm,Track,Track Position,1000099594,
20.3533,µm,Track,Track Position,1000099598,
26.6211,µm,Track,Track Position,1000099602,
18.409,µm,Track,Track Position,1000099609,
32.5,µm,Track,Track Position,1000099615,
22.6719,µm,Track,Track Position,1000099619,
12.0813,µm,Track,Track Position,1000099629,
17.0954,µm,Track,Track Position,1000099637,
21.8919,µm,Track,Track Position,1000099640,
15.7174,µm,Track,Track Position,1000099652,
20.5254,µm,Track,Track Position,1000099657,
19.5002,µm,Track,Track Position,1000099660,
