
Track Position Z Start
 ==================== 
Track Position Z Start,Unit,Category,Collection,ID,
41.25,µm,Track,Track Position Start,1000099590,
20.3658,µm,Track,Track Position Start,1000099594,
20.629,µm,Track,Track Position Start,1000099598,
26.5877,µm,Track,Track Position Start,1000099602,
18.4392,µm,Track,Track Position Start,1000099609,
31.25,µm,Track,Track Position Start,1000099615,
23.75,µm,Track,Track Position Start,1000099619,
11.4805,µm,Track,Track Position Start,1000099629,
17.0037,µm,Track,Track Position Start,1000099637,
21.75,µm,Track,Track Position Start,1000099640,
16.2398,µm,Track,Track Position Start,1000099652,
20.7352,µm,Track,Track Position Start,1000099657,
17.2332,µm,Track,Track Position Start,1000099660,
