
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
137.605,111.261,124.651,°,Spot,Velocity Angle,4,1000099657,99657,
166.153,90.0027,103.855,°,Spot,Velocity Angle,5,1000099657,99658,
57.8523,59.3001,47.5166,°,Spot,Velocity Angle,6,1000099657,99659,
130.154,76.1196,136.533,°,Spot,Velocity Angle,16,1000099590,99590,
161.57,71.5676,90.0027,°,Spot,Velocity Angle,17,1000099590,99591,
63.6655,103.639,149.846,°,Spot,Velocity Angle,18,1000099590,99592,
83.6463,94.0281,172.473,°,Spot,Velocity Angle,19,1000099590,99593,
90.0027,90.0027,90.0027,°,Spot,Velocity Angle,30,1000099594,99594,
82.317,98.1346,168.78,°,Spot,Velocity Angle,31,1000099594,99595,
74.6924,110.205,154.238,°,Spot,Velocity Angle,32,1000099594,99596,
68.4849,120.658,141.096,°,Spot,Velocity Angle,33,1000099594,99597,
25.5914,90.0027,115.594,°,Spot,Velocity Angle,38,1000099598,99598,
40.7599,90.0027,130.763,°,Spot,Velocity Angle,39,1000099598,99599,
56.3752,146.261,92.4884,°,Spot,Velocity Angle,40,1000099598,99600,
45.8943,135.889,89.3084,°,Spot,Velocity Angle,41,1000099598,99601,
90.0027,58.1143,148.117,°,Spot,Velocity Angle,75,1000099602,99602,
73.7129,149.022,115.576,°,Spot,Velocity Angle,76,1000099602,99603,
98.7397,147.877,59.3613,°,Spot,Velocity Angle,77,1000099602,99604,
121.7,93.3917,31.9206,°,Spot,Velocity Angle,78,1000099602,99605,
152.042,117.67,93.7453,°,Spot,Velocity Angle,79,1000099602,99606,
77.9928,83.5643,166.333,°,Spot,Velocity Angle,80,1000099602,99607,
63.1542,27.5907,95.895,°,Spot,Velocity Angle,81,1000099602,99608,
111.79,82.9836,157.003,°,Spot,Velocity Angle,135,1000099652,99652,
109.867,82.6322,158.709,°,Spot,Velocity Angle,136,1000099652,99653,
140.439,64.004,62.4769,°,Spot,Velocity Angle,137,1000099652,99654,
132.186,67.3958,50.6918,°,Spot,Velocity Angle,138,1000099652,99655,
84.0787,134.133,135.265,°,Spot,Velocity Angle,157,1000099609,99609,
127.567,45.1011,68.8611,°,Spot,Velocity Angle,158,1000099609,99610,
77.6764,17.8788,77.2565,°,Spot,Velocity Angle,159,1000099609,99611,
64.2654,126.389,132.683,°,Spot,Velocity Angle,160,1000099609,99612,
111.962,157.93,92.1489,°,Spot,Velocity Angle,161,1000099609,99613,
88.3532,177.079,92.4197,°,Spot,Velocity Angle,162,1000099609,99614,
94.5249,84.8613,6.85527,°,Spot,Velocity Angle,186,1000099615,99615,
100.304,56.5696,35.3982,°,Spot,Velocity Angle,187,1000099615,99616,
94.6663,4.66368,90.0027,°,Spot,Velocity Angle,188,1000099615,99617,
73.9052,146.672,118.324,°,Spot,Velocity Angle,189,1000099615,99618,
90.1263,56.1749,146.177,°,Spot,Velocity Angle,247,1000099640,99640,
115.716,25.7133,90.0027,°,Spot,Velocity Angle,248,1000099640,99641,
122.482,81.5062,33.8451,°,Spot,Velocity Angle,249,1000099640,99642,
137.973,101.323,50.2016,°,Spot,Velocity Angle,250,1000099640,99643,
57.9735,103.139,144.766,°,Spot,Velocity Angle,251,1000099640,99644,
87.6251,74.8489,15.348,°,Spot,Velocity Angle,301,1000099660,99660,
103.409,75.1928,20.1883,°,Spot,Velocity Angle,302,1000099660,99661,
104.493,75.2591,20.91,°,Spot,Velocity Angle,303,1000099660,99662,
70.6826,75.5176,155.501,°,Spot,Velocity Angle,328,1000099619,99619,
70.1725,59.6594,142.523,°,Spot,Velocity Angle,329,1000099619,99634,
111.815,72.131,28.8104,°,Spot,Velocity Angle,330,1000099619,99635,
103.969,101.49,18.2346,°,Spot,Velocity Angle,331,1000099619,99636,
91.1087,98.9978,9.06406,°,Spot,Velocity Angle,332,1000099619,99623,
29.3978,99.7785,62.5788,°,Spot,Velocity Angle,368,1000099637,99637,
29.3978,99.7785,62.5788,°,Spot,Velocity Angle,369,1000099637,99638,
89.6264,160.327,70.3278,°,Spot,Velocity Angle,380,1000099629,99629,
154.061,73.8731,109.756,°,Spot,Velocity Angle,381,1000099629,99630,
107.782,40.2566,55.2862,°,Spot,Velocity Angle,382,1000099629,99631,
88.9265,69.5032,20.5302,°,Spot,Velocity Angle,383,1000099629,99632,
63.8226,126.253,132.464,°,Spot,Velocity Angle,384,1000099629,99633,
