
Velocity Angle X
 ==================== 
Velocity Angle X,Unit,Category,Collection,Time,TrackID,ID,
130.154,°,Spot,Velocity Angle,16,1000099590,99590,
161.57,°,Spot,Velocity Angle,17,1000099590,99591,
63.6655,°,Spot,Velocity Angle,18,1000099590,99592,
83.6463,°,Spot,Velocity Angle,19,1000099590,99593,
90.0027,°,Spot,Velocity Angle,30,1000099594,99594,
82.317,°,Spot,Velocity Angle,31,1000099594,99595,
74.6924,°,Spot,Velocity Angle,32,1000099594,99596,
68.4849,°,Spot,Velocity Angle,33,1000099594,99597,
25.5914,°,Spot,Velocity Angle,38,1000099598,99598,
40.7599,°,Spot,Velocity Angle,39,1000099598,99599,
56.3752,°,Spot,Velocity Angle,40,1000099598,99600,
45.8943,°,Spot,Velocity Angle,41,1000099598,99601,
90.0027,°,Spot,Velocity Angle,75,1000099602,99602,
73.7129,°,Spot,Velocity Angle,76,1000099602,99603,
98.7397,°,Spot,Velocity Angle,77,1000099602,99604,
121.7,°,Spot,Velocity Angle,78,1000099602,99605,
152.042,°,Spot,Velocity Angle,79,1000099602,99606,
77.9928,°,Spot,Velocity Angle,80,1000099602,99607,
63.1542,°,Spot,Velocity Angle,81,1000099602,99608,
84.0787,°,Spot,Velocity Angle,157,1000099609,99609,
127.567,°,Spot,Velocity Angle,158,1000099609,99610,
77.6764,°,Spot,Velocity Angle,159,1000099609,99611,
64.2654,°,Spot,Velocity Angle,160,1000099609,99612,
111.962,°,Spot,Velocity Angle,161,1000099609,99613,
88.3532,°,Spot,Velocity Angle,162,1000099609,99614,
94.5249,°,Spot,Velocity Angle,186,1000099615,99615,
100.304,°,Spot,Velocity Angle,187,1000099615,99616,
94.6663,°,Spot,Velocity Angle,188,1000099615,99617,
73.9052,°,Spot,Velocity Angle,189,1000099615,99618,
70.6826,°,Spot,Velocity Angle,328,1000099619,99619,
91.1087,°,Spot,Velocity Angle,332,1000099619,99623,
89.6264,°,Spot,Velocity Angle,380,1000099629,99629,
154.061,°,Spot,Velocity Angle,381,1000099629,99630,
107.782,°,Spot,Velocity Angle,382,1000099629,99631,
88.9265,°,Spot,Velocity Angle,383,1000099629,99632,
63.8226,°,Spot,Velocity Angle,384,1000099629,99633,
70.1725,°,Spot,Velocity Angle,329,1000099619,99634,
111.815,°,Spot,Velocity Angle,330,1000099619,99635,
103.969,°,Spot,Velocity Angle,331,1000099619,99636,
29.3978,°,Spot,Velocity Angle,368,1000099637,99637,
29.3978,°,Spot,Velocity Angle,369,1000099637,99638,
90.1263,°,Spot,Velocity Angle,247,1000099640,99640,
115.716,°,Spot,Velocity Angle,248,1000099640,99641,
122.482,°,Spot,Velocity Angle,249,1000099640,99642,
137.973,°,Spot,Velocity Angle,250,1000099640,99643,
57.9735,°,Spot,Velocity Angle,251,1000099640,99644,
111.79,°,Spot,Velocity Angle,135,1000099652,99652,
109.867,°,Spot,Velocity Angle,136,1000099652,99653,
140.439,°,Spot,Velocity Angle,137,1000099652,99654,
132.186,°,Spot,Velocity Angle,138,1000099652,99655,
137.605,°,Spot,Velocity Angle,4,1000099657,99657,
166.153,°,Spot,Velocity Angle,5,1000099657,99658,
57.8523,°,Spot,Velocity Angle,6,1000099657,99659,
87.6251,°,Spot,Velocity Angle,301,1000099660,99660,
103.409,°,Spot,Velocity Angle,302,1000099660,99661,
104.493,°,Spot,Velocity Angle,303,1000099660,99662,
