
Average Distance To 9 Nearest Neighbours
 ==================== 
Average Distance To 9 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
0,µm,Spot,134,1000024401,24440,
0,µm,Spot,134,1000024480,24480,
0,µm,Spot,135,1000024401,24481,
0,µm,Spot,135,1000024480,24482,
0,µm,Spot,136,1000024401,24483,
0,µm,Spot,136,1000024480,24484,
0,µm,Spot,137,1000024401,24485,
0,µm,Spot,137,1000024480,24486,
0,µm,Spot,138,1000024401,24487,
0,µm,Spot,138,1000024480,24488,
0,µm,Spot,139,1000024401,24489,
0,µm,Spot,139,1000024480,24490,
0,µm,Spot,140,1000024401,24491,
0,µm,Spot,140,1000024480,24492,
0,µm,Spot,141,1000024401,24493,
0,µm,Spot,141,1000024480,24494,
0,µm,Spot,142,1000024401,24495,
0,µm,Spot,142,1000024480,24496,
0,µm,Spot,143,1000024401,24497,
0,µm,Spot,143,1000024480,24498,
0,µm,Spot,144,1000024401,24499,
0,µm,Spot,144,1000024480,24500,
0,µm,Spot,145,1000024401,24501,
0,µm,Spot,145,1000024480,24502,
0,µm,Spot,146,1000024401,24503,
0,µm,Spot,146,1000024480,24504,
0,µm,Spot,147,1000024401,24505,
0,µm,Spot,147,1000024480,24506,
0,µm,Spot,148,1000024401,24507,
0,µm,Spot,148,1000024480,24508,
0,µm,Spot,149,1000024401,24509,
0,µm,Spot,149,1000024480,24510,
0,µm,Spot,150,1000024401,24511,
0,µm,Spot,150,1000024480,24512,
0,µm,Spot,151,1000024401,24513,
0,µm,Spot,151,1000024480,24514,
0,µm,Spot,152,1000024401,24515,
0,µm,Spot,152,1000024480,24516,
0,µm,Spot,153,1000024401,24517,
0,µm,Spot,153,1000024480,24518,
0,µm,Spot,154,1000024401,24519,
0,µm,Spot,154,1000024480,24520,
0,µm,Spot,155,1000024401,24521,
0,µm,Spot,155,1000024480,24522,
0,µm,Spot,156,1000024401,24523,
0,µm,Spot,156,1000024480,24524,
0,µm,Spot,157,1000024401,24525,
0,µm,Spot,157,1000024480,24526,
0,µm,Spot,158,1000024401,24527,
0,µm,Spot,158,1000024480,24528,
0,µm,Spot,159,1000024401,24529,
0,µm,Spot,159,1000024480,24530,
0,µm,Spot,160,1000024401,24531,
0,µm,Spot,160,1000024480,24532,
0,µm,Spot,161,1000024401,24533,
0,µm,Spot,161,1000024480,24534,
0,µm,Spot,162,1000024401,24535,
0,µm,Spot,162,1000024480,24536,
0,µm,Spot,163,1000024401,24537,
0,µm,Spot,163,1000024480,24538,
0,µm,Spot,164,1000024401,24539,
0,µm,Spot,164,1000024480,24540,
0,µm,Spot,165,1000024401,24541,
0,µm,Spot,165,1000024480,24542,
