
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
252,,Spot,1,Image 1,95,1000024401,24401,
266,,Spot,1,Image 1,96,1000024401,24402,
277,,Spot,1,Image 1,97,1000024401,24403,
285,,Spot,1,Image 1,98,1000024401,24404,
299,,Spot,1,Image 1,99,1000024401,24405,
315,,Spot,1,Image 1,100,1000024401,24406,
346,,Spot,1,Image 1,101,1000024401,24407,
358,,Spot,1,Image 1,102,1000024401,24408,
357,,Spot,1,Image 1,103,1000024401,24409,
366,,Spot,1,Image 1,104,1000024401,24410,
352,,Spot,1,Image 1,105,1000024401,24411,
342,,Spot,1,Image 1,106,1000024401,24412,
350,,Spot,1,Image 1,107,1000024401,24413,
351,,Spot,1,Image 1,108,1000024401,24414,
393,,Spot,1,Image 1,109,1000024401,24415,
400,,Spot,1,Image 1,110,1000024401,24416,
422,,Spot,1,Image 1,111,1000024401,24417,
444,,Spot,1,Image 1,112,1000024401,24418,
408,,Spot,1,Image 1,113,1000024401,24419,
479,,Spot,1,Image 1,114,1000024401,24420,
421,,Spot,1,Image 1,115,1000024401,24421,
446,,Spot,1,Image 1,116,1000024401,24422,
433,,Spot,1,Image 1,117,1000024401,24423,
426,,Spot,1,Image 1,118,1000024401,24424,
444,,Spot,1,Image 1,119,1000024401,24425,
418,,Spot,1,Image 1,120,1000024401,24426,
361,,Spot,1,Image 1,121,1000024401,24427,
406,,Spot,1,Image 1,122,1000024401,24428,
329,,Spot,1,Image 1,123,1000024401,24429,
351,,Spot,1,Image 1,124,1000024401,24430,
315,,Spot,1,Image 1,125,1000024401,24431,
336,,Spot,1,Image 1,126,1000024401,24432,
338,,Spot,1,Image 1,127,1000024401,24433,
379,,Spot,1,Image 1,128,1000024401,24434,
361,,Spot,1,Image 1,129,1000024401,24435,
361,,Spot,1,Image 1,130,1000024401,24436,
477,,Spot,1,Image 1,131,1000024401,24437,
420,,Spot,1,Image 1,132,1000024401,24438,
397,,Spot,1,Image 1,133,1000024401,24439,
446,,Spot,1,Image 1,134,1000024401,24440,
272,,Spot,1,Image 1,134,1000024480,24480,
397,,Spot,1,Image 1,135,1000024401,24481,
269,,Spot,1,Image 1,135,1000024480,24482,
392,,Spot,1,Image 1,136,1000024401,24483,
268,,Spot,1,Image 1,136,1000024480,24484,
362,,Spot,1,Image 1,137,1000024401,24485,
283,,Spot,1,Image 1,137,1000024480,24486,
347,,Spot,1,Image 1,138,1000024401,24487,
270,,Spot,1,Image 1,138,1000024480,24488,
345,,Spot,1,Image 1,139,1000024401,24489,
258,,Spot,1,Image 1,139,1000024480,24490,
389,,Spot,1,Image 1,140,1000024401,24491,
284,,Spot,1,Image 1,140,1000024480,24492,
391,,Spot,1,Image 1,141,1000024401,24493,
309,,Spot,1,Image 1,141,1000024480,24494,
368,,Spot,1,Image 1,142,1000024401,24495,
307,,Spot,1,Image 1,142,1000024480,24496,
443,,Spot,1,Image 1,143,1000024401,24497,
309,,Spot,1,Image 1,143,1000024480,24498,
387,,Spot,1,Image 1,144,1000024401,24499,
317,,Spot,1,Image 1,144,1000024480,24500,
360,,Spot,1,Image 1,145,1000024401,24501,
294,,Spot,1,Image 1,145,1000024480,24502,
372,,Spot,1,Image 1,146,1000024401,24503,
300,,Spot,1,Image 1,146,1000024480,24504,
413,,Spot,1,Image 1,147,1000024401,24505,
306,,Spot,1,Image 1,147,1000024480,24506,
430,,Spot,1,Image 1,148,1000024401,24507,
320,,Spot,1,Image 1,148,1000024480,24508,
294,,Spot,1,Image 1,149,1000024401,24509,
319,,Spot,1,Image 1,149,1000024480,24510,
280,,Spot,1,Image 1,150,1000024401,24511,
298,,Spot,1,Image 1,150,1000024480,24512,
345,,Spot,1,Image 1,151,1000024401,24513,
303,,Spot,1,Image 1,151,1000024480,24514,
334,,Spot,1,Image 1,152,1000024401,24515,
289,,Spot,1,Image 1,152,1000024480,24516,
363,,Spot,1,Image 1,153,1000024401,24517,
294,,Spot,1,Image 1,153,1000024480,24518,
353,,Spot,1,Image 1,154,1000024401,24519,
346,,Spot,1,Image 1,154,1000024480,24520,
324,,Spot,1,Image 1,155,1000024401,24521,
342,,Spot,1,Image 1,155,1000024480,24522,
322,,Spot,1,Image 1,156,1000024401,24523,
328,,Spot,1,Image 1,156,1000024480,24524,
393,,Spot,1,Image 1,157,1000024401,24525,
338,,Spot,1,Image 1,157,1000024480,24526,
360,,Spot,1,Image 1,158,1000024401,24527,
315,,Spot,1,Image 1,158,1000024480,24528,
329,,Spot,1,Image 1,159,1000024401,24529,
301,,Spot,1,Image 1,159,1000024480,24530,
315,,Spot,1,Image 1,160,1000024401,24531,
303,,Spot,1,Image 1,160,1000024480,24532,
363,,Spot,1,Image 1,161,1000024401,24533,
312,,Spot,1,Image 1,161,1000024480,24534,
385,,Spot,1,Image 1,162,1000024401,24535,
332,,Spot,1,Image 1,162,1000024480,24536,
348,,Spot,1,Image 1,163,1000024401,24537,
351,,Spot,1,Image 1,163,1000024480,24538,
353,,Spot,1,Image 1,164,1000024401,24539,
365,,Spot,1,Image 1,164,1000024480,24540,
335,,Spot,1,Image 1,165,1000024401,24541,
379,,Spot,1,Image 1,165,1000024480,24542,
295,,Spot,1,Image 1,166,1000024401,24543,
389,,Spot,1,Image 1,166,1000024480,24544,
324,,Spot,1,Image 1,167,1000024401,24545,
376,,Spot,1,Image 1,167,1000024480,24546,
311,,Spot,1,Image 1,168,1000024401,24547,
366,,Spot,1,Image 1,168,1000024480,24548,
309,,Spot,1,Image 1,169,1000024401,24549,
414,,Spot,1,Image 1,169,1000024480,24550,
428,,Spot,1,Image 1,170,1000024480,24551,
352,,Spot,1,Image 1,171,1000024480,24552,
361,,Spot,1,Image 1,172,1000024480,24553,
350,,Spot,1,Image 1,173,1000024480,24554,
335,,Spot,1,Image 1,174,1000024480,24555,
349,,Spot,1,Image 1,175,1000024480,24556,
338,,Spot,1,Image 1,176,1000024480,24557,
307,,Spot,1,Image 1,177,1000024480,24558,
317,,Spot,1,Image 1,178,1000024480,24559,
