
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
81.6962,,Spot,2,Image 1,95,1000024401,24401,
79.785,,Spot,2,Image 1,96,1000024401,24402,
101.199,,Spot,2,Image 1,97,1000024401,24403,
86.7109,,Spot,2,Image 1,98,1000024401,24404,
109.137,,Spot,2,Image 1,99,1000024401,24405,
111.23,,Spot,2,Image 1,100,1000024401,24406,
114.439,,Spot,2,Image 1,101,1000024401,24407,
91.3083,,Spot,2,Image 1,102,1000024401,24408,
92.6916,,Spot,2,Image 1,103,1000024401,24409,
100.473,,Spot,2,Image 1,104,1000024401,24410,
113.019,,Spot,2,Image 1,105,1000024401,24411,
96.8033,,Spot,2,Image 1,106,1000024401,24412,
92.5242,,Spot,2,Image 1,107,1000024401,24413,
88.8349,,Spot,2,Image 1,108,1000024401,24414,
102.179,,Spot,2,Image 1,109,1000024401,24415,
108.867,,Spot,2,Image 1,110,1000024401,24416,
91.5816,,Spot,2,Image 1,111,1000024401,24417,
99.5944,,Spot,2,Image 1,112,1000024401,24418,
94.2489,,Spot,2,Image 1,113,1000024401,24419,
95.3877,,Spot,2,Image 1,114,1000024401,24420,
86.9934,,Spot,2,Image 1,115,1000024401,24421,
92.4074,,Spot,2,Image 1,116,1000024401,24422,
96.9694,,Spot,2,Image 1,117,1000024401,24423,
96.7445,,Spot,2,Image 1,118,1000024401,24424,
85.7154,,Spot,2,Image 1,119,1000024401,24425,
79.8651,,Spot,2,Image 1,120,1000024401,24426,
74.9433,,Spot,2,Image 1,121,1000024401,24427,
76.4013,,Spot,2,Image 1,122,1000024401,24428,
72.3007,,Spot,2,Image 1,123,1000024401,24429,
73.4334,,Spot,2,Image 1,124,1000024401,24430,
79.9886,,Spot,2,Image 1,125,1000024401,24431,
73.2406,,Spot,2,Image 1,126,1000024401,24432,
68.7863,,Spot,2,Image 1,127,1000024401,24433,
65.4716,,Spot,2,Image 1,128,1000024401,24434,
69.1569,,Spot,2,Image 1,129,1000024401,24435,
75.6727,,Spot,2,Image 1,130,1000024401,24436,
72.4678,,Spot,2,Image 1,131,1000024401,24437,
71.7523,,Spot,2,Image 1,132,1000024401,24438,
76.3052,,Spot,2,Image 1,133,1000024401,24439,
69.3056,,Spot,2,Image 1,134,1000024401,24440,
182.953,,Spot,2,Image 1,134,1000024480,24480,
65.2121,,Spot,2,Image 1,135,1000024401,24481,
162.945,,Spot,2,Image 1,135,1000024480,24482,
64.4538,,Spot,2,Image 1,136,1000024401,24483,
143.598,,Spot,2,Image 1,136,1000024480,24484,
53.7426,,Spot,2,Image 1,137,1000024401,24485,
112.233,,Spot,2,Image 1,137,1000024480,24486,
62.6767,,Spot,2,Image 1,138,1000024401,24487,
62.0327,,Spot,2,Image 1,138,1000024480,24488,
58.5509,,Spot,2,Image 1,139,1000024401,24489,
38.0565,,Spot,2,Image 1,139,1000024480,24490,
69.201,,Spot,2,Image 1,140,1000024401,24491,
35.9127,,Spot,2,Image 1,140,1000024480,24492,
65.2995,,Spot,2,Image 1,141,1000024401,24493,
34.2376,,Spot,2,Image 1,141,1000024480,24494,
56.2355,,Spot,2,Image 1,142,1000024401,24495,
35.1797,,Spot,2,Image 1,142,1000024480,24496,
62.2206,,Spot,2,Image 1,143,1000024401,24497,
40.7908,,Spot,2,Image 1,143,1000024480,24498,
60.9449,,Spot,2,Image 1,144,1000024401,24499,
34.1255,,Spot,2,Image 1,144,1000024480,24500,
55.8938,,Spot,2,Image 1,145,1000024401,24501,
32.2171,,Spot,2,Image 1,145,1000024480,24502,
52.2605,,Spot,2,Image 1,146,1000024401,24503,
31.7214,,Spot,2,Image 1,146,1000024480,24504,
56.6674,,Spot,2,Image 1,147,1000024401,24505,
31.7485,,Spot,2,Image 1,147,1000024480,24506,
59.6455,,Spot,2,Image 1,148,1000024401,24507,
33.8805,,Spot,2,Image 1,148,1000024480,24508,
30.1591,,Spot,2,Image 1,149,1000024401,24509,
34.1598,,Spot,2,Image 1,149,1000024480,24510,
29.3888,,Spot,2,Image 1,150,1000024401,24511,
34.8116,,Spot,2,Image 1,150,1000024480,24512,
30.6005,,Spot,2,Image 1,151,1000024401,24513,
33.1373,,Spot,2,Image 1,151,1000024480,24514,
29.9393,,Spot,2,Image 1,152,1000024401,24515,
37.9864,,Spot,2,Image 1,152,1000024480,24516,
32.7182,,Spot,2,Image 1,153,1000024401,24517,
35.8085,,Spot,2,Image 1,153,1000024480,24518,
31.2399,,Spot,2,Image 1,154,1000024401,24519,
34.6367,,Spot,2,Image 1,154,1000024480,24520,
30.9012,,Spot,2,Image 1,155,1000024401,24521,
31.7662,,Spot,2,Image 1,155,1000024480,24522,
31.4549,,Spot,2,Image 1,156,1000024401,24523,
33.0267,,Spot,2,Image 1,156,1000024480,24524,
35.8975,,Spot,2,Image 1,157,1000024401,24525,
32.4552,,Spot,2,Image 1,157,1000024480,24526,
33.9716,,Spot,2,Image 1,158,1000024401,24527,
32.6737,,Spot,2,Image 1,158,1000024480,24528,
32.2876,,Spot,2,Image 1,159,1000024401,24529,
34.1503,,Spot,2,Image 1,159,1000024480,24530,
31.8197,,Spot,2,Image 1,160,1000024401,24531,
34.0436,,Spot,2,Image 1,160,1000024480,24532,
33.7077,,Spot,2,Image 1,161,1000024401,24533,
38.541,,Spot,2,Image 1,161,1000024480,24534,
37.412,,Spot,2,Image 1,162,1000024401,24535,
40.1432,,Spot,2,Image 1,162,1000024480,24536,
34.5046,,Spot,2,Image 1,163,1000024401,24537,
43.1288,,Spot,2,Image 1,163,1000024480,24538,
31.8178,,Spot,2,Image 1,164,1000024401,24539,
44.3961,,Spot,2,Image 1,164,1000024480,24540,
31.1763,,Spot,2,Image 1,165,1000024401,24541,
43.841,,Spot,2,Image 1,165,1000024480,24542,
25.583,,Spot,2,Image 1,166,1000024401,24543,
43.1922,,Spot,2,Image 1,166,1000024480,24544,
24.7983,,Spot,2,Image 1,167,1000024401,24545,
39.3824,,Spot,2,Image 1,167,1000024480,24546,
22.8877,,Spot,2,Image 1,168,1000024401,24547,
37.3453,,Spot,2,Image 1,168,1000024480,24548,
21.0834,,Spot,2,Image 1,169,1000024401,24549,
38.3594,,Spot,2,Image 1,169,1000024480,24550,
33.9728,,Spot,2,Image 1,170,1000024480,24551,
32.9321,,Spot,2,Image 1,171,1000024480,24552,
35.4632,,Spot,2,Image 1,172,1000024480,24553,
33.5771,,Spot,2,Image 1,173,1000024480,24554,
33.1034,,Spot,2,Image 1,174,1000024480,24555,
33.2371,,Spot,2,Image 1,175,1000024480,24556,
31.4154,,Spot,2,Image 1,176,1000024480,24557,
29.6999,,Spot,2,Image 1,177,1000024480,24558,
31.8871,,Spot,2,Image 1,178,1000024480,24559,
30.9312,,Spot,2,Image 1,179,1000024480,24560,
30.9114,,Spot,2,Image 1,180,1000024480,24561,
30.306,,Spot,2,Image 1,181,1000024480,24562,
31.9183,,Spot,2,Image 1,182,1000024480,24563,
30.9075,,Spot,2,Image 1,183,1000024480,24564,
31.8472,,Spot,2,Image 1,184,1000024480,24565,
51.6857,,Spot,2,Image 1,261,1000024566,24566,
60.9213,,Spot,2,Image 1,262,1000024566,24567,
74.1467,,Spot,2,Image 1,263,1000024566,24568,
72.2516,,Spot,2,Image 1,264,1000024566,24569,
65.4893,,Spot,2,Image 1,265,1000024566,24570,
69.0351,,Spot,2,Image 1,266,1000024566,24571,
66.6683,,Spot,2,Image 1,267,1000024566,24572,
52.7457,,Spot,2,Image 1,268,1000024566,24573,
44.8248,,Spot,2,Image 1,269,1000024566,24574,
41.8237,,Spot,2,Image 1,270,1000024566,24575,
45.9957,,Spot,2,Image 1,271,1000024566,24576,
45.9521,,Spot,2,Image 1,272,1000024566,24577,
38.1393,,Spot,2,Image 1,273,1000024566,24578,
33.3303,,Spot,2,Image 1,274,1000024566,24579,
34.2964,,Spot,2,Image 1,275,1000024566,24580,
29.8779,,Spot,2,Image 1,276,1000024566,24581,
40.7497,,Spot,2,Image 1,277,1000024566,24582,
34.7794,,Spot,2,Image 1,278,1000024566,24583,
27.9954,,Spot,2,Image 1,279,1000024566,24584,
41.3406,,Spot,2,Image 1,280,1000024566,24585,
36.6155,,Spot,2,Image 1,281,1000024566,24586,
30.1854,,Spot,2,Image 1,282,1000024566,24587,
45.0717,,Spot,2,Image 1,283,1000024566,24588,
32.0492,,Spot,2,Image 1,284,1000024566,24589,
26.1665,,Spot,2,Image 1,285,1000024566,24590,
29.2427,,Spot,2,Image 1,286,1000024566,24591,
31.2951,,Spot,2,Image 1,287,1000024566,24592,
26.9099,,Spot,2,Image 1,288,1000024566,24593,
30.8449,,Spot,2,Image 1,289,1000024566,24594,
27.2736,,Spot,2,Image 1,290,1000024566,24595,
26.3824,,Spot,2,Image 1,291,1000024566,24596,
27.9458,,Spot,2,Image 1,292,1000024566,24597,
31.8563,,Spot,2,Image 1,293,1000024566,24598,
28.2018,,Spot,2,Image 1,294,1000024566,24599,
29.5184,,Spot,2,Image 1,295,1000024566,24600,
33.3727,,Spot,2,Image 1,296,1000024566,24601,
32.5121,,Spot,2,Image 1,297,1000024566,24602,
30.4012,,Spot,2,Image 1,298,1000024566,24603,
30.8775,,Spot,2,Image 1,299,1000024566,24604,
31.0653,,Spot,2,Image 1,300,1000024566,24605,
36.6737,,Spot,2,Image 1,301,1000024566,24606,
42.588,,Spot,2,Image 1,302,1000024566,24607,
46.1208,,Spot,2,Image 1,303,1000024566,24608,
54.0924,,Spot,2,Image 1,304,1000024566,24609,
54.0196,,Spot,2,Image 1,305,1000024566,24610,
45.9756,,Spot,2,Image 1,306,1000024566,24611,
34.4508,,Spot,2,Image 1,271,1000024613,24613,
33.6121,,Spot,2,Image 1,272,1000024613,24614,
30.2884,,Spot,2,Image 1,273,1000024613,24615,
28.7465,,Spot,2,Image 1,274,1000024613,24616,
58.8087,,Spot,2,Image 1,275,1000024613,24617,
61.3702,,Spot,2,Image 1,276,1000024613,24618,
46.5343,,Spot,2,Image 1,277,1000024613,24619,
40.8107,,Spot,2,Image 1,278,1000024613,24620,
37.6467,,Spot,2,Image 1,279,1000024613,24621,
43.0264,,Spot,2,Image 1,280,1000024613,24622,
58.2855,,Spot,2,Image 1,281,1000024613,24623,
69.2649,,Spot,2,Image 1,282,1000024613,24624,
77.9215,,Spot,2,Image 1,283,1000024613,24625,
61.4288,,Spot,2,Image 1,284,1000024613,24626,
41.2834,,Spot,2,Image 1,285,1000024613,24627,
59.4956,,Spot,2,Image 1,286,1000024613,24628,
52.6273,,Spot,2,Image 1,287,1000024613,24629,
46.0486,,Spot,2,Image 1,288,1000024613,24630,
41.8613,,Spot,2,Image 1,289,1000024613,24631,
36.1432,,Spot,2,Image 1,290,1000024613,24632,
36.0229,,Spot,2,Image 1,291,1000024613,24633,
37.6904,,Spot,2,Image 1,292,1000024613,24634,
37.7184,,Spot,2,Image 1,293,1000024613,24635,
34.0492,,Spot,2,Image 1,294,1000024613,24636,
37.4815,,Spot,2,Image 1,295,1000024613,24637,
37.747,,Spot,2,Image 1,296,1000024613,24638,
34.1276,,Spot,2,Image 1,297,1000024613,24639,
37.1201,,Spot,2,Image 1,298,1000024613,24640,
33.7435,,Spot,2,Image 1,299,1000024613,24641,
40.6097,,Spot,2,Image 1,300,1000024613,24642,
40.5137,,Spot,2,Image 1,301,1000024613,24643,
39.0929,,Spot,2,Image 1,302,1000024613,24644,
36.0237,,Spot,2,Image 1,303,1000024613,24645,
39.9407,,Spot,2,Image 1,304,1000024613,24646,
36.2127,,Spot,2,Image 1,305,1000024613,24647,
47.5651,,Spot,2,Image 1,306,1000024613,24648,
38.3889,,Spot,2,Image 1,307,1000024613,24649,
39.6212,,Spot,2,Image 1,308,1000024613,24650,
46.4857,,Spot,2,Image 1,309,1000024613,24651,
53.4329,,Spot,2,Image 1,310,1000024613,24652,
61.0398,,Spot,2,Image 1,311,1000024613,24653,
69.8036,,Spot,2,Image 1,312,1000024613,24654,
