
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
18.4025,µm,Spot,Image 1,1,1000003611,3611,
19.1753,µm,Spot,Image 1,2,1000003611,3612,
18.8896,µm,Spot,Image 1,3,1000003611,3613,
18.2343,µm,Spot,Image 1,4,1000003611,3614,
18.546,µm,Spot,Image 1,5,1000003611,3615,
17.4534,µm,Spot,Image 1,6,1000003611,3616,
17.6377,µm,Spot,Image 1,7,1000003611,3617,
16.3137,µm,Spot,Image 1,8,1000003611,3618,
16.4252,µm,Spot,Image 1,9,1000003611,3619,
16.9098,µm,Spot,Image 1,10,1000003611,3620,
17.5695,µm,Spot,Image 1,11,1000003611,3621,
17.924,µm,Spot,Image 1,12,1000003611,3622,
19.8925,µm,Spot,Image 1,13,1000003611,3623,
18.5865,µm,Spot,Image 1,14,1000003611,3624,
19.4235,µm,Spot,Image 1,15,1000003611,3625,
18.1186,µm,Spot,Image 1,16,1000003611,3626,
18.0135,µm,Spot,Image 1,17,1000003611,3627,
18.1172,µm,Spot,Image 1,18,1000003611,3628,
18.1951,µm,Spot,Image 1,19,1000003611,3629,
17.4829,µm,Spot,Image 1,20,1000003611,3630,
18.2213,µm,Spot,Image 1,21,1000003611,3631,
17.5495,µm,Spot,Image 1,22,1000003611,3632,
16.5198,µm,Spot,Image 1,23,1000003611,3633,
16.3623,µm,Spot,Image 1,24,1000003611,3634,
16.8233,µm,Spot,Image 1,25,1000003611,3635,
16.3738,µm,Spot,Image 1,26,1000003611,3636,
14.9869,µm,Spot,Image 1,27,1000003611,3637,
16.0392,µm,Spot,Image 1,28,1000003611,3638,
16.7383,µm,Spot,Image 1,29,1000003611,3639,
17.7711,µm,Spot,Image 1,30,1000003611,3640,
19.0535,µm,Spot,Image 1,31,1000003611,3641,
15.905,µm,Spot,Image 1,32,1000003611,3642,
13.8052,µm,Spot,Image 1,33,1000003611,3643,
13.4296,µm,Spot,Image 1,34,1000003611,3644,
13.6386,µm,Spot,Image 1,35,1000003611,3645,
12.7632,µm,Spot,Image 1,36,1000003611,3646,
13.454,µm,Spot,Image 1,37,1000003611,3647,
13.3834,µm,Spot,Image 1,38,1000003611,3648,
14.361,µm,Spot,Image 1,39,1000003611,3649,
11.3159,µm,Spot,Image 1,40,1000003611,3650,
11.2782,µm,Spot,Image 1,41,1000003611,3651,
12.988,µm,Spot,Image 1,42,1000003611,3652,
12.8912,µm,Spot,Image 1,43,1000003611,3653,
15.2466,µm,Spot,Image 1,44,1000003611,3654,
15.2545,µm,Spot,Image 1,45,1000003611,3655,
15.0476,µm,Spot,Image 1,46,1000003611,3656,
15.0208,µm,Spot,Image 1,47,1000003611,3657,
15.363,µm,Spot,Image 1,48,1000003611,3658,
15.1067,µm,Spot,Image 1,49,1000003611,3659,
15.6181,µm,Spot,Image 1,50,1000003611,3660,
15.4342,µm,Spot,Image 1,51,1000003611,3661,
14.0335,µm,Spot,Image 1,52,1000003611,3662,
13.8876,µm,Spot,Image 1,53,1000003611,3663,
14.0174,µm,Spot,Image 1,54,1000003611,3664,
14.4769,µm,Spot,Image 1,55,1000003611,3665,
13.3963,µm,Spot,Image 1,56,1000003611,3666,
11.1889,µm,Spot,Image 1,57,1000003611,3667,
11.4531,µm,Spot,Image 1,58,1000003611,3668,
10.6754,µm,Spot,Image 1,59,1000003611,3669,
11.2196,µm,Spot,Image 1,60,1000003611,3670,
10.3712,µm,Spot,Image 1,61,1000003611,3671,
11.8716,µm,Spot,Image 1,62,1000003611,3672,
11.6035,µm,Spot,Image 1,63,1000003611,3673,
11.1001,µm,Spot,Image 1,64,1000003611,3674,
11.078,µm,Spot,Image 1,65,1000003611,3675,
10.5723,µm,Spot,Image 1,66,1000003611,3676,
11.1927,µm,Spot,Image 1,67,1000003611,3677,
10.3576,µm,Spot,Image 1,68,1000003611,3678,
10.3777,µm,Spot,Image 1,69,1000003611,3679,
10.8626,µm,Spot,Image 1,70,1000003611,3680,
11.0528,µm,Spot,Image 1,71,1000003611,3681,
11.6339,µm,Spot,Image 1,72,1000003611,3682,
12.8858,µm,Spot,Image 1,73,1000003611,3683,
13.3577,µm,Spot,Image 1,74,1000003611,3684,
14.5099,µm,Spot,Image 1,75,1000003611,3685,
14.8982,µm,Spot,Image 1,76,1000003611,3686,
14.5874,µm,Spot,Image 1,77,1000003611,3687,
15.0359,µm,Spot,Image 1,78,1000003611,3688,
15.6705,µm,Spot,Image 1,79,1000003611,3689,
16.3295,µm,Spot,Image 1,80,1000003611,3690,
16.5079,µm,Spot,Image 1,81,1000003611,3691,
17.5806,µm,Spot,Image 1,82,1000003611,3692,
18.484,µm,Spot,Image 1,83,1000003611,3693,
18.9699,µm,Spot,Image 1,84,1000003611,3694,
18.8655,µm,Spot,Image 1,85,1000003611,3695,
17.9355,µm,Spot,Image 1,86,1000003611,3696,
18.1215,µm,Spot,Image 1,87,1000003611,3697,
