
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
206.048,,Spot,1,Image 1,1,1000003611,3611,
206.048,,Spot,1,Image 1,2,1000003611,3612,
202.016,,Spot,1,Image 1,3,1000003611,3613,
202.048,,Spot,1,Image 1,4,1000003611,3614,
204.016,,Spot,1,Image 1,5,1000003611,3615,
202.056,,Spot,1,Image 1,6,1000003611,3616,
202.04,,Spot,1,Image 1,7,1000003611,3617,
201.988,,Spot,1,Image 1,8,1000003611,3618,
202,,Spot,1,Image 1,9,1000003611,3619,
206.016,,Spot,1,Image 1,10,1000003611,3620,
206,,Spot,1,Image 1,11,1000003611,3621,
206,,Spot,1,Image 1,12,1000003611,3622,
203.904,,Spot,1,Image 1,13,1000003611,3623,
205.968,,Spot,1,Image 1,14,1000003611,3624,
205.952,,Spot,1,Image 1,15,1000003611,3625,
203.992,,Spot,1,Image 1,16,1000003611,3626,
205.996,,Spot,1,Image 1,17,1000003611,3627,
205.968,,Spot,1,Image 1,18,1000003611,3628,
202.048,,Spot,1,Image 1,19,1000003611,3629,
202.04,,Spot,1,Image 1,20,1000003611,3630,
201.968,,Spot,1,Image 1,21,1000003611,3631,
206.044,,Spot,1,Image 1,22,1000003611,3632,
205.904,,Spot,1,Image 1,23,1000003611,3633,
206.04,,Spot,1,Image 1,24,1000003611,3634,
206.08,,Spot,1,Image 1,25,1000003611,3635,
201.904,,Spot,1,Image 1,26,1000003611,3636,
205.992,,Spot,1,Image 1,27,1000003611,3637,
201.904,,Spot,1,Image 1,28,1000003611,3638,
203.96,,Spot,1,Image 1,29,1000003611,3639,
201.968,,Spot,1,Image 1,30,1000003611,3640,
205.984,,Spot,1,Image 1,31,1000003611,3641,
205.944,,Spot,1,Image 1,32,1000003611,3642,
201.984,,Spot,1,Image 1,33,1000003611,3643,
205.952,,Spot,1,Image 1,34,1000003611,3644,
201.984,,Spot,1,Image 1,35,1000003611,3645,
203.984,,Spot,1,Image 1,36,1000003611,3646,
206.016,,Spot,1,Image 1,37,1000003611,3647,
206,,Spot,1,Image 1,38,1000003611,3648,
203.952,,Spot,1,Image 1,39,1000003611,3649,
202.064,,Spot,1,Image 1,40,1000003611,3650,
202.032,,Spot,1,Image 1,41,1000003611,3651,
202,,Spot,1,Image 1,42,1000003611,3652,
204.08,,Spot,1,Image 1,43,1000003611,3653,
202,,Spot,1,Image 1,44,1000003611,3654,
206,,Spot,1,Image 1,45,1000003611,3655,
201.952,,Spot,1,Image 1,46,1000003611,3656,
202.096,,Spot,1,Image 1,47,1000003611,3657,
201.92,,Spot,1,Image 1,48,1000003611,3658,
206,,Spot,1,Image 1,49,1000003611,3659,
205.952,,Spot,1,Image 1,50,1000003611,3660,
201.952,,Spot,1,Image 1,51,1000003611,3661,
206,,Spot,1,Image 1,52,1000003611,3662,
203.968,,Spot,1,Image 1,53,1000003611,3663,
204.048,,Spot,1,Image 1,54,1000003611,3664,
203.952,,Spot,1,Image 1,55,1000003611,3665,
206.024,,Spot,1,Image 1,56,1000003611,3666,
204.032,,Spot,1,Image 1,57,1000003611,3667,
206.032,,Spot,1,Image 1,58,1000003611,3668,
205.92,,Spot,1,Image 1,59,1000003611,3669,
206.064,,Spot,1,Image 1,60,1000003611,3670,
206.08,,Spot,1,Image 1,61,1000003611,3671,
203.952,,Spot,1,Image 1,62,1000003611,3672,
205.96,,Spot,1,Image 1,63,1000003611,3673,
205.952,,Spot,1,Image 1,64,1000003611,3674,
201.992,,Spot,1,Image 1,65,1000003611,3675,
204.04,,Spot,1,Image 1,66,1000003611,3676,
205.984,,Spot,1,Image 1,67,1000003611,3677,
205.968,,Spot,1,Image 1,68,1000003611,3678,
206,,Spot,1,Image 1,69,1000003611,3679,
206.048,,Spot,1,Image 1,70,1000003611,3680,
206.032,,Spot,1,Image 1,71,1000003611,3681,
206,,Spot,1,Image 1,72,1000003611,3682,
205.952,,Spot,1,Image 1,73,1000003611,3683,
206.032,,Spot,1,Image 1,74,1000003611,3684,
203.984,,Spot,1,Image 1,75,1000003611,3685,
204.064,,Spot,1,Image 1,76,1000003611,3686,
204.032,,Spot,1,Image 1,77,1000003611,3687,
203.952,,Spot,1,Image 1,78,1000003611,3688,
204,,Spot,1,Image 1,79,1000003611,3689,
206.016,,Spot,1,Image 1,80,1000003611,3690,
208.016,,Spot,1,Image 1,81,1000003611,3691,
208.08,,Spot,1,Image 1,82,1000003611,3692,
204.024,,Spot,1,Image 1,83,1000003611,3693,
208.016,,Spot,1,Image 1,84,1000003611,3694,
208.016,,Spot,1,Image 1,85,1000003611,3695,
207.976,,Spot,1,Image 1,86,1000003611,3696,
204.032,,Spot,1,Image 1,87,1000003611,3697,
203.984,,Spot,1,Image 1,88,1000003611,3698,
204.048,,Spot,1,Image 1,89,1000003611,3699,
206,,Spot,1,Image 1,90,1000003611,3700,
206.048,,Spot,1,Image 1,91,1000003611,3701,
204,,Spot,1,Image 1,92,1000003611,3702,
203.936,,Spot,1,Image 1,93,1000003611,3703,
203.936,,Spot,1,Image 1,94,1000003611,3704,
206.016,,Spot,1,Image 1,95,1000003611,3705,
204.096,,Spot,1,Image 1,96,1000003611,3706,
205.936,,Spot,1,Image 1,97,1000003611,3707,
204,,Spot,1,Image 1,98,1000003611,3708,
206.064,,Spot,1,Image 1,99,1000003611,3709,
206.016,,Spot,1,Image 1,100,1000003611,3710,
206,,Spot,1,Image 1,101,1000003611,3711,
204,,Spot,1,Image 1,102,1000003611,3712,
204.048,,Spot,1,Image 1,103,1000003611,3713,
205.952,,Spot,1,Image 1,104,1000003611,3714,
203.936,,Spot,1,Image 1,105,1000003611,3715,
204,,Spot,1,Image 1,106,1000003611,3716,
205.968,,Spot,1,Image 1,107,1000003611,3717,
205.984,,Spot,1,Image 1,108,1000003611,3718,
204.016,,Spot,1,Image 1,109,1000003611,3896,
204.024,,Spot,1,Image 1,110,1000003611,3897,
204.04,,Spot,1,Image 1,111,1000003611,3898,
206.016,,Spot,1,Image 1,112,1000003611,3899,
206,,Spot,1,Image 1,113,1000003611,3900,
203.984,,Spot,1,Image 1,114,1000003611,3901,
206.04,,Spot,1,Image 1,115,1000003611,3902,
206.08,,Spot,1,Image 1,116,1000003611,3903,
204.032,,Spot,1,Image 1,117,1000003611,3904,
207.952,,Spot,1,Image 1,118,1000003611,3905,
204.024,,Spot,1,Image 1,119,1000003611,3906,
204.048,,Spot,1,Image 1,120,1000003611,3907,
208.016,,Spot,1,Image 1,121,1000003611,3908,
205.984,,Spot,1,Image 1,122,1000003611,3909,
206.08,,Spot,1,Image 1,123,1000003611,3910,
208.064,,Spot,1,Image 1,124,1000003611,3911,
208.016,,Spot,1,Image 1,125,1000003611,3912,
205.968,,Spot,1,Image 1,126,1000003611,3913,
206,,Spot,1,Image 1,127,1000003611,3914,
204.08,,Spot,1,Image 1,128,1000003611,3915,
205.968,,Spot,1,Image 1,129,1000003611,3916,
201.992,,Spot,1,Image 1,130,1000003611,3917,
206.032,,Spot,1,Image 1,131,1000003611,3918,
205.92,,Spot,1,Image 1,132,1000003611,3919,
202.048,,Spot,1,Image 1,133,1000003611,3920,
205.968,,Spot,1,Image 1,134,1000003611,3921,
204.064,,Spot,1,Image 1,135,1000003611,3922,
203.952,,Spot,1,Image 1,136,1000003611,3923,
205.984,,Spot,1,Image 1,137,1000003611,3924,
204.024,,Spot,1,Image 1,138,1000003611,3925,
