
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
2.19862e+10,,Spot,3,Image 1,1,1000003611,3611,
2.26152e+10,,Spot,3,Image 1,2,1000003611,3612,
2.18379e+10,,Spot,3,Image 1,3,1000003611,3613,
2.18171e+10,,Spot,3,Image 1,4,1000003611,3614,
2.16322e+10,,Spot,3,Image 1,5,1000003611,3615,
2.21703e+10,,Spot,3,Image 1,6,1000003611,3616,
2.14018e+10,,Spot,3,Image 1,7,1000003611,3617,
2.14047e+10,,Spot,3,Image 1,8,1000003611,3618,
2.21059e+10,,Spot,3,Image 1,9,1000003611,3619,
2.21147e+10,,Spot,3,Image 1,10,1000003611,3620,
2.14459e+10,,Spot,3,Image 1,11,1000003611,3621,
2.20136e+10,,Spot,3,Image 1,12,1000003611,3622,
2.24901e+10,,Spot,3,Image 1,13,1000003611,3623,
2.20911e+10,,Spot,3,Image 1,14,1000003611,3624,
2.14724e+10,,Spot,3,Image 1,15,1000003611,3625,
2.25269e+10,,Spot,3,Image 1,16,1000003611,3626,
2.25075e+10,,Spot,3,Image 1,17,1000003611,3627,
2.18204e+10,,Spot,3,Image 1,18,1000003611,3628,
2.17479e+10,,Spot,3,Image 1,19,1000003611,3629,
2.16699e+10,,Spot,3,Image 1,20,1000003611,3630,
2.16119e+10,,Spot,3,Image 1,21,1000003611,3631,
2.16726e+10,,Spot,3,Image 1,22,1000003611,3632,
2.22294e+10,,Spot,3,Image 1,23,1000003611,3633,
2.15371e+10,,Spot,3,Image 1,24,1000003611,3634,
2.16682e+10,,Spot,3,Image 1,25,1000003611,3635,
2.16149e+10,,Spot,3,Image 1,26,1000003611,3636,
2.15329e+10,,Spot,3,Image 1,27,1000003611,3637,
2.16838e+10,,Spot,3,Image 1,28,1000003611,3638,
2.15948e+10,,Spot,3,Image 1,29,1000003611,3639,
2.1588e+10,,Spot,3,Image 1,30,1000003611,3640,
2.18793e+10,,Spot,3,Image 1,31,1000003611,3641,
2.20032e+10,,Spot,3,Image 1,32,1000003611,3642,
2.19919e+10,,Spot,3,Image 1,33,1000003611,3643,
2.13018e+10,,Spot,3,Image 1,34,1000003611,3644,
2.12796e+10,,Spot,3,Image 1,35,1000003611,3645,
2.14958e+10,,Spot,3,Image 1,36,1000003611,3646,
2.13709e+10,,Spot,3,Image 1,37,1000003611,3647,
2.14064e+10,,Spot,3,Image 1,38,1000003611,3648,
2.11194e+10,,Spot,3,Image 1,39,1000003611,3649,
2.06172e+10,,Spot,3,Image 1,40,1000003611,3650,
2.05356e+10,,Spot,3,Image 1,41,1000003611,3651,
2.06994e+10,,Spot,3,Image 1,42,1000003611,3652,
2.03984e+10,,Spot,3,Image 1,43,1000003611,3653,
2.11099e+10,,Spot,3,Image 1,44,1000003611,3654,
2.10653e+10,,Spot,3,Image 1,45,1000003611,3655,
2.11142e+10,,Spot,3,Image 1,46,1000003611,3656,
2.171e+10,,Spot,3,Image 1,47,1000003611,3657,
2.105e+10,,Spot,3,Image 1,48,1000003611,3658,
2.09614e+10,,Spot,3,Image 1,49,1000003611,3659,
2.09082e+10,,Spot,3,Image 1,50,1000003611,3660,
2.09613e+10,,Spot,3,Image 1,51,1000003611,3661,
2.09625e+10,,Spot,3,Image 1,52,1000003611,3662,
2.09439e+10,,Spot,3,Image 1,53,1000003611,3663,
2.15774e+10,,Spot,3,Image 1,54,1000003611,3664,
2.10522e+10,,Spot,3,Image 1,55,1000003611,3665,
2.14522e+10,,Spot,3,Image 1,56,1000003611,3666,
2.14901e+10,,Spot,3,Image 1,57,1000003611,3667,
2.23825e+10,,Spot,3,Image 1,58,1000003611,3668,
2.24467e+10,,Spot,3,Image 1,59,1000003611,3669,
2.16218e+10,,Spot,3,Image 1,60,1000003611,3670,
2.20376e+10,,Spot,3,Image 1,61,1000003611,3671,
2.19146e+10,,Spot,3,Image 1,62,1000003611,3672,
2.11094e+10,,Spot,3,Image 1,63,1000003611,3673,
2.16807e+10,,Spot,3,Image 1,64,1000003611,3674,
2.18025e+10,,Spot,3,Image 1,65,1000003611,3675,
2.20679e+10,,Spot,3,Image 1,66,1000003611,3676,
2.13835e+10,,Spot,3,Image 1,67,1000003611,3677,
2.14289e+10,,Spot,3,Image 1,68,1000003611,3678,
2.14996e+10,,Spot,3,Image 1,69,1000003611,3679,
2.22844e+10,,Spot,3,Image 1,70,1000003611,3680,
2.22211e+10,,Spot,3,Image 1,71,1000003611,3681,
2.23564e+10,,Spot,3,Image 1,72,1000003611,3682,
2.24607e+10,,Spot,3,Image 1,73,1000003611,3683,
2.25265e+10,,Spot,3,Image 1,74,1000003611,3684,
2.18086e+10,,Spot,3,Image 1,75,1000003611,3685,
2.18918e+10,,Spot,3,Image 1,76,1000003611,3686,
2.20014e+10,,Spot,3,Image 1,77,1000003611,3687,
2.21522e+10,,Spot,3,Image 1,78,1000003611,3688,
2.21282e+10,,Spot,3,Image 1,79,1000003611,3689,
2.1991e+10,,Spot,3,Image 1,80,1000003611,3690,
2.23137e+10,,Spot,3,Image 1,81,1000003611,3691,
2.22544e+10,,Spot,3,Image 1,82,1000003611,3692,
2.23725e+10,,Spot,3,Image 1,83,1000003611,3693,
2.2199e+10,,Spot,3,Image 1,84,1000003611,3694,
2.22282e+10,,Spot,3,Image 1,85,1000003611,3695,
2.27344e+10,,Spot,3,Image 1,86,1000003611,3696,
2.19916e+10,,Spot,3,Image 1,87,1000003611,3697,
2.19737e+10,,Spot,3,Image 1,88,1000003611,3698,
2.16163e+10,,Spot,3,Image 1,89,1000003611,3699,
2.23729e+10,,Spot,3,Image 1,90,1000003611,3700,
2.24568e+10,,Spot,3,Image 1,91,1000003611,3701,
2.17219e+10,,Spot,3,Image 1,92,1000003611,3702,
2.16012e+10,,Spot,3,Image 1,93,1000003611,3703,
2.17519e+10,,Spot,3,Image 1,94,1000003611,3704,
2.1587e+10,,Spot,3,Image 1,95,1000003611,3705,
2.22452e+10,,Spot,3,Image 1,96,1000003611,3706,
2.22558e+10,,Spot,3,Image 1,97,1000003611,3707,
2.15256e+10,,Spot,3,Image 1,98,1000003611,3708,
2.1434e+10,,Spot,3,Image 1,99,1000003611,3709,
2.20401e+10,,Spot,3,Image 1,100,1000003611,3710,
2.20699e+10,,Spot,3,Image 1,101,1000003611,3711,
2.21189e+10,,Spot,3,Image 1,102,1000003611,3712,
2.20423e+10,,Spot,3,Image 1,103,1000003611,3713,
2.18272e+10,,Spot,3,Image 1,104,1000003611,3714,
2.13968e+10,,Spot,3,Image 1,105,1000003611,3715,
2.20874e+10,,Spot,3,Image 1,106,1000003611,3716,
2.19907e+10,,Spot,3,Image 1,107,1000003611,3717,
2.14817e+10,,Spot,3,Image 1,108,1000003611,3718,
2.10577e+10,,Spot,3,Image 1,109,1000003611,3896,
2.21292e+10,,Spot,3,Image 1,110,1000003611,3897,
2.15937e+10,,Spot,3,Image 1,111,1000003611,3898,
2.15295e+10,,Spot,3,Image 1,112,1000003611,3899,
2.16741e+10,,Spot,3,Image 1,113,1000003611,3900,
2.23366e+10,,Spot,3,Image 1,114,1000003611,3901,
2.23871e+10,,Spot,3,Image 1,115,1000003611,3902,
2.23861e+10,,Spot,3,Image 1,116,1000003611,3903,
2.27851e+10,,Spot,3,Image 1,117,1000003611,3904,
2.22081e+10,,Spot,3,Image 1,118,1000003611,3905,
2.21408e+10,,Spot,3,Image 1,119,1000003611,3906,
2.22168e+10,,Spot,3,Image 1,120,1000003611,3907,
2.24466e+10,,Spot,3,Image 1,121,1000003611,3908,
2.27204e+10,,Spot,3,Image 1,122,1000003611,3909,
2.1757e+10,,Spot,3,Image 1,123,1000003611,3910,
2.32129e+10,,Spot,3,Image 1,124,1000003611,3911,
2.3451e+10,,Spot,3,Image 1,125,1000003611,3912,
2.26175e+10,,Spot,3,Image 1,126,1000003611,3913,
2.24845e+10,,Spot,3,Image 1,127,1000003611,3914,
2.16067e+10,,Spot,3,Image 1,128,1000003611,3915,
2.10942e+10,,Spot,3,Image 1,129,1000003611,3916,
2.16327e+10,,Spot,3,Image 1,130,1000003611,3917,
2.17908e+10,,Spot,3,Image 1,131,1000003611,3918,
2.16922e+10,,Spot,3,Image 1,132,1000003611,3919,
2.2e+10,,Spot,3,Image 1,133,1000003611,3920,
2.15688e+10,,Spot,3,Image 1,134,1000003611,3921,
2.17161e+10,,Spot,3,Image 1,135,1000003611,3922,
