
Shortest Distance to Spots Spots=Centrosome
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
2.406,µm,Spot,Centrosome,1,1000003611,3611,
2.29619,µm,Spot,Centrosome,2,1000003611,3612,
2.33498,µm,Spot,Centrosome,3,1000003611,3613,
5.61063,µm,Spot,Centrosome,4,1000003611,3614,
4.97348,µm,Spot,Centrosome,5,1000003611,3615,
4.99053,µm,Spot,Centrosome,6,1000003611,3616,
5.31194,µm,Spot,Centrosome,7,1000003611,3617,
2.86537,µm,Spot,Centrosome,8,1000003611,3618,
5.18737,µm,Spot,Centrosome,9,1000003611,3619,
6.01286,µm,Spot,Centrosome,10,1000003611,3620,
6.87196,µm,Spot,Centrosome,11,1000003611,3621,
5.48926,µm,Spot,Centrosome,12,1000003611,3622,
5.33869,µm,Spot,Centrosome,13,1000003611,3623,
4.25676,µm,Spot,Centrosome,14,1000003611,3624,
4.33184,µm,Spot,Centrosome,15,1000003611,3625,
7.64699,µm,Spot,Centrosome,16,1000003611,3626,
7.91763,µm,Spot,Centrosome,17,1000003611,3627,
7.91662,µm,Spot,Centrosome,18,1000003611,3628,
8.03741,µm,Spot,Centrosome,19,1000003611,3629,
8.43626,µm,Spot,Centrosome,20,1000003611,3630,
7.92289,µm,Spot,Centrosome,21,1000003611,3631,
8.46898,µm,Spot,Centrosome,22,1000003611,3632,
8.2572,µm,Spot,Centrosome,23,1000003611,3633,
6.75562,µm,Spot,Centrosome,25,1000003611,3635,
7.17866,µm,Spot,Centrosome,26,1000003611,3636,
6.88021,µm,Spot,Centrosome,27,1000003611,3637,
6.50305,µm,Spot,Centrosome,28,1000003611,3638,
5.55397,µm,Spot,Centrosome,29,1000003611,3639,
6.6388,µm,Spot,Centrosome,30,1000003611,3640,
9.27976,µm,Spot,Centrosome,31,1000003611,3641,
9.56534,µm,Spot,Centrosome,32,1000003611,3642,
6.19382,µm,Spot,Centrosome,33,1000003611,3643,
2.95244,µm,Spot,Centrosome,34,1000003611,3644,
4.03242,µm,Spot,Centrosome,35,1000003611,3645,
3.71975,µm,Spot,Centrosome,36,1000003611,3646,
3.02336,µm,Spot,Centrosome,37,1000003611,3647,
3.09159,µm,Spot,Centrosome,38,1000003611,3648,
2.32657,µm,Spot,Centrosome,39,1000003611,3649,
4.53636,µm,Spot,Centrosome,40,1000003611,3650,
4.56809,µm,Spot,Centrosome,41,1000003611,3651,
4.57623,µm,Spot,Centrosome,42,1000003611,3652,
