
Shortest Distance to Spots Spots=Phagosomes Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
10.7484,,Spot,Phagosomes Selection,1,1000003611,3611,
24.9897,,Spot,Phagosomes Selection,28,1000003611,3638,
16.2208,,Spot,Phagosomes Selection,54,1000003611,3664,
18.1327,,Spot,Phagosomes Selection,61,1000003611,3671,
14.2117,,Spot,Phagosomes Selection,62,1000003611,3672,
6.18889,,Spot,Phagosomes Selection,92,1000003611,3702,
20.7904,,Spot,Phagosomes Selection,111,1000003611,3898,
23.0022,,Spot,Phagosomes Selection,126,1000003611,3913,
4.75222,,Spot,Phagosomes Selection,140,1000003611,3927,
14.6199,,Spot,Phagosomes Selection,151,1000003611,3938,
16.2927,,Spot,Phagosomes Selection,243,1000003611,4030,
8.61993,,Spot,Phagosomes Selection,244,1000003611,4031,
25.7578,,Spot,Phagosomes Selection,343,1000003611,4130,
