
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Spot,1,1000003611,3611,
1,s,Spot,2,1000003611,3612,
2,s,Spot,3,1000003611,3613,
3,s,Spot,4,1000003611,3614,
4,s,Spot,5,1000003611,3615,
5,s,Spot,6,1000003611,3616,
6,s,Spot,7,1000003611,3617,
7,s,Spot,8,1000003611,3618,
8,s,Spot,9,1000003611,3619,
9,s,Spot,10,1000003611,3620,
10,s,Spot,11,1000003611,3621,
11,s,Spot,12,1000003611,3622,
12,s,Spot,13,1000003611,3623,
13,s,Spot,14,1000003611,3624,
14,s,Spot,15,1000003611,3625,
15,s,Spot,16,1000003611,3626,
16,s,Spot,17,1000003611,3627,
17,s,Spot,18,1000003611,3628,
18,s,Spot,19,1000003611,3629,
19,s,Spot,20,1000003611,3630,
20,s,Spot,21,1000003611,3631,
21,s,Spot,22,1000003611,3632,
22,s,Spot,23,1000003611,3633,
23,s,Spot,24,1000003611,3634,
24,s,Spot,25,1000003611,3635,
25,s,Spot,26,1000003611,3636,
26,s,Spot,27,1000003611,3637,
27,s,Spot,28,1000003611,3638,
28,s,Spot,29,1000003611,3639,
29,s,Spot,30,1000003611,3640,
30,s,Spot,31,1000003611,3641,
31,s,Spot,32,1000003611,3642,
32,s,Spot,33,1000003611,3643,
33,s,Spot,34,1000003611,3644,
34,s,Spot,35,1000003611,3645,
35,s,Spot,36,1000003611,3646,
36,s,Spot,37,1000003611,3647,
37,s,Spot,38,1000003611,3648,
38,s,Spot,39,1000003611,3649,
39,s,Spot,40,1000003611,3650,
40,s,Spot,41,1000003611,3651,
41,s,Spot,42,1000003611,3652,
42,s,Spot,43,1000003611,3653,
43,s,Spot,44,1000003611,3654,
44,s,Spot,45,1000003611,3655,
45,s,Spot,46,1000003611,3656,
46,s,Spot,47,1000003611,3657,
47,s,Spot,48,1000003611,3658,
48,s,Spot,49,1000003611,3659,
49,s,Spot,50,1000003611,3660,
50,s,Spot,51,1000003611,3661,
51,s,Spot,52,1000003611,3662,
52,s,Spot,53,1000003611,3663,
53,s,Spot,54,1000003611,3664,
54,s,Spot,55,1000003611,3665,
55,s,Spot,56,1000003611,3666,
56,s,Spot,57,1000003611,3667,
57,s,Spot,58,1000003611,3668,
58,s,Spot,59,1000003611,3669,
59,s,Spot,60,1000003611,3670,
60,s,Spot,61,1000003611,3671,
61,s,Spot,62,1000003611,3672,
62,s,Spot,63,1000003611,3673,
63,s,Spot,64,1000003611,3674,
64,s,Spot,65,1000003611,3675,
65,s,Spot,66,1000003611,3676,
66,s,Spot,67,1000003611,3677,
67,s,Spot,68,1000003611,3678,
68,s,Spot,69,1000003611,3679,
69,s,Spot,70,1000003611,3680,
70,s,Spot,71,1000003611,3681,
71,s,Spot,72,1000003611,3682,
72,s,Spot,73,1000003611,3683,
73,s,Spot,74,1000003611,3684,
74,s,Spot,75,1000003611,3685,
75,s,Spot,76,1000003611,3686,
76,s,Spot,77,1000003611,3687,
77,s,Spot,78,1000003611,3688,
78,s,Spot,79,1000003611,3689,
79,s,Spot,80,1000003611,3690,
80,s,Spot,81,1000003611,3691,
81,s,Spot,82,1000003611,3692,
82,s,Spot,83,1000003611,3693,
83,s,Spot,84,1000003611,3694,
84,s,Spot,85,1000003611,3695,
85,s,Spot,86,1000003611,3696,
86,s,Spot,87,1000003611,3697,
87,s,Spot,88,1000003611,3698,
88,s,Spot,89,1000003611,3699,
89,s,Spot,90,1000003611,3700,
90,s,Spot,91,1000003611,3701,
91,s,Spot,92,1000003611,3702,
92,s,Spot,93,1000003611,3703,
93,s,Spot,94,1000003611,3704,
94,s,Spot,95,1000003611,3705,
95,s,Spot,96,1000003611,3706,
96,s,Spot,97,1000003611,3707,
97,s,Spot,98,1000003611,3708,
98,s,Spot,99,1000003611,3709,
99,s,Spot,100,1000003611,3710,
100,s,Spot,101,1000003611,3711,
101,s,Spot,102,1000003611,3712,
102,s,Spot,103,1000003611,3713,
103,s,Spot,104,1000003611,3714,
