
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
47.495,µm,Spot,Distance from Origin,1,1000022515,22515,
48.4415,µm,Spot,Distance from Origin,2,1000022515,13148968,
45.9268,µm,Spot,Distance from Origin,3,1000022515,13148969,
43.1018,µm,Spot,Distance from Origin,4,1000022515,13148970,
43.8077,µm,Spot,Distance from Origin,5,1000022515,13148971,
44.2764,µm,Spot,Distance from Origin,6,1000022515,13148972,
43.5346,µm,Spot,Distance from Origin,7,1000022515,13148973,
46.6597,µm,Spot,Distance from Origin,8,1000022515,13148974,
45.2536,µm,Spot,Distance from Origin,9,1000022515,13148975,
42.9078,µm,Spot,Distance from Origin,10,1000022515,13148976,
40.4083,µm,Spot,Distance from Origin,11,1000022515,13148977,
43.8973,µm,Spot,Distance from Origin,12,1000022515,13148978,
46.0283,µm,Spot,Distance from Origin,13,1000022515,13148979,
46.371,µm,Spot,Distance from Origin,14,1000022515,13148980,
44.6615,µm,Spot,Distance from Origin,15,1000022515,13148981,
46.528,µm,Spot,Distance from Origin,16,1000022515,13148982,
45.584,µm,Spot,Distance from Origin,17,1000022515,13148983,
45.7772,µm,Spot,Distance from Origin,18,1000022515,13148984,
44.5153,µm,Spot,Distance from Origin,19,1000022515,13148985,
44.7625,µm,Spot,Distance from Origin,20,1000022515,13148986,
43.9964,µm,Spot,Distance from Origin,21,1000022515,13148987,
43.0673,µm,Spot,Distance from Origin,22,1000022515,13148988,
43.0197,µm,Spot,Distance from Origin,23,1000022515,13148989,
42.9853,µm,Spot,Distance from Origin,25,1000022515,13148990,
42.8646,µm,Spot,Distance from Origin,26,1000022515,13148991,
43.3649,µm,Spot,Distance from Origin,27,1000022515,13148992,
43.2688,µm,Spot,Distance from Origin,28,1000022515,13148993,
42.8147,µm,Spot,Distance from Origin,29,1000022515,13148994,
41.4129,µm,Spot,Distance from Origin,30,1000022515,13148995,
38.5015,µm,Spot,Distance from Origin,31,1000022515,13148996,
36.1598,µm,Spot,Distance from Origin,32,1000022515,13148997,
37.1946,µm,Spot,Distance from Origin,33,1000022515,13148998,
38.631,µm,Spot,Distance from Origin,34,1000022515,13148999,
38.8124,µm,Spot,Distance from Origin,35,1000022515,13149000,
37.9207,µm,Spot,Distance from Origin,36,1000022515,13149001,
38.2937,µm,Spot,Distance from Origin,37,1000022515,13149002,
37.9908,µm,Spot,Distance from Origin,38,1000022515,13149003,
38.9797,µm,Spot,Distance from Origin,39,1000022515,13149004,
