
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
272,,Spot,2,Image 1,1,1000022515,22515,
264,,Spot,2,Image 1,2,1000022515,13148968,
288,,Spot,2,Image 1,3,1000022515,13148969,
280,,Spot,2,Image 1,4,1000022515,13148970,
264,,Spot,2,Image 1,5,1000022515,13148971,
296,,Spot,2,Image 1,6,1000022515,13148972,
268,,Spot,2,Image 1,7,1000022515,13148973,
286,,Spot,2,Image 1,8,1000022515,13148974,
274,,Spot,2,Image 1,9,1000022515,13148975,
272,,Spot,2,Image 1,10,1000022515,13148976,
240,,Spot,2,Image 1,11,1000022515,13148977,
272,,Spot,2,Image 1,12,1000022515,13148978,
264,,Spot,2,Image 1,13,1000022515,13148979,
264,,Spot,2,Image 1,14,1000022515,13148980,
278,,Spot,2,Image 1,15,1000022515,13148981,
274,,Spot,2,Image 1,16,1000022515,13148982,
278,,Spot,2,Image 1,17,1000022515,13148983,
278,,Spot,2,Image 1,18,1000022515,13148984,
274,,Spot,2,Image 1,19,1000022515,13148985,
292,,Spot,2,Image 1,20,1000022515,13148986,
286,,Spot,2,Image 1,21,1000022515,13148987,
280,,Spot,2,Image 1,22,1000022515,13148988,
286,,Spot,2,Image 1,23,1000022515,13148989,
292,,Spot,2,Image 1,25,1000022515,13148990,
294,,Spot,2,Image 1,26,1000022515,13148991,
286,,Spot,2,Image 1,27,1000022515,13148992,
306,,Spot,2,Image 1,28,1000022515,13148993,
308,,Spot,2,Image 1,29,1000022515,13148994,
264,,Spot,2,Image 1,30,1000022515,13148995,
268,,Spot,2,Image 1,31,1000022515,13148996,
266,,Spot,2,Image 1,32,1000022515,13148997,
276,,Spot,2,Image 1,33,1000022515,13148998,
280,,Spot,2,Image 1,34,1000022515,13148999,
308,,Spot,2,Image 1,35,1000022515,13149000,
290,,Spot,2,Image 1,36,1000022515,13149001,
274,,Spot,2,Image 1,37,1000022515,13149002,
282,,Spot,2,Image 1,38,1000022515,13149003,
294,,Spot,2,Image 1,39,1000022515,13149004,
256,,Spot,2,Image 1,40,1000022515,13149005,
278,,Spot,2,Image 1,41,1000022515,13149006,
290,,Spot,2,Image 1,42,1000022515,13149007,
296,,Spot,2,Image 1,43,1000022515,13149008,
282,,Spot,2,Image 1,44,1000022515,13149009,
272,,Spot,2,Image 1,45,1000022515,13149010,
286,,Spot,2,Image 1,46,1000022515,13149011,
290,,Spot,2,Image 1,47,1000022515,13149012,
284,,Spot,2,Image 1,48,1000022515,13149013,
292,,Spot,2,Image 1,49,1000022515,13149014,
272,,Spot,2,Image 1,50,1000022515,13149015,
278,,Spot,2,Image 1,51,1000022515,13149016,
250,,Spot,2,Image 1,52,1000022515,13149017,
274,,Spot,2,Image 1,53,1000022515,13149018,
288,,Spot,2,Image 1,54,1000022515,13149019,
276,,Spot,2,Image 1,55,1000022515,13149020,
284,,Spot,2,Image 1,56,1000022515,13149021,
298,,Spot,2,Image 1,57,1000022515,13149022,
282,,Spot,2,Image 1,58,1000022515,13149023,
286,,Spot,2,Image 1,59,1000022515,13149024,
260,,Spot,2,Image 1,60,1000022515,13149025,
274,,Spot,2,Image 1,61,1000022515,13149026,
286,,Spot,2,Image 1,62,1000022515,13149027,
292,,Spot,2,Image 1,63,1000022515,13149028,
288,,Spot,2,Image 1,64,1000022515,13149029,
290,,Spot,2,Image 1,65,1000022515,13149030,
274,,Spot,2,Image 1,66,1000022515,13149031,
246,,Spot,2,Image 1,67,1000022515,13149032,
250,,Spot,2,Image 1,68,1000022515,13149033,
270,,Spot,2,Image 1,69,1000022515,13149034,
260,,Spot,2,Image 1,70,1000022515,13149035,
274,,Spot,2,Image 1,71,1000022515,13149036,
246,,Spot,2,Image 1,72,1000022515,13149037,
262,,Spot,2,Image 1,73,1000022515,13149038,
256,,Spot,2,Image 1,74,1000022515,13149039,
260,,Spot,2,Image 1,75,1000022515,13149040,
274,,Spot,2,Image 1,76,1000022515,13149041,
272,,Spot,2,Image 1,77,1000022515,13149042,
276,,Spot,2,Image 1,78,1000022515,13149043,
274,,Spot,2,Image 1,79,1000022515,13149044,
284,,Spot,2,Image 1,80,1000022515,13149045,
276,,Spot,2,Image 1,81,1000022515,13149046,
270,,Spot,2,Image 1,82,1000022515,13149047,
274,,Spot,2,Image 1,83,1000022515,13149048,
270,,Spot,2,Image 1,84,1000022515,13149049,
250,,Spot,2,Image 1,85,1000022515,13149050,
252,,Spot,2,Image 1,86,1000022515,13149051,
252,,Spot,2,Image 1,87,1000022515,13149052,
286,,Spot,2,Image 1,88,1000022515,13149053,
226,,Spot,2,Image 1,89,1000022515,13149054,
290,,Spot,2,Image 1,90,1000022515,13149055,
260,,Spot,2,Image 1,91,1000022515,13149056,
272,,Spot,2,Image 1,92,1000022515,13149057,
294,,Spot,2,Image 1,93,1000022515,13149058,
290,,Spot,2,Image 1,94,1000022515,13149059,
296,,Spot,2,Image 1,95,1000022515,13149060,
284,,Spot,2,Image 1,96,1000022515,13149061,
314,,Spot,2,Image 1,97,1000022515,13149062,
296,,Spot,2,Image 1,98,1000022515,13149063,
282,,Spot,2,Image 1,99,1000022515,13149064,
248,,Spot,2,Image 1,100,1000022515,13149065,
272,,Spot,2,Image 1,101,1000022515,13149066,
300,,Spot,2,Image 1,102,1000022515,13149067,
264,,Spot,2,Image 1,103,1000022515,13149068,
266,,Spot,2,Image 1,104,1000022515,13149069,
248,,Spot,2,Image 1,105,1000022515,13149070,
258,,Spot,2,Image 1,106,1000022515,13149071,
254,,Spot,2,Image 1,107,1000022515,13149072,
258,,Spot,2,Image 1,108,1000022515,13149073,
294,,Spot,2,Image 1,109,1000022515,13149074,
270,,Spot,2,Image 1,110,1000022515,13149075,
274,,Spot,2,Image 1,111,1000022515,13149076,
302,,Spot,2,Image 1,112,1000022515,13149077,
320,,Spot,2,Image 1,113,1000022515,13149078,
324,,Spot,2,Image 1,114,1000022515,13149079,
354,,Spot,2,Image 1,115,1000022515,13149080,
316,,Spot,2,Image 1,116,1000022515,13149081,
310,,Spot,2,Image 1,117,1000022515,13149082,
296,,Spot,2,Image 1,118,1000022515,13149083,
284,,Spot,2,Image 1,119,1000022515,13149084,
280,,Spot,2,Image 1,120,1000022515,13149085,
276,,Spot,2,Image 1,121,1000022515,13149086,
290,,Spot,2,Image 1,122,1000022515,13149087,
296,,Spot,2,Image 1,123,1000022515,13149088,
280,,Spot,2,Image 1,124,1000022515,13149089,
304,,Spot,2,Image 1,125,1000022515,13149090,
266,,Spot,2,Image 1,126,1000022515,13149091,
276,,Spot,2,Image 1,127,1000022515,13149092,
244,,Spot,2,Image 1,128,1000022515,13149093,
294,,Spot,2,Image 1,129,1000022515,13149094,
250,,Spot,2,Image 1,130,1000022515,13149095,
278,,Spot,2,Image 1,131,1000022515,13149096,
254,,Spot,2,Image 1,132,1000022515,13149097,
262,,Spot,2,Image 1,133,1000022515,13149098,
270,,Spot,2,Image 1,134,1000022515,13149099,
302,,Spot,2,Image 1,135,1000022515,13149100,
298,,Spot,2,Image 1,136,1000022515,13149101,
308,,Spot,2,Image 1,137,1000022515,13149102,
366,,Spot,2,Image 1,138,1000022515,13149103,
322,,Spot,2,Image 1,139,1000022515,13149104,
306,,Spot,2,Image 1,140,1000022515,13149105,
316,,Spot,2,Image 1,141,1000022515,13149106,
282,,Spot,2,Image 1,142,1000022515,13149107,
292,,Spot,2,Image 1,143,1000022515,13149108,
282,,Spot,2,Image 1,144,1000022515,13149109,
272,,Spot,2,Image 1,145,1000022515,13149110,
270,,Spot,2,Image 1,146,1000022515,13149111,
286,,Spot,2,Image 1,147,1000022515,13149112,
278,,Spot,2,Image 1,148,1000022515,13149113,
258,,Spot,2,Image 1,149,1000022515,13149114,
270,,Spot,2,Image 1,150,1000022515,13149115,
270,,Spot,2,Image 1,151,1000022515,13149116,
302,,Spot,2,Image 1,152,1000022515,13149117,
306,,Spot,2,Image 1,153,1000022515,13149118,
298,,Spot,2,Image 1,154,1000022515,13149119,
290,,Spot,2,Image 1,155,1000022515,13149120,
