
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
29350,,Spot,2,Image 1,1,1000022515,22515,
35694,,Spot,2,Image 1,2,1000022515,13148968,
29794,,Spot,2,Image 1,3,1000022515,13148969,
26148,,Spot,2,Image 1,4,1000022515,13148970,
25558,,Spot,2,Image 1,5,1000022515,13148971,
34530,,Spot,2,Image 1,6,1000022515,13148972,
27954,,Spot,2,Image 1,7,1000022515,13148973,
36074,,Spot,2,Image 1,8,1000022515,13148974,
36604,,Spot,2,Image 1,9,1000022515,13148975,
32076,,Spot,2,Image 1,10,1000022515,13148976,
33444,,Spot,2,Image 1,11,1000022515,13148977,
29438,,Spot,2,Image 1,12,1000022515,13148978,
31854,,Spot,2,Image 1,13,1000022515,13148979,
25694,,Spot,2,Image 1,14,1000022515,13148980,
27998,,Spot,2,Image 1,15,1000022515,13148981,
28660,,Spot,2,Image 1,16,1000022515,13148982,
29952,,Spot,2,Image 1,17,1000022515,13148983,
26634,,Spot,2,Image 1,18,1000022515,13148984,
26070,,Spot,2,Image 1,19,1000022515,13148985,
26482,,Spot,2,Image 1,20,1000022515,13148986,
38346,,Spot,2,Image 1,21,1000022515,13148987,
26380,,Spot,2,Image 1,22,1000022515,13148988,
27510,,Spot,2,Image 1,23,1000022515,13148989,
30074,,Spot,2,Image 1,25,1000022515,13148990,
26878,,Spot,2,Image 1,26,1000022515,13148991,
27650,,Spot,2,Image 1,27,1000022515,13148992,
26842,,Spot,2,Image 1,28,1000022515,13148993,
28418,,Spot,2,Image 1,29,1000022515,13148994,
36622,,Spot,2,Image 1,30,1000022515,13148995,
23664,,Spot,2,Image 1,31,1000022515,13148996,
25258,,Spot,2,Image 1,32,1000022515,13148997,
28040,,Spot,2,Image 1,33,1000022515,13148998,
35724,,Spot,2,Image 1,34,1000022515,13148999,
27300,,Spot,2,Image 1,35,1000022515,13149000,
32376,,Spot,2,Image 1,36,1000022515,13149001,
33600,,Spot,2,Image 1,37,1000022515,13149002,
35002,,Spot,2,Image 1,38,1000022515,13149003,
25850,,Spot,2,Image 1,39,1000022515,13149004,
37274,,Spot,2,Image 1,40,1000022515,13149005,
32536,,Spot,2,Image 1,41,1000022515,13149006,
26832,,Spot,2,Image 1,42,1000022515,13149007,
33734,,Spot,2,Image 1,43,1000022515,13149008,
32436,,Spot,2,Image 1,44,1000022515,13149009,
25396,,Spot,2,Image 1,45,1000022515,13149010,
34668,,Spot,2,Image 1,46,1000022515,13149011,
26302,,Spot,2,Image 1,47,1000022515,13149012,
33634,,Spot,2,Image 1,48,1000022515,13149013,
35666,,Spot,2,Image 1,49,1000022515,13149014,
29690,,Spot,2,Image 1,50,1000022515,13149015,
27176,,Spot,2,Image 1,51,1000022515,13149016,
25474,,Spot,2,Image 1,52,1000022515,13149017,
33088,,Spot,2,Image 1,53,1000022515,13149018,
26960,,Spot,2,Image 1,54,1000022515,13149019,
26828,,Spot,2,Image 1,55,1000022515,13149020,
34520,,Spot,2,Image 1,56,1000022515,13149021,
31778,,Spot,2,Image 1,57,1000022515,13149022,
25778,,Spot,2,Image 1,58,1000022515,13149023,
25506,,Spot,2,Image 1,59,1000022515,13149024,
32370,,Spot,2,Image 1,60,1000022515,13149025,
25916,,Spot,2,Image 1,61,1000022515,13149026,
28476,,Spot,2,Image 1,62,1000022515,13149027,
32342,,Spot,2,Image 1,63,1000022515,13149028,
28420,,Spot,2,Image 1,64,1000022515,13149029,
26242,,Spot,2,Image 1,65,1000022515,13149030,
36786,,Spot,2,Image 1,66,1000022515,13149031,
22604,,Spot,2,Image 1,67,1000022515,13149032,
23456,,Spot,2,Image 1,68,1000022515,13149033,
24862,,Spot,2,Image 1,69,1000022515,13149034,
