
Shortest Distance to Spots Spots=Cell-Soma
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
2.406,µm,Spot,Cell-Soma,1,1000022515,22515,
2.29619,µm,Spot,Cell-Soma,2,1000022515,13148968,
2.33498,µm,Spot,Cell-Soma,3,1000022515,13148969,
5.61063,µm,Spot,Cell-Soma,4,1000022515,13148970,
4.97348,µm,Spot,Cell-Soma,5,1000022515,13148971,
4.99053,µm,Spot,Cell-Soma,6,1000022515,13148972,
5.31194,µm,Spot,Cell-Soma,7,1000022515,13148973,
2.86537,µm,Spot,Cell-Soma,8,1000022515,13148974,
5.18737,µm,Spot,Cell-Soma,9,1000022515,13148975,
6.01286,µm,Spot,Cell-Soma,10,1000022515,13148976,
6.87196,µm,Spot,Cell-Soma,11,1000022515,13148977,
5.48926,µm,Spot,Cell-Soma,12,1000022515,13148978,
5.33869,µm,Spot,Cell-Soma,13,1000022515,13148979,
4.25676,µm,Spot,Cell-Soma,14,1000022515,13148980,
4.33184,µm,Spot,Cell-Soma,15,1000022515,13148981,
7.64699,µm,Spot,Cell-Soma,16,1000022515,13148982,
7.91763,µm,Spot,Cell-Soma,17,1000022515,13148983,
7.91662,µm,Spot,Cell-Soma,18,1000022515,13148984,
8.03741,µm,Spot,Cell-Soma,19,1000022515,13148985,
8.43626,µm,Spot,Cell-Soma,20,1000022515,13148986,
7.92289,µm,Spot,Cell-Soma,21,1000022515,13148987,
8.46898,µm,Spot,Cell-Soma,22,1000022515,13148988,
8.2572,µm,Spot,Cell-Soma,23,1000022515,13148989,
6.75562,µm,Spot,Cell-Soma,25,1000022515,13148990,
7.17866,µm,Spot,Cell-Soma,26,1000022515,13148991,
6.88021,µm,Spot,Cell-Soma,27,1000022515,13148992,
6.50305,µm,Spot,Cell-Soma,28,1000022515,13148993,
5.55397,µm,Spot,Cell-Soma,29,1000022515,13148994,
6.6388,µm,Spot,Cell-Soma,30,1000022515,13148995,
9.27976,µm,Spot,Cell-Soma,31,1000022515,13148996,
9.56534,µm,Spot,Cell-Soma,32,1000022515,13148997,
6.19382,µm,Spot,Cell-Soma,33,1000022515,13148998,
2.95244,µm,Spot,Cell-Soma,34,1000022515,13148999,
4.03242,µm,Spot,Cell-Soma,35,1000022515,13149000,
3.71975,µm,Spot,Cell-Soma,36,1000022515,13149001,
3.02336,µm,Spot,Cell-Soma,37,1000022515,13149002,
3.09159,µm,Spot,Cell-Soma,38,1000022515,13149003,
2.32657,µm,Spot,Cell-Soma,39,1000022515,13149004,
4.53636,µm,Spot,Cell-Soma,40,1000022515,13149005,
4.56809,µm,Spot,Cell-Soma,41,1000022515,13149006,
4.57623,µm,Spot,Cell-Soma,42,1000022515,13149007,
5.08046,µm,Spot,Cell-Soma,43,1000022515,13149008,
1.29883,µm,Spot,Cell-Soma,44,1000022515,13149009,
1.20178,µm,Spot,Cell-Soma,45,1000022515,13149010,
1.26246,µm,Spot,Cell-Soma,46,1000022515,13149011,
1.42858,µm,Spot,Cell-Soma,47,1000022515,13149012,
2.02132,µm,Spot,Cell-Soma,48,1000022515,13149013,
