
Shortest Distance to Spots Spots=Phagosomes
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
20.4998,,Spot,Phagosomes,28,1000022515,13148993,
19.3336,,Spot,Phagosomes,29,1000022515,13148994,
16.7452,,Spot,Phagosomes,30,1000022515,13148995,
10.3685,,Spot,Phagosomes,31,1000022515,13148996,
8.27512,,Spot,Phagosomes,32,1000022515,13148997,
10.0775,,Spot,Phagosomes,33,1000022515,13148998,
13.0857,,Spot,Phagosomes,34,1000022515,13148999,
13.2371,,Spot,Phagosomes,35,1000022515,13149000,
10.5126,,Spot,Phagosomes,36,1000022515,13149001,
10.3108,,Spot,Phagosomes,37,1000022515,13149002,
11.3694,,Spot,Phagosomes,38,1000022515,13149003,
13.3509,,Spot,Phagosomes,39,1000022515,13149004,
11.9706,,Spot,Phagosomes,40,1000022515,13149005,
11.83,,Spot,Phagosomes,41,1000022515,13149006,
11.16,,Spot,Phagosomes,42,1000022515,13149007,
11.9864,,Spot,Phagosomes,43,1000022515,13149008,
11.3186,,Spot,Phagosomes,44,1000022515,13149009,
10.5323,,Spot,Phagosomes,45,1000022515,13149010,
11.0873,,Spot,Phagosomes,46,1000022515,13149011,
11.607,,Spot,Phagosomes,47,1000022515,13149012,
12.8745,,Spot,Phagosomes,48,1000022515,13149013,
12.8626,,Spot,Phagosomes,49,1000022515,13149014,
12.9468,,Spot,Phagosomes,50,1000022515,13149015,
11.8479,,Spot,Phagosomes,51,1000022515,13149016,
9.99618,,Spot,Phagosomes,52,1000022515,13149017,
8.90784,,Spot,Phagosomes,53,1000022515,13149018,
7.26041,,Spot,Phagosomes,54,1000022515,13149019,
7.17431,,Spot,Phagosomes,55,1000022515,13149020,
6.78145,,Spot,Phagosomes,56,1000022515,13149021,
4.35615,,Spot,Phagosomes,57,1000022515,13149022,
4.3315,,Spot,Phagosomes,58,1000022515,13149023,
4.35161,,Spot,Phagosomes,59,1000022515,13149024,
1.80226,,Spot,Phagosomes,60,1000022515,13149025,
0.982126,,Spot,Phagosomes,61,1000022515,13149026,
2.79608,,Spot,Phagosomes,62,1000022515,13149027,
2.3047,,Spot,Phagosomes,63,1000022515,13149028,
3.46626,,Spot,Phagosomes,64,1000022515,13149029,
4.15138,,Spot,Phagosomes,65,1000022515,13149030,
6.18252,,Spot,Phagosomes,66,1000022515,13149031,
8.27816,,Spot,Phagosomes,67,1000022515,13149032,
7.98378,,Spot,Phagosomes,68,1000022515,13149033,
7.18959,,Spot,Phagosomes,69,1000022515,13149034,
5.80793,,Spot,Phagosomes,70,1000022515,13149035,
4.43479,,Spot,Phagosomes,71,1000022515,13149036,
5.16276,,Spot,Phagosomes,72,1000022515,13149037,
4.91801,,Spot,Phagosomes,73,1000022515,13149038,
5.43368,,Spot,Phagosomes,74,1000022515,13149039,
6.56811,,Spot,Phagosomes,75,1000022515,13149040,
5.96039,,Spot,Phagosomes,76,1000022515,13149041,
5.60188,,Spot,Phagosomes,77,1000022515,13149042,
5.74451,,Spot,Phagosomes,78,1000022515,13149043,
4.39731,,Spot,Phagosomes,79,1000022515,13149044,
7.35396,,Spot,Phagosomes,80,1000022515,13149045,
6.47795,,Spot,Phagosomes,81,1000022515,13149046,
7.87418,,Spot,Phagosomes,82,1000022515,13149047,
5.01926,,Spot,Phagosomes,83,1000022515,13149048,
7.37607,,Spot,Phagosomes,84,1000022515,13149049,
10.9129,,Spot,Phagosomes,85,1000022515,13149050,
6.5969,,Spot,Phagosomes,86,1000022515,13149051,
4.63241,,Spot,Phagosomes,92,1000022515,13149057,
4.09822,,Spot,Phagosomes,93,1000022515,13149058,
2.55996,,Spot,Phagosomes,94,1000022515,13149059,
2.22127,,Spot,Phagosomes,95,1000022515,13149060,
2.75301,,Spot,Phagosomes,96,1000022515,13149061,
2.79961,,Spot,Phagosomes,97,1000022515,13149062,
2.80725,,Spot,Phagosomes,98,1000022515,13149063,
5.48311,,Spot,Phagosomes,99,1000022515,13149064,
7.66229,,Spot,Phagosomes,100,1000022515,13149065,
7.02431,,Spot,Phagosomes,101,1000022515,13149066,
6.98864,,Spot,Phagosomes,102,1000022515,13149067,
8.72271,,Spot,Phagosomes,103,1000022515,13149068,
12.4655,,Spot,Phagosomes,104,1000022515,13149069,
10.936,,Spot,Phagosomes,105,1000022515,13149070,
10.6812,,Spot,Phagosomes,106,1000022515,13149071,
14.443,,Spot,Phagosomes,107,1000022515,13149072,
9.7317,,Spot,Phagosomes,111,1000022515,13149076,
6.05504,,Spot,Phagosomes,112,1000022515,13149077,
4.26945,,Spot,Phagosomes,113,1000022515,13149078,
4.35172,,Spot,Phagosomes,114,1000022515,13149079,
4.46158,,Spot,Phagosomes,115,1000022515,13149080,
4.17144,,Spot,Phagosomes,116,1000022515,13149081,
4.59152,,Spot,Phagosomes,117,1000022515,13149082,
4.02534,,Spot,Phagosomes,118,1000022515,13149083,
4.36737,,Spot,Phagosomes,119,1000022515,13149084,
3.21606,,Spot,Phagosomes,120,1000022515,13149085,
3.84119,,Spot,Phagosomes,121,1000022515,13149086,
5.56129,,Spot,Phagosomes,122,1000022515,13149087,
4.72887,,Spot,Phagosomes,123,1000022515,13149088,
5.03065,,Spot,Phagosomes,124,1000022515,13149089,
5.70737,,Spot,Phagosomes,125,1000022515,13149090,
15.828,,Spot,Phagosomes,126,1000022515,13149091,
14.9661,,Spot,Phagosomes,127,1000022515,13149092,
7.56086,,Spot,Phagosomes,128,1000022515,13149093,
3.09581,,Spot,Phagosomes,129,1000022515,13149094,
3.29612,,Spot,Phagosomes,130,1000022515,13149095,
3.02706,,Spot,Phagosomes,131,1000022515,13149096,
3.79365,,Spot,Phagosomes,132,1000022515,13149097,
3.72933,,Spot,Phagosomes,133,1000022515,13149098,
