
Shortest Distance to Spots Spots=Phagosomes Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
9.22975,,Spot,Phagosomes Selection,1,1000022515,22515,
20.4998,,Spot,Phagosomes Selection,28,1000022515,13148993,
15.2988,,Spot,Phagosomes Selection,54,1000022515,13149019,
7.20461,,Spot,Phagosomes Selection,61,1000022515,13149026,
5.03018,,Spot,Phagosomes Selection,62,1000022515,13149027,
4.63241,,Spot,Phagosomes Selection,92,1000022515,13149057,
9.7317,,Spot,Phagosomes Selection,111,1000022515,13149076,
15.828,,Spot,Phagosomes Selection,126,1000022515,13149091,
5.07612,,Spot,Phagosomes Selection,140,1000022515,13149105,
9.19559,,Spot,Phagosomes Selection,151,1000022515,13149116,
6.7144,,Spot,Phagosomes Selection,243,1000022515,13149289,
12.6024,,Spot,Phagosomes Selection,244,1000022515,13149290,
12.0191,,Spot,Phagosomes Selection,343,1000022515,13149389,
