
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
35.4584,74.0891,120.748,°,Spot,Velocity Angle,1,1000022515,22515,
128.285,118.878,128.238,°,Spot,Velocity Angle,2,1000022515,13148968,
146.172,123.764,88.0467,°,Spot,Velocity Angle,3,1000022515,13148969,
129.548,138.15,78.4864,°,Spot,Velocity Angle,4,1000022515,13148970,
29.7359,103.66,64.1408,°,Spot,Velocity Angle,5,1000022515,13148971,
55.6801,119.09,131.89,°,Spot,Velocity Angle,6,1000022515,13148972,
40.3277,59.6173,113.812,°,Spot,Velocity Angle,7,1000022515,13148973,
67.8763,26.7655,104.294,°,Spot,Velocity Angle,8,1000022515,13148974,
152.774,116.876,94.0799,°,Spot,Velocity Angle,9,1000022515,13148975,
108.4,149.484,113.449,°,Spot,Velocity Angle,10,1000022515,13148976,
108.001,18.068,88.4643,°,Spot,Velocity Angle,11,1000022515,13148977,
90.5615,19.0895,70.922,°,Spot,Velocity Angle,12,1000022515,13148978,
96.0707,18.9725,72.0971,°,Spot,Velocity Angle,13,1000022515,13148979,
143.815,125.478,96.2479,°,Spot,Velocity Angle,14,1000022515,13148980,
128.129,71.6771,43.8562,°,Spot,Velocity Angle,15,1000022515,13148981,
113.131,46.0948,52.8454,°,Spot,Velocity Angle,16,1000022515,13148982,
138.387,114.353,121.381,°,Spot,Velocity Angle,17,1000022515,13148983,
115.847,116.455,141.45,°,Spot,Velocity Angle,18,1000022515,13148984,
128.521,141.487,90.0027,°,Spot,Velocity Angle,19,1000022515,13148985,
90.8744,163.99,74.0126,°,Spot,Velocity Angle,20,1000022515,13148986,
109.039,138.477,125.258,°,Spot,Velocity Angle,21,1000022515,13148987,
82.6028,166.789,100.891,°,Spot,Velocity Angle,22,1000022515,13148988,
51.1684,137.644,75.729,°,Spot,Velocity Angle,23,1000022515,13148989,
40.2062,119.638,114.521,°,Spot,Velocity Angle,25,1000022515,13148990,
14.6866,104.315,93.2283,°,Spot,Velocity Angle,26,1000022515,13148991,
69.9795,125.867,42.7328,°,Spot,Velocity Angle,27,1000022515,13148992,
84.4779,159.892,70.7267,°,Spot,Velocity Angle,28,1000022515,13148993,
117.631,104.957,147.953,°,Spot,Velocity Angle,29,1000022515,13148994,
