
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
4,4,4,µm,Spot,Diameter,15,1000101240,101240,
4,4,4,µm,Spot,Diameter,16,1000101240,101241,
4,4,4,µm,Spot,Diameter,17,1000101240,101242,
4,4,4,µm,Spot,Diameter,18,1000101240,101243,
4,4,4,µm,Spot,Diameter,18,1000101250,101253,
4,4,4,µm,Spot,Diameter,19,1000101250,101250,
4,4,4,µm,Spot,Diameter,20,1000101250,101251,
4,4,4,µm,Spot,Diameter,23,1000101247,101247,
4,4,4,µm,Spot,Diameter,24,1000101247,101248,
4,4,4,µm,Spot,Diameter,25,1000101247,101249,
4,4,4,µm,Spot,Diameter,38,1000101212,101212,
4,4,4,µm,Spot,Diameter,39,1000101212,101213,
4,4,4,µm,Spot,Diameter,40,1000101212,101214,
4,4,4,µm,Spot,Diameter,41,1000101212,101215,
4,4,4,µm,Spot,Diameter,42,1000101212,101216,
4,4,4,µm,Spot,Diameter,43,1000101212,101217,
4,4,4,µm,Spot,Diameter,44,1000101212,101218,
4,4,4,µm,Spot,Diameter,45,1000101212,101219,
4,4,4,µm,Spot,Diameter,46,1000101212,101220,
4,4,4,µm,Spot,Diameter,76,1000101221,101221,
4,4,4,µm,Spot,Diameter,77,1000101221,101222,
4,4,4,µm,Spot,Diameter,78,1000101221,101223,
4,4,4,µm,Spot,Diameter,79,1000101221,101224,
4,4,4,µm,Spot,Diameter,81,1000101225,101225,
4,4,4,µm,Spot,Diameter,82,1000101225,101226,
4,4,4,µm,Spot,Diameter,83,1000101225,101227,
4,4,4,µm,Spot,Diameter,104,1000101244,101244,
4,4,4,µm,Spot,Diameter,105,1000101244,101245,
4,4,4,µm,Spot,Diameter,106,1000101244,101246,
4,4,4,µm,Spot,Diameter,289,1000101229,101229,
4,4,4,µm,Spot,Diameter,290,1000101229,101230,
4,4,4,µm,Spot,Diameter,291,1000101229,101231,
4,4,4,µm,Spot,Diameter,292,1000101229,101232,
4,4,4,µm,Spot,Diameter,293,1000101229,101233,
4,4,4,µm,Spot,Diameter,313,1000101234,101234,
4,4,4,µm,Spot,Diameter,314,1000101234,101235,
4,4,4,µm,Spot,Diameter,315,1000101234,101236,
4,4,4,µm,Spot,Diameter,316,1000101234,101237,
4,4,4,µm,Spot,Diameter,317,1000101234,101238,
4,4,4,µm,Spot,Diameter,318,1000101234,101239,
