
Displacement Delta Y
 ==================== 
Displacement Delta Y,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,38,1000101212,101212,
-1.00338,µm,Spot,Displacement Delta,39,1000101212,101213,
0.369972,µm,Spot,Displacement Delta,40,1000101212,101214,
-0.00726318,µm,Spot,Displacement Delta,41,1000101212,101215,
0.999367,µm,Spot,Displacement Delta,42,1000101212,101216,
-0.379436,µm,Spot,Displacement Delta,43,1000101212,101217,
0.0437126,µm,Spot,Displacement Delta,44,1000101212,101218,
-0.224571,µm,Spot,Displacement Delta,45,1000101212,101219,
0.252983,µm,Spot,Displacement Delta,46,1000101212,101220,
0,µm,Spot,Displacement Delta,76,1000101221,101221,
-1.488,µm,Spot,Displacement Delta,77,1000101221,101222,
0.558001,µm,Spot,Displacement Delta,78,1000101221,101223,
0.372,µm,Spot,Displacement Delta,79,1000101221,101224,
0,µm,Spot,Displacement Delta,81,1000101225,101225,
-0.13965,µm,Spot,Displacement Delta,82,1000101225,101226,
0.190153,µm,Spot,Displacement Delta,83,1000101225,101227,
0,µm,Spot,Displacement Delta,289,1000101229,101229,
0.651,µm,Spot,Displacement Delta,290,1000101229,101230,
-0.186,µm,Spot,Displacement Delta,291,1000101229,101231,
-0.279,µm,Spot,Displacement Delta,292,1000101229,101232,
0.279,µm,Spot,Displacement Delta,293,1000101229,101233,
0,µm,Spot,Displacement Delta,313,1000101234,101234,
-0.186001,µm,Spot,Displacement Delta,314,1000101234,101235,
-0.465,µm,Spot,Displacement Delta,315,1000101234,101236,
0,µm,Spot,Displacement Delta,316,1000101234,101237,
0.0930004,µm,Spot,Displacement Delta,317,1000101234,101238,
0.465,µm,Spot,Displacement Delta,318,1000101234,101239,
0,µm,Spot,Displacement Delta,15,1000101240,101240,
0.465002,µm,Spot,Displacement Delta,16,1000101240,101241,
-0.465002,µm,Spot,Displacement Delta,17,1000101240,101242,
-0.554676,µm,Spot,Displacement Delta,18,1000101240,101243,
0,µm,Spot,Displacement Delta,104,1000101244,101244,
0.138508,µm,Spot,Displacement Delta,105,1000101244,101245,
0.537853,µm,Spot,Displacement Delta,106,1000101244,101246,
0,µm,Spot,Displacement Delta,23,1000101247,101247,
-0.479893,µm,Spot,Displacement Delta,24,1000101247,101248,
-0.371849,µm,Spot,Displacement Delta,25,1000101247,101249,
0.056839,µm,Spot,Displacement Delta,19,1000101250,101250,
-0.0984383,µm,Spot,Displacement Delta,20,1000101250,101251,
0.0415993,µm,Spot,Displacement Delta,18,1000101250,101253,
