
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
11.8853,µm,Spot,Image 1,38,1000101212,101212,
16.8325,µm,Spot,Image 1,39,1000101212,101213,
17.7625,µm,Spot,Image 1,40,1000101212,101214,
18.1345,µm,Spot,Image 1,41,1000101212,101215,
18.3205,µm,Spot,Image 1,42,1000101212,101216,
18.4135,µm,Spot,Image 1,43,1000101212,101217,
18.5995,µm,Spot,Image 1,44,1000101212,101218,
19.0942,µm,Spot,Image 1,45,1000101212,101219,
18.8413,µm,Spot,Image 1,46,1000101212,101220,
9.3925,µm,Spot,Image 1,76,1000101221,101221,
7.9045,µm,Spot,Image 1,77,1000101221,101222,
8.4625,µm,Spot,Image 1,78,1000101221,101223,
8.8345,µm,Spot,Image 1,79,1000101221,101224,
10.9735,µm,Spot,Image 1,81,1000101225,101225,
10.7875,µm,Spot,Image 1,82,1000101225,101226,
10.6945,µm,Spot,Image 1,83,1000101225,101227,
2.58131,µm,Spot,Image 1,289,1000101229,101229,
2.30868,µm,Spot,Image 1,290,1000101229,101230,
2.33607,µm,Spot,Image 1,291,1000101229,101231,
1.95663,µm,Spot,Image 1,292,1000101229,101232,
1.91145,µm,Spot,Image 1,293,1000101229,101233,
11.8039,µm,Spot,Image 1,313,1000101234,101234,
11.9402,µm,Spot,Image 1,314,1000101234,101235,
11.7656,µm,Spot,Image 1,315,1000101234,101236,
11.9005,µm,Spot,Image 1,316,1000101234,101237,
12.2929,µm,Spot,Image 1,317,1000101234,101238,
12.392,µm,Spot,Image 1,318,1000101234,101239,
14.4929,µm,Spot,Image 1,15,1000101240,101240,
15.2186,µm,Spot,Image 1,16,1000101240,101241,
15.9343,µm,Spot,Image 1,17,1000101240,101242,
16.3675,µm,Spot,Image 1,18,1000101240,101243,
10.5043,µm,Spot,Image 1,104,1000101244,101244,
10.3658,µm,Spot,Image 1,105,1000101244,101245,
9.82795,µm,Spot,Image 1,106,1000101244,101246,
8.27914,µm,Spot,Image 1,23,1000101247,101247,
8.64886,µm,Spot,Image 1,24,1000101247,101248,
8.79067,µm,Spot,Image 1,25,1000101247,101249,
9.1064,µm,Spot,Image 1,19,1000101250,101250,
9.64625,µm,Spot,Image 1,20,1000101250,101251,
9.2378,µm,Spot,Image 1,18,1000101250,101253,
