
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,,Spot,28,1000000051,51,
1.50375,,Spot,29,1000000051,52,
1.30749,,Spot,30,1000000051,53,
0.854579,,Spot,31,1000000051,54,
1.10387,,Spot,32,1000000051,55,
1.53987,,Spot,33,1000000051,56,
1.53842,,Spot,34,1000000051,57,
2.51119,,Spot,35,1000000051,58,
4.23041,,Spot,36,1000000051,59,
3.96005,,Spot,37,1000000051,60,
1.37262,,Spot,38,1000000051,61,
3.32174,,Spot,39,1000000051,62,
2.51826,,Spot,40,1000000051,63,
0.613925,,Spot,41,1000000051,64,
2.41574,,Spot,42,1000000051,65,
1.01612,,Spot,43,1000000051,66,
1.68557,,Spot,44,1000000051,67,
1.50896,,Spot,45,1000000051,68,
1.11467,,Spot,46,1000000051,69,
1.28605,,Spot,47,1000000051,70,
1.09809,,Spot,48,1000000051,71,
0.635815,,Spot,49,1000000051,72,
1.50098,,Spot,50,1000000051,73,
1.55496,,Spot,51,1000000051,74,
0.593607,,Spot,52,1000000051,75,
1.55371,,Spot,53,1000000051,76,
0.504012,,Spot,54,1000000051,77,
0,,Spot,54,1000000094,94,
0.33651,,Spot,55,1000000094,95,
0.66696,,Spot,55,1000000051,181,
0.630475,,Spot,56,1000000094,182,
0.571873,,Spot,56,1000000051,183,
1.52211,,Spot,57,1000000094,184,
0.264253,,Spot,57,1000000051,185,
0.691086,,Spot,58,1000000094,186,
0.888621,,Spot,58,1000000051,187,
1.43944,,Spot,59,1000000094,188,
1.36659,,Spot,59,1000000051,189,
1.2868,,Spot,60,1000000094,190,
0.7045,,Spot,60,1000000051,191,
0,,Spot,61,1000000192,192,
1.85594,,Spot,61,1000000094,193,
2.85187,,Spot,61,1000000051,194,
0,,Spot,62,1000000195,195,
1.5689,,Spot,62,1000000094,196,
1.02862,,Spot,62,1000000192,197,
0,,Spot,62,1000000198,198,
1.21774,,Spot,62,1000000051,199,
2.56739,,Spot,63,1000000195,200,
0.965398,,Spot,63,1000000094,201,
3.18442,,Spot,63,1000000192,202,
1.87124,,Spot,63,1000000198,203,
2.80275,,Spot,63,1000000051,204,
1.73994,,Spot,64,1000000195,205,
1.68451,,Spot,64,1000000094,206,
1.56493,,Spot,64,1000000192,207,
1.51915,,Spot,64,1000000198,208,
0.329511,,Spot,65,1000000195,209,
2.09065,,Spot,65,1000000192,210,
0.869473,,Spot,65,1000000198,211,
2.08414,,Spot,66,1000000195,212,
0.7764,,Spot,66,1000000192,213,
1.15913,,Spot,66,1000000198,214,
0.746434,,Spot,67,1000000195,215,
1.27835,,Spot,67,1000000192,216,
0.0957899,,Spot,67,1000000198,217,
1.1263,,Spot,68,1000000195,218,
1.91544,,Spot,68,1000000192,219,
