
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
32.0271,µm,Spot,Distance from Origin,28,1000000051,51,
32.7298,µm,Spot,Distance from Origin,29,1000000051,52,
32.9449,µm,Spot,Distance from Origin,30,1000000051,53,
32.8387,µm,Spot,Distance from Origin,31,1000000051,54,
32.4216,µm,Spot,Distance from Origin,32,1000000051,55,
33.2454,µm,Spot,Distance from Origin,33,1000000051,56,
32.4449,µm,Spot,Distance from Origin,34,1000000051,57,
34.0621,µm,Spot,Distance from Origin,35,1000000051,58,
31.7546,µm,Spot,Distance from Origin,36,1000000051,59,
34.9274,µm,Spot,Distance from Origin,37,1000000051,60,
34.0953,µm,Spot,Distance from Origin,38,1000000051,61,
33.1736,µm,Spot,Distance from Origin,39,1000000051,62,
31.8092,µm,Spot,Distance from Origin,40,1000000051,63,
32.1238,µm,Spot,Distance from Origin,41,1000000051,64,
34.4607,µm,Spot,Distance from Origin,42,1000000051,65,
34.4789,µm,Spot,Distance from Origin,43,1000000051,66,
35.7708,µm,Spot,Distance from Origin,44,1000000051,67,
34.9631,µm,Spot,Distance from Origin,45,1000000051,68,
35.9745,µm,Spot,Distance from Origin,46,1000000051,69,
34.726,µm,Spot,Distance from Origin,47,1000000051,70,
33.9643,µm,Spot,Distance from Origin,48,1000000051,71,
33.8131,µm,Spot,Distance from Origin,49,1000000051,72,
34.76,µm,Spot,Distance from Origin,50,1000000051,73,
33.8626,µm,Spot,Distance from Origin,51,1000000051,74,
33.7621,µm,Spot,Distance from Origin,52,1000000051,75,
34.9315,µm,Spot,Distance from Origin,53,1000000051,76,
34.6192,µm,Spot,Distance from Origin,54,1000000051,77,
30.2628,µm,Spot,Distance from Origin,54,1000000094,94,
30.072,µm,Spot,Distance from Origin,55,1000000094,95,
34.7038,µm,Spot,Distance from Origin,55,1000000051,181,
30.3058,µm,Spot,Distance from Origin,56,1000000094,182,
34.1468,µm,Spot,Distance from Origin,56,1000000051,183,
30.0781,µm,Spot,Distance from Origin,57,1000000094,184,
34.1339,µm,Spot,Distance from Origin,57,1000000051,185,
30.0129,µm,Spot,Distance from Origin,58,1000000094,186,
33.2848,µm,Spot,Distance from Origin,58,1000000051,187,
31.1422,µm,Spot,Distance from Origin,59,1000000094,188,
34.5657,µm,Spot,Distance from Origin,59,1000000051,189,
31.7688,µm,Spot,Distance from Origin,60,1000000094,190,
34.2468,µm,Spot,Distance from Origin,60,1000000051,191,
28.4864,µm,Spot,Distance from Origin,61,1000000192,192,
32.339,µm,Spot,Distance from Origin,61,1000000094,193,
35.9188,µm,Spot,Distance from Origin,61,1000000051,194,
47.8644,µm,Spot,Distance from Origin,62,1000000195,195,
31.5338,µm,Spot,Distance from Origin,62,1000000094,196,
29.1504,µm,Spot,Distance from Origin,62,1000000192,197,
25.7767,µm,Spot,Distance from Origin,62,1000000198,198,
36.7537,µm,Spot,Distance from Origin,62,1000000051,199,
48.3676,µm,Spot,Distance from Origin,63,1000000195,200,
31.8031,µm,Spot,Distance from Origin,63,1000000094,201,
29.565,µm,Spot,Distance from Origin,63,1000000192,202,
26.749,µm,Spot,Distance from Origin,63,1000000198,203,
36.4763,µm,Spot,Distance from Origin,63,1000000051,204,
48.4862,µm,Spot,Distance from Origin,64,1000000195,205,
31.766,µm,Spot,Distance from Origin,64,1000000094,206,
29.4933,µm,Spot,Distance from Origin,64,1000000192,207,
25.9463,µm,Spot,Distance from Origin,64,1000000198,208,
48.4233,µm,Spot,Distance from Origin,65,1000000195,209,
29.0088,µm,Spot,Distance from Origin,65,1000000192,210,
25.387,µm,Spot,Distance from Origin,65,1000000198,211,
46.6193,µm,Spot,Distance from Origin,66,1000000195,212,
28.4806,µm,Spot,Distance from Origin,66,1000000192,213,
25.0624,µm,Spot,Distance from Origin,66,1000000198,214,
46.2206,µm,Spot,Distance from Origin,67,1000000195,215,
28.1725,µm,Spot,Distance from Origin,67,1000000192,216,
25.0179,µm,Spot,Distance from Origin,67,1000000198,217,
46.2617,µm,Spot,Distance from Origin,68,1000000195,218,
28.7331,µm,Spot,Distance from Origin,68,1000000192,219,
25.0342,µm,Spot,Distance from Origin,68,1000000198,220,
45.4779,µm,Spot,Distance from Origin,69,1000000195,221,
28.4043,µm,Spot,Distance from Origin,69,1000000192,222,
25.651,µm,Spot,Distance from Origin,69,1000000198,223,
45.6351,µm,Spot,Distance from Origin,70,1000000195,224,
28.6044,µm,Spot,Distance from Origin,70,1000000192,225,
26.0948,µm,Spot,Distance from Origin,70,1000000198,226,
43.6363,µm,Spot,Distance from Origin,71,1000000195,227,
29.5991,µm,Spot,Distance from Origin,71,1000000192,228,
26.983,µm,Spot,Distance from Origin,71,1000000198,229,
42.3642,µm,Spot,Distance from Origin,72,1000000195,230,
31.4948,µm,Spot,Distance from Origin,72,1000000192,231,
30.5153,µm,Spot,Distance from Origin,72,1000000198,232,
43.911,µm,Spot,Distance from Origin,73,1000000195,233,
33.1753,µm,Spot,Distance from Origin,73,1000000192,234,
32.2351,µm,Spot,Distance from Origin,73,1000000198,235,
44.6885,µm,Spot,Distance from Origin,74,1000000195,236,
34.5004,µm,Spot,Distance from Origin,74,1000000192,237,
33.544,µm,Spot,Distance from Origin,74,1000000198,238,
45.3881,µm,Spot,Distance from Origin,75,1000000195,239,
36.3476,µm,Spot,Distance from Origin,75,1000000192,240,
33.9925,µm,Spot,Distance from Origin,75,1000000198,241,
44.5778,µm,Spot,Distance from Origin,76,1000000195,242,
37.5027,µm,Spot,Distance from Origin,76,1000000192,243,
34.9915,µm,Spot,Distance from Origin,76,1000000198,244,
45.2025,µm,Spot,Distance from Origin,77,1000000195,245,
38.4666,µm,Spot,Distance from Origin,77,1000000192,246,
35.2649,µm,Spot,Distance from Origin,77,1000000198,247,
44.8445,µm,Spot,Distance from Origin,78,1000000195,248,
39.3793,µm,Spot,Distance from Origin,78,1000000192,249,
35.6999,µm,Spot,Distance from Origin,78,1000000198,250,
44.7839,µm,Spot,Distance from Origin,79,1000000195,251,
40.282,µm,Spot,Distance from Origin,79,1000000192,252,
36.4355,µm,Spot,Distance from Origin,79,1000000198,253,
45.2876,µm,Spot,Distance from Origin,80,1000000195,254,
45.2179,µm,Spot,Distance from Origin,81,1000000195,255,
45.6305,µm,Spot,Distance from Origin,82,1000000195,256,
47.2351,µm,Spot,Distance from Origin,83,1000000195,257,
48.5696,µm,Spot,Distance from Origin,84,1000000195,258,
48.538,µm,Spot,Distance from Origin,85,1000000195,259,
48.1561,µm,Spot,Distance from Origin,86,1000000195,260,
45.613,µm,Spot,Distance from Origin,92,1000000261,261,
44.8056,µm,Spot,Distance from Origin,93,1000000261,262,
43.4709,µm,Spot,Distance from Origin,94,1000000261,263,
43.2803,µm,Spot,Distance from Origin,95,1000000261,264,
43.5445,µm,Spot,Distance from Origin,96,1000000261,265,
43.8685,µm,Spot,Distance from Origin,97,1000000261,266,
43.9869,µm,Spot,Distance from Origin,98,1000000261,267,
44.466,µm,Spot,Distance from Origin,99,1000000261,268,
43.6555,µm,Spot,Distance from Origin,100,1000000261,269,
43.0279,µm,Spot,Distance from Origin,101,1000000261,270,
42.9185,µm,Spot,Distance from Origin,102,1000000261,271,
42.6303,µm,Spot,Distance from Origin,103,1000000261,272,
42.7939,µm,Spot,Distance from Origin,104,1000000261,273,
43.0599,µm,Spot,Distance from Origin,105,1000000261,274,
43.7386,µm,Spot,Distance from Origin,106,1000000261,275,
43.439,µm,Spot,Distance from Origin,107,1000000261,276,
71.275,µm,Spot,Distance from Origin,111,1000000277,277,
69.9868,µm,Spot,Distance from Origin,112,1000000277,278,
68.88,µm,Spot,Distance from Origin,113,1000000277,279,
67.6521,µm,Spot,Distance from Origin,114,1000000277,280,
67.129,µm,Spot,Distance from Origin,115,1000000277,281,
65.3051,µm,Spot,Distance from Origin,116,1000000277,282,
63.9144,µm,Spot,Distance from Origin,117,1000000277,283,
62.6967,µm,Spot,Distance from Origin,118,1000000277,284,
61.3872,µm,Spot,Distance from Origin,119,1000000277,285,
59.033,µm,Spot,Distance from Origin,120,1000000277,286,
58.3224,µm,Spot,Distance from Origin,121,1000000277,287,
57.7278,µm,Spot,Distance from Origin,122,1000000277,288,
56.4742,µm,Spot,Distance from Origin,123,1000000277,289,
55.7552,µm,Spot,Distance from Origin,124,1000000277,290,
54.4546,µm,Spot,Distance from Origin,125,1000000277,291,
63.6647,µm,Spot,Distance from Origin,126,1000000292,292,
62.6613,µm,Spot,Distance from Origin,127,1000000292,293,
60.6097,µm,Spot,Distance from Origin,128,1000000292,294,
59.6028,µm,Spot,Distance from Origin,129,1000000292,295,
58.6177,µm,Spot,Distance from Origin,130,1000000292,296,
59.0751,µm,Spot,Distance from Origin,131,1000000292,297,
58.6645,µm,Spot,Distance from Origin,132,1000000292,298,
57.391,µm,Spot,Distance from Origin,133,1000000292,299,
56.73,µm,Spot,Distance from Origin,134,1000000292,300,
56.0567,µm,Spot,Distance from Origin,135,1000000292,301,
55.9684,µm,Spot,Distance from Origin,136,1000000292,302,
55.6073,µm,Spot,Distance from Origin,137,1000000292,303,
54.1163,µm,Spot,Distance from Origin,138,1000000292,304,
54.0807,µm,Spot,Distance from Origin,139,1000000292,305,
53.3866,µm,Spot,Distance from Origin,140,1000000292,306,
44.9365,µm,Spot,Distance from Origin,140,1000000307,307,
52.8435,µm,Spot,Distance from Origin,141,1000000292,308,
44.6612,µm,Spot,Distance from Origin,141,1000000307,309,
51.6897,µm,Spot,Distance from Origin,142,1000000292,310,
44.7302,µm,Spot,Distance from Origin,142,1000000307,311,
52.492,µm,Spot,Distance from Origin,143,1000000292,312,
43.7091,µm,Spot,Distance from Origin,143,1000000307,313,
51.8127,µm,Spot,Distance from Origin,144,1000000292,314,
44.3821,µm,Spot,Distance from Origin,144,1000000307,315,
52.8497,µm,Spot,Distance from Origin,145,1000000292,316,
45.9438,µm,Spot,Distance from Origin,145,1000000307,317,
51.8256,µm,Spot,Distance from Origin,146,1000000292,318,
45.3098,µm,Spot,Distance from Origin,146,1000000307,319,
51.8217,µm,Spot,Distance from Origin,147,1000000292,320,
45.0935,µm,Spot,Distance from Origin,147,1000000307,321,
52.1662,µm,Spot,Distance from Origin,148,1000000292,322,
46.1173,µm,Spot,Distance from Origin,148,1000000307,323,
53.2774,µm,Spot,Distance from Origin,149,1000000292,324,
45.6387,µm,Spot,Distance from Origin,149,1000000307,325,
54.1267,µm,Spot,Distance from Origin,150,1000000292,326,
45.5638,µm,Spot,Distance from Origin,150,1000000307,327,
53.3061,µm,Spot,Distance from Origin,151,1000000292,328,
45.6476,µm,Spot,Distance from Origin,151,1000000307,329,
42.8842,µm,Spot,Distance from Origin,151,1000000330,330,
42.1032,µm,Spot,Distance from Origin,152,1000000330,331,
42.3048,µm,Spot,Distance from Origin,153,1000000330,332,
42.6265,µm,Spot,Distance from Origin,154,1000000330,333,
42.5157,µm,Spot,Distance from Origin,155,1000000330,334,
42.8294,µm,Spot,Distance from Origin,156,1000000330,335,
42.883,µm,Spot,Distance from Origin,157,1000000330,336,
42.6258,µm,Spot,Distance from Origin,158,1000000330,337,
40.7781,µm,Spot,Distance from Origin,159,1000000330,338,
39.9738,µm,Spot,Distance from Origin,160,1000000330,339,
39.9882,µm,Spot,Distance from Origin,161,1000000330,340,
38.9128,µm,Spot,Distance from Origin,162,1000000330,341,
59.0793,µm,Spot,Distance from Origin,243,1000000371,371,
44.3301,µm,Spot,Distance from Origin,244,1000000372,372,
58.2893,µm,Spot,Distance from Origin,244,1000000371,373,
63.5213,µm,Spot,Distance from Origin,244,1000000401,401,
44.5719,µm,Spot,Distance from Origin,245,1000000372,402,
56.9706,µm,Spot,Distance from Origin,245,1000000371,403,
61.829,µm,Spot,Distance from Origin,245,1000000401,404,
42.6441,µm,Spot,Distance from Origin,246,1000000372,405,
56.6234,µm,Spot,Distance from Origin,246,1000000371,406,
62.3389,µm,Spot,Distance from Origin,246,1000000401,407,
42.7141,µm,Spot,Distance from Origin,247,1000000372,408,
56.2343,µm,Spot,Distance from Origin,247,1000000371,409,
60.4094,µm,Spot,Distance from Origin,247,1000000401,410,
42.0206,µm,Spot,Distance from Origin,248,1000000372,411,
56.2434,µm,Spot,Distance from Origin,248,1000000371,412,
59.8221,µm,Spot,Distance from Origin,248,1000000401,413,
42.5106,µm,Spot,Distance from Origin,249,1000000372,414,
55.4878,µm,Spot,Distance from Origin,249,1000000371,415,
59.3412,µm,Spot,Distance from Origin,249,1000000401,416,
42.1785,µm,Spot,Distance from Origin,250,1000000372,417,
55.1548,µm,Spot,Distance from Origin,250,1000000371,418,
58.4125,µm,Spot,Distance from Origin,250,1000000401,419,
42.321,µm,Spot,Distance from Origin,251,1000000372,420,
54.9067,µm,Spot,Distance from Origin,251,1000000371,421,
57.6887,µm,Spot,Distance from Origin,251,1000000401,422,
43.5144,µm,Spot,Distance from Origin,252,1000000372,423,
54.2739,µm,Spot,Distance from Origin,252,1000000371,424,
57.0293,µm,Spot,Distance from Origin,252,1000000401,425,
44.7424,µm,Spot,Distance from Origin,253,1000000372,426,
53.7815,µm,Spot,Distance from Origin,253,1000000371,427,
56.9433,µm,Spot,Distance from Origin,253,1000000401,428,
44.1429,µm,Spot,Distance from Origin,254,1000000372,429,
53.325,µm,Spot,Distance from Origin,254,1000000371,430,
56.58,µm,Spot,Distance from Origin,254,1000000401,431,
44.8455,µm,Spot,Distance from Origin,255,1000000372,432,
52.5697,µm,Spot,Distance from Origin,255,1000000371,433,
55.5955,µm,Spot,Distance from Origin,255,1000000401,434,
52.6987,µm,Spot,Distance from Origin,256,1000000371,435,
55.4479,µm,Spot,Distance from Origin,256,1000000401,436,
52.6787,µm,Spot,Distance from Origin,257,1000000371,437,
55.5043,µm,Spot,Distance from Origin,257,1000000401,438,
52.6511,µm,Spot,Distance from Origin,258,1000000371,439,
54.6513,µm,Spot,Distance from Origin,258,1000000401,440,
52.597,µm,Spot,Distance from Origin,259,1000000371,441,
54.2853,µm,Spot,Distance from Origin,259,1000000401,442,
52.3799,µm,Spot,Distance from Origin,260,1000000371,443,
53.7012,µm,Spot,Distance from Origin,260,1000000401,444,
50.7172,µm,Spot,Distance from Origin,261,1000000371,445,
51.6714,µm,Spot,Distance from Origin,261,1000000401,446,
47.3454,µm,Spot,Distance from Origin,262,1000000371,447,
49.7173,µm,Spot,Distance from Origin,262,1000000401,448,
44.9296,µm,Spot,Distance from Origin,263,1000000371,449,
48.4746,µm,Spot,Distance from Origin,263,1000000401,450,
43.2077,µm,Spot,Distance from Origin,264,1000000371,451,
47.0342,µm,Spot,Distance from Origin,264,1000000401,452,
45.9222,µm,Spot,Distance from Origin,265,1000000401,453,
43.0155,µm,Spot,Distance from Origin,265,1000000371,454,
45.8801,µm,Spot,Distance from Origin,266,1000000401,455,
56.7683,µm,Spot,Distance from Origin,343,1000000456,456,
56.1373,µm,Spot,Distance from Origin,344,1000000456,457,
56.1366,µm,Spot,Distance from Origin,345,1000000456,458,
56.4723,µm,Spot,Distance from Origin,346,1000000456,459,
57.485,µm,Spot,Distance from Origin,347,1000000456,460,
56.8016,µm,Spot,Distance from Origin,348,1000000456,461,
57.3295,µm,Spot,Distance from Origin,349,1000000456,462,
57.297,µm,Spot,Distance from Origin,350,1000000456,463,
58.0719,µm,Spot,Distance from Origin,351,1000000456,464,
