
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
2.40636,µm,Spot,Image 1,28,1000000051,51,
3.73404,µm,Spot,Image 1,29,1000000051,52,
5.03997,µm,Spot,Image 1,30,1000000051,53,
5.72341,µm,Spot,Image 1,31,1000000051,54,
4.75905,µm,Spot,Image 1,32,1000000051,55,
4.4818,µm,Spot,Image 1,33,1000000051,56,
4.43353,µm,Spot,Image 1,34,1000000051,57,
4.56262,µm,Spot,Image 1,35,1000000051,58,
5.93376,µm,Spot,Image 1,36,1000000051,59,
6.87073,µm,Spot,Image 1,37,1000000051,60,
6.43923,µm,Spot,Image 1,38,1000000051,61,
8.61276,µm,Spot,Image 1,39,1000000051,62,
9.91886,µm,Spot,Image 1,40,1000000051,63,
9.69925,µm,Spot,Image 1,41,1000000051,64,
10.9298,µm,Spot,Image 1,42,1000000051,65,
10.6839,µm,Spot,Image 1,43,1000000051,66,
10.3069,µm,Spot,Image 1,44,1000000051,67,
11.184,µm,Spot,Image 1,45,1000000051,68,
11.2958,µm,Spot,Image 1,46,1000000051,69,
10.7373,µm,Spot,Image 1,47,1000000051,70,
10.2901,µm,Spot,Image 1,48,1000000051,71,
10.6817,µm,Spot,Image 1,49,1000000051,72,
10.6278,µm,Spot,Image 1,50,1000000051,73,
11.0182,µm,Spot,Image 1,51,1000000051,74,
11.3039,µm,Spot,Image 1,52,1000000051,75,
11.6927,µm,Spot,Image 1,53,1000000051,76,
11.641,µm,Spot,Image 1,54,1000000051,77,
7.20984,µm,Spot,Image 1,54,1000000094,94,
7.39584,µm,Spot,Image 1,55,1000000094,95,
11.4701,µm,Spot,Image 1,55,1000000051,181,
7.67484,µm,Spot,Image 1,56,1000000094,182,
11.2583,µm,Spot,Image 1,56,1000000051,183,
7.86084,µm,Spot,Image 1,57,1000000094,184,
11.2326,µm,Spot,Image 1,57,1000000051,185,
8.13984,µm,Spot,Image 1,58,1000000094,186,
11.0534,µm,Spot,Image 1,58,1000000051,187,
9.34884,µm,Spot,Image 1,59,1000000094,188,
11.9188,µm,Spot,Image 1,59,1000000051,189,
9.72084,µm,Spot,Image 1,60,1000000094,190,
11.8704,µm,Spot,Image 1,60,1000000051,191,
7.95384,µm,Spot,Image 1,61,1000000192,192,
11.0818,µm,Spot,Image 1,61,1000000094,193,
12.4399,µm,Spot,Image 1,61,1000000051,194,
19.1347,µm,Spot,Image 1,62,1000000195,195,
11.9528,µm,Spot,Image 1,62,1000000094,196,
7.67484,µm,Spot,Image 1,62,1000000192,197,
10.4648,µm,Spot,Image 1,62,1000000198,198,
13.5928,µm,Spot,Image 1,62,1000000051,199,
20.4015,µm,Spot,Image 1,63,1000000195,200,
12.8828,µm,Spot,Image 1,63,1000000094,201,
10.7438,µm,Spot,Image 1,63,1000000192,202,
12.3248,µm,Spot,Image 1,63,1000000198,203,
14.4495,µm,Spot,Image 1,63,1000000051,204,
21.2795,µm,Spot,Image 1,64,1000000195,205,
14.2778,µm,Spot,Image 1,64,1000000094,206,
12.0458,µm,Spot,Image 1,64,1000000192,207,
12.7898,µm,Spot,Image 1,64,1000000198,208,
21.5457,µm,Spot,Image 1,65,1000000195,209,
13.5338,µm,Spot,Image 1,65,1000000192,210,
12.9758,µm,Spot,Image 1,65,1000000198,211,
23.3551,µm,Spot,Image 1,66,1000000195,212,
13.7198,µm,Spot,Image 1,66,1000000192,213,
13.6268,µm,Spot,Image 1,66,1000000198,214,
24.0912,µm,Spot,Image 1,67,1000000195,215,
12.5108,µm,Spot,Image 1,67,1000000192,216,
13.5338,µm,Spot,Image 1,67,1000000198,217,
24.5651,µm,Spot,Image 1,68,1000000195,218,
14.1848,µm,Spot,Image 1,68,1000000192,219,
13.5338,µm,Spot,Image 1,68,1000000198,220,
25.0072,µm,Spot,Image 1,69,1000000195,221,
13.4408,µm,Spot,Image 1,69,1000000192,222,
13.5338,µm,Spot,Image 1,69,1000000198,223,
25.2106,µm,Spot,Image 1,70,1000000195,224,
13.7198,µm,Spot,Image 1,70,1000000192,225,
14.4638,µm,Spot,Image 1,70,1000000198,226,
24.2276,µm,Spot,Image 1,71,1000000195,227,
14.8358,µm,Spot,Image 1,71,1000000192,228,
14.4638,µm,Spot,Image 1,71,1000000198,229,
23.7489,µm,Spot,Image 1,72,1000000195,230,
16.0448,µm,Spot,Image 1,72,1000000192,231,
15.8588,µm,Spot,Image 1,72,1000000198,232,
24.8547,µm,Spot,Image 1,73,1000000195,233,
17.3468,µm,Spot,Image 1,73,1000000192,234,
15.7658,µm,Spot,Image 1,73,1000000198,235,
25.3253,µm,Spot,Image 1,74,1000000195,236,
18.2768,µm,Spot,Image 1,74,1000000192,237,
15.8588,µm,Spot,Image 1,74,1000000198,238,
25.3918,µm,Spot,Image 1,75,1000000195,239,
18.5558,µm,Spot,Image 1,75,1000000192,240,
16.6028,µm,Spot,Image 1,75,1000000198,241,
25.378,µm,Spot,Image 1,76,1000000195,242,
19.2998,µm,Spot,Image 1,76,1000000192,243,
17.3468,µm,Spot,Image 1,76,1000000198,244,
25.4378,µm,Spot,Image 1,77,1000000195,245,
20.0438,µm,Spot,Image 1,77,1000000192,246,
17.3468,µm,Spot,Image 1,77,1000000198,247,
25.4994,µm,Spot,Image 1,78,1000000195,248,
20.2298,µm,Spot,Image 1,78,1000000192,249,
18.9278,µm,Spot,Image 1,78,1000000198,250,
25.5204,µm,Spot,Image 1,79,1000000195,251,
20.4158,µm,Spot,Image 1,79,1000000192,252,
19.2068,µm,Spot,Image 1,79,1000000198,253,
25.3448,µm,Spot,Image 1,80,1000000195,254,
25.309,µm,Spot,Image 1,81,1000000195,255,
24.8798,µm,Spot,Image 1,82,1000000195,256,
23.4848,µm,Spot,Image 1,83,1000000195,257,
22.0898,µm,Spot,Image 1,84,1000000195,258,
22.1828,µm,Spot,Image 1,85,1000000195,259,
22.7408,µm,Spot,Image 1,86,1000000195,260,
21.2192,µm,Spot,Image 1,92,1000000261,261,
22.2747,µm,Spot,Image 1,93,1000000261,262,
21.7178,µm,Spot,Image 1,94,1000000261,263,
21.9968,µm,Spot,Image 1,95,1000000261,264,
22.1828,µm,Spot,Image 1,96,1000000261,265,
22.3688,µm,Spot,Image 1,97,1000000261,266,
23.1128,µm,Spot,Image 1,98,1000000261,267,
21.9234,µm,Spot,Image 1,99,1000000261,268,
21.4519,µm,Spot,Image 1,100,1000000261,269,
21.6878,µm,Spot,Image 1,101,1000000261,270,
21.2682,µm,Spot,Image 1,102,1000000261,271,
21.3513,µm,Spot,Image 1,103,1000000261,272,
21.3769,µm,Spot,Image 1,104,1000000261,273,
21.6364,µm,Spot,Image 1,105,1000000261,274,
22.2172,µm,Spot,Image 1,106,1000000261,275,
22.6478,µm,Spot,Image 1,107,1000000261,276,
6.90412,µm,Spot,Image 1,111,1000000277,277,
8.0174,µm,Spot,Image 1,112,1000000277,278,
9.81751,µm,Spot,Image 1,113,1000000277,279,
10.4313,µm,Spot,Image 1,114,1000000277,280,
12.1948,µm,Spot,Image 1,115,1000000277,281,
14.0995,µm,Spot,Image 1,116,1000000277,282,
15.9626,µm,Spot,Image 1,117,1000000277,283,
16.5098,µm,Spot,Image 1,118,1000000277,284,
16.6958,µm,Spot,Image 1,119,1000000277,285,
17.6258,µm,Spot,Image 1,120,1000000277,286,
18.5558,µm,Spot,Image 1,121,1000000277,287,
19.3928,µm,Spot,Image 1,122,1000000277,288,
18.598,µm,Spot,Image 1,123,1000000277,289,
18.4284,µm,Spot,Image 1,124,1000000277,290,
19.759,µm,Spot,Image 1,125,1000000277,291,
0.572712,µm,Spot,Image 1,126,1000000292,292,
1.66632,µm,Spot,Image 1,127,1000000292,293,
3.43365,µm,Spot,Image 1,128,1000000292,294,
5.5993,µm,Spot,Image 1,129,1000000292,295,
5.63665,µm,Spot,Image 1,130,1000000292,296,
5.59314,µm,Spot,Image 1,131,1000000292,297,
5.90619,µm,Spot,Image 1,132,1000000292,298,
7.42617,µm,Spot,Image 1,133,1000000292,299,
8.56597,µm,Spot,Image 1,134,1000000292,300,
9.0626,µm,Spot,Image 1,135,1000000292,301,
9.58929,µm,Spot,Image 1,136,1000000292,302,
10.5099,µm,Spot,Image 1,137,1000000292,303,
11.9984,µm,Spot,Image 1,138,1000000292,304,
12.222,µm,Spot,Image 1,139,1000000292,305,
13.0543,µm,Spot,Image 1,140,1000000292,306,
21.8633,µm,Spot,Image 1,140,1000000307,307,
13.7048,µm,Spot,Image 1,141,1000000292,308,
22.1633,µm,Spot,Image 1,141,1000000307,309,
14.0242,µm,Spot,Image 1,142,1000000292,310,
23.2988,µm,Spot,Image 1,142,1000000307,311,
14.1235,µm,Spot,Image 1,143,1000000292,312,
23.3716,µm,Spot,Image 1,143,1000000307,313,
14.5164,µm,Spot,Image 1,144,1000000292,314,
23.4431,µm,Spot,Image 1,144,1000000307,315,
13.9609,µm,Spot,Image 1,145,1000000292,316,
24.5548,µm,Spot,Image 1,145,1000000307,317,
14.4262,µm,Spot,Image 1,146,1000000292,318,
23.7578,µm,Spot,Image 1,146,1000000307,319,
14.3441,µm,Spot,Image 1,147,1000000292,320,
23.913,µm,Spot,Image 1,147,1000000307,321,
14.2298,µm,Spot,Image 1,148,1000000292,322,
25.5869,µm,Spot,Image 1,148,1000000307,323,
13.4747,µm,Spot,Image 1,149,1000000292,324,
23.9899,µm,Spot,Image 1,149,1000000307,325,
12.3764,µm,Spot,Image 1,150,1000000292,326,
22.196,µm,Spot,Image 1,150,1000000307,327,
13.6907,µm,Spot,Image 1,151,1000000292,328,
21.1825,µm,Spot,Image 1,151,1000000307,329,
16.1818,µm,Spot,Image 1,151,1000000330,330,
17.0678,µm,Spot,Image 1,152,1000000330,331,
15.7658,µm,Spot,Image 1,153,1000000330,332,
16.2308,µm,Spot,Image 1,154,1000000330,333,
16.3238,µm,Spot,Image 1,155,1000000330,334,
16.5098,µm,Spot,Image 1,156,1000000330,335,
17.1491,µm,Spot,Image 1,157,1000000330,336,
16.7888,µm,Spot,Image 1,158,1000000330,337,
15.3938,µm,Spot,Image 1,159,1000000330,338,
15.3008,µm,Spot,Image 1,160,1000000330,339,
15.446,µm,Spot,Image 1,161,1000000330,340,
16.148,µm,Spot,Image 1,162,1000000330,341,
16.9748,µm,Spot,Image 1,243,1000000371,371,
18.2633,µm,Spot,Image 1,244,1000000372,372,
16.9748,µm,Spot,Image 1,244,1000000371,373,
15.9518,µm,Spot,Image 1,244,1000000401,401,
18.6633,µm,Spot,Image 1,245,1000000372,402,
16.6028,µm,Spot,Image 1,245,1000000371,403,
16.4168,µm,Spot,Image 1,245,1000000401,404,
19.5549,µm,Spot,Image 1,246,1000000372,405,
16.4168,µm,Spot,Image 1,246,1000000371,406,
16.5098,µm,Spot,Image 1,246,1000000401,407,
19.4542,µm,Spot,Image 1,247,1000000372,408,
16.7888,µm,Spot,Image 1,247,1000000371,409,
15.9518,µm,Spot,Image 1,247,1000000401,410,
18.9283,µm,Spot,Image 1,248,1000000372,411,
16.6028,µm,Spot,Image 1,248,1000000371,412,
16.4168,µm,Spot,Image 1,248,1000000401,413,
19.1684,µm,Spot,Image 1,249,1000000372,414,
17.6258,µm,Spot,Image 1,249,1000000371,415,
16.6958,µm,Spot,Image 1,249,1000000401,416,
19.2414,µm,Spot,Image 1,250,1000000372,417,
17.3468,µm,Spot,Image 1,250,1000000371,418,
15.9914,µm,Spot,Image 1,250,1000000401,419,
20.0234,µm,Spot,Image 1,251,1000000372,420,
17.4398,µm,Spot,Image 1,251,1000000371,421,
15.8701,µm,Spot,Image 1,251,1000000401,422,
22.0406,µm,Spot,Image 1,252,1000000372,423,
17.3468,µm,Spot,Image 1,252,1000000371,424,
15.742,µm,Spot,Image 1,252,1000000401,425,
23.5778,µm,Spot,Image 1,253,1000000372,426,
17.7188,µm,Spot,Image 1,253,1000000371,427,
15.9456,µm,Spot,Image 1,253,1000000401,428,
23.3918,µm,Spot,Image 1,254,1000000372,429,
18.0908,µm,Spot,Image 1,254,1000000371,430,
16.231,µm,Spot,Image 1,254,1000000401,431,
24.1358,µm,Spot,Image 1,255,1000000372,432,
18.9278,µm,Spot,Image 1,255,1000000371,433,
16.6749,µm,Spot,Image 1,255,1000000401,434,
18.8348,µm,Spot,Image 1,256,1000000371,435,
17.253,µm,Spot,Image 1,256,1000000401,436,
19.2068,µm,Spot,Image 1,257,1000000371,437,
17.3653,µm,Spot,Image 1,257,1000000401,438,
19.2068,µm,Spot,Image 1,258,1000000371,439,
18.0872,µm,Spot,Image 1,258,1000000401,440,
19.3928,µm,Spot,Image 1,259,1000000371,441,
18.9029,µm,Spot,Image 1,259,1000000401,442,
20.0438,µm,Spot,Image 1,260,1000000371,443,
20.2649,µm,Spot,Image 1,260,1000000401,444,
21.5318,µm,Spot,Image 1,261,1000000371,445,
21.1598,µm,Spot,Image 1,261,1000000401,446,
23.2058,µm,Spot,Image 1,262,1000000371,447,
22.2758,µm,Spot,Image 1,262,1000000401,448,
23.3455,µm,Spot,Image 1,263,1000000371,449,
23.3918,µm,Spot,Image 1,263,1000000401,450,
22.8605,µm,Spot,Image 1,264,1000000371,451,
23.9498,µm,Spot,Image 1,264,1000000401,452,
25.6773,µm,Spot,Image 1,265,1000000401,453,
22.3974,µm,Spot,Image 1,265,1000000371,454,
25.7168,µm,Spot,Image 1,266,1000000401,455,
16.7888,µm,Spot,Image 1,343,1000000456,456,
17.7188,µm,Spot,Image 1,344,1000000456,457,
18.3698,µm,Spot,Image 1,345,1000000456,458,
19.0208,µm,Spot,Image 1,346,1000000456,459,
18.1208,µm,Spot,Image 1,347,1000000456,460,
18.48,µm,Spot,Image 1,348,1000000456,461,
18.0672,µm,Spot,Image 1,349,1000000456,462,
16.9702,µm,Spot,Image 1,350,1000000456,463,
14.8239,µm,Spot,Image 1,351,1000000456,464,
13.8637,µm,Spot,Image 1,352,1000000456,465,
