
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
206,,Spot,1,Image 1,28,1000000051,51,
206,,Spot,1,Image 1,29,1000000051,52,
210,,Spot,1,Image 1,30,1000000051,53,
202,,Spot,1,Image 1,31,1000000051,54,
210,,Spot,1,Image 1,32,1000000051,55,
204,,Spot,1,Image 1,33,1000000051,56,
204,,Spot,1,Image 1,34,1000000051,57,
200,,Spot,1,Image 1,35,1000000051,58,
198,,Spot,1,Image 1,36,1000000051,59,
206,,Spot,1,Image 1,37,1000000051,60,
196,,Spot,1,Image 1,38,1000000051,61,
202,,Spot,1,Image 1,39,1000000051,62,
196,,Spot,1,Image 1,40,1000000051,63,
200,,Spot,1,Image 1,41,1000000051,64,
200,,Spot,1,Image 1,42,1000000051,65,
204,,Spot,1,Image 1,43,1000000051,66,
210,,Spot,1,Image 1,44,1000000051,67,
202,,Spot,1,Image 1,45,1000000051,68,
206,,Spot,1,Image 1,46,1000000051,69,
206,,Spot,1,Image 1,47,1000000051,70,
194,,Spot,1,Image 1,48,1000000051,71,
202,,Spot,1,Image 1,49,1000000051,72,
210,,Spot,1,Image 1,50,1000000051,73,
194,,Spot,1,Image 1,51,1000000051,74,
198,,Spot,1,Image 1,52,1000000051,75,
198,,Spot,1,Image 1,53,1000000051,76,
208,,Spot,1,Image 1,54,1000000051,77,
200,,Spot,1,Image 1,54,1000000094,94,
196,,Spot,1,Image 1,55,1000000094,95,
214,,Spot,1,Image 1,55,1000000051,181,
214,,Spot,1,Image 1,56,1000000094,182,
216,,Spot,1,Image 1,56,1000000051,183,
198,,Spot,1,Image 1,57,1000000094,184,
212,,Spot,1,Image 1,57,1000000051,185,
204,,Spot,1,Image 1,58,1000000094,186,
204,,Spot,1,Image 1,58,1000000051,187,
212,,Spot,1,Image 1,59,1000000094,188,
206,,Spot,1,Image 1,59,1000000051,189,
214,,Spot,1,Image 1,60,1000000094,190,
198,,Spot,1,Image 1,60,1000000051,191,
194,,Spot,1,Image 1,61,1000000192,192,
238,,Spot,1,Image 1,61,1000000094,193,
204,,Spot,1,Image 1,61,1000000051,194,
206,,Spot,1,Image 1,62,1000000195,195,
216,,Spot,1,Image 1,62,1000000094,196,
190,,Spot,1,Image 1,62,1000000192,197,
208,,Spot,1,Image 1,62,1000000198,198,
210,,Spot,1,Image 1,62,1000000051,199,
212,,Spot,1,Image 1,63,1000000195,200,
210,,Spot,1,Image 1,63,1000000094,201,
230,,Spot,1,Image 1,63,1000000192,202,
230,,Spot,1,Image 1,63,1000000198,203,
208,,Spot,1,Image 1,63,1000000051,204,
194,,Spot,1,Image 1,64,1000000195,205,
214,,Spot,1,Image 1,64,1000000094,206,
194,,Spot,1,Image 1,64,1000000192,207,
230,,Spot,1,Image 1,64,1000000198,208,
196,,Spot,1,Image 1,65,1000000195,209,
218,,Spot,1,Image 1,65,1000000192,210,
202,,Spot,1,Image 1,65,1000000198,211,
208,,Spot,1,Image 1,66,1000000195,212,
222,,Spot,1,Image 1,66,1000000192,213,
200,,Spot,1,Image 1,66,1000000198,214,
198,,Spot,1,Image 1,67,1000000195,215,
216,,Spot,1,Image 1,67,1000000192,216,
200,,Spot,1,Image 1,67,1000000198,217,
208,,Spot,1,Image 1,68,1000000195,218,
206,,Spot,1,Image 1,68,1000000192,219,
214,,Spot,1,Image 1,68,1000000198,220,
202,,Spot,1,Image 1,69,1000000195,221,
208,,Spot,1,Image 1,69,1000000192,222,
216,,Spot,1,Image 1,69,1000000198,223,
210,,Spot,1,Image 1,70,1000000195,224,
216,,Spot,1,Image 1,70,1000000192,225,
196,,Spot,1,Image 1,70,1000000198,226,
212,,Spot,1,Image 1,71,1000000195,227,
206,,Spot,1,Image 1,71,1000000192,228,
212,,Spot,1,Image 1,71,1000000198,229,
216,,Spot,1,Image 1,72,1000000195,230,
232,,Spot,1,Image 1,72,1000000192,231,
214,,Spot,1,Image 1,72,1000000198,232,
204,,Spot,1,Image 1,73,1000000195,233,
212,,Spot,1,Image 1,73,1000000192,234,
210,,Spot,1,Image 1,73,1000000198,235,
210,,Spot,1,Image 1,74,1000000195,236,
216,,Spot,1,Image 1,74,1000000192,237,
198,,Spot,1,Image 1,74,1000000198,238,
204,,Spot,1,Image 1,75,1000000195,239,
198,,Spot,1,Image 1,75,1000000192,240,
192,,Spot,1,Image 1,75,1000000198,241,
196,,Spot,1,Image 1,76,1000000195,242,
208,,Spot,1,Image 1,76,1000000192,243,
208,,Spot,1,Image 1,76,1000000198,244,
214,,Spot,1,Image 1,77,1000000195,245,
212,,Spot,1,Image 1,77,1000000192,246,
196,,Spot,1,Image 1,77,1000000198,247,
208,,Spot,1,Image 1,78,1000000195,248,
190,,Spot,1,Image 1,78,1000000192,249,
210,,Spot,1,Image 1,78,1000000198,250,
200,,Spot,1,Image 1,79,1000000195,251,
208,,Spot,1,Image 1,79,1000000192,252,
208,,Spot,1,Image 1,79,1000000198,253,
202,,Spot,1,Image 1,80,1000000195,254,
216,,Spot,1,Image 1,81,1000000195,255,
216,,Spot,1,Image 1,82,1000000195,256,
196,,Spot,1,Image 1,83,1000000195,257,
218,,Spot,1,Image 1,84,1000000195,258,
212,,Spot,1,Image 1,85,1000000195,259,
200,,Spot,1,Image 1,86,1000000195,260,
196,,Spot,1,Image 1,92,1000000261,261,
210,,Spot,1,Image 1,93,1000000261,262,
202,,Spot,1,Image 1,94,1000000261,263,
216,,Spot,1,Image 1,95,1000000261,264,
214,,Spot,1,Image 1,96,1000000261,265,
202,,Spot,1,Image 1,97,1000000261,266,
228,,Spot,1,Image 1,98,1000000261,267,
206,,Spot,1,Image 1,99,1000000261,268,
198,,Spot,1,Image 1,100,1000000261,269,
198,,Spot,1,Image 1,101,1000000261,270,
192,,Spot,1,Image 1,102,1000000261,271,
200,,Spot,1,Image 1,103,1000000261,272,
208,,Spot,1,Image 1,104,1000000261,273,
200,,Spot,1,Image 1,105,1000000261,274,
220,,Spot,1,Image 1,106,1000000261,275,
208,,Spot,1,Image 1,107,1000000261,276,
202,,Spot,1,Image 1,111,1000000277,277,
198,,Spot,1,Image 1,112,1000000277,278,
196,,Spot,1,Image 1,113,1000000277,279,
212,,Spot,1,Image 1,114,1000000277,280,
204,,Spot,1,Image 1,115,1000000277,281,
206,,Spot,1,Image 1,116,1000000277,282,
202,,Spot,1,Image 1,117,1000000277,283,
202,,Spot,1,Image 1,118,1000000277,284,
190,,Spot,1,Image 1,119,1000000277,285,
196,,Spot,1,Image 1,120,1000000277,286,
212,,Spot,1,Image 1,121,1000000277,287,
240,,Spot,1,Image 1,122,1000000277,288,
202,,Spot,1,Image 1,123,1000000277,289,
206,,Spot,1,Image 1,124,1000000277,290,
232,,Spot,1,Image 1,125,1000000277,291,
192,,Spot,1,Image 1,126,1000000292,292,
202,,Spot,1,Image 1,127,1000000292,293,
204,,Spot,1,Image 1,128,1000000292,294,
218,,Spot,1,Image 1,129,1000000292,295,
196,,Spot,1,Image 1,130,1000000292,296,
200,,Spot,1,Image 1,131,1000000292,297,
218,,Spot,1,Image 1,132,1000000292,298,
200,,Spot,1,Image 1,133,1000000292,299,
228,,Spot,1,Image 1,134,1000000292,300,
218,,Spot,1,Image 1,135,1000000292,301,
200,,Spot,1,Image 1,136,1000000292,302,
204,,Spot,1,Image 1,137,1000000292,303,
222,,Spot,1,Image 1,138,1000000292,304,
204,,Spot,1,Image 1,139,1000000292,305,
206,,Spot,1,Image 1,140,1000000292,306,
192,,Spot,1,Image 1,140,1000000307,307,
210,,Spot,1,Image 1,141,1000000292,308,
204,,Spot,1,Image 1,141,1000000307,309,
206,,Spot,1,Image 1,142,1000000292,310,
206,,Spot,1,Image 1,142,1000000307,311,
206,,Spot,1,Image 1,143,1000000292,312,
206,,Spot,1,Image 1,143,1000000307,313,
200,,Spot,1,Image 1,144,1000000292,314,
200,,Spot,1,Image 1,144,1000000307,315,
198,,Spot,1,Image 1,145,1000000292,316,
222,,Spot,1,Image 1,145,1000000307,317,
204,,Spot,1,Image 1,146,1000000292,318,
200,,Spot,1,Image 1,146,1000000307,319,
202,,Spot,1,Image 1,147,1000000292,320,
226,,Spot,1,Image 1,147,1000000307,321,
210,,Spot,1,Image 1,148,1000000292,322,
220,,Spot,1,Image 1,148,1000000307,323,
208,,Spot,1,Image 1,149,1000000292,324,
214,,Spot,1,Image 1,149,1000000307,325,
208,,Spot,1,Image 1,150,1000000292,326,
212,,Spot,1,Image 1,150,1000000307,327,
212,,Spot,1,Image 1,151,1000000292,328,
200,,Spot,1,Image 1,151,1000000307,329,
210,,Spot,1,Image 1,151,1000000330,330,
206,,Spot,1,Image 1,152,1000000330,331,
200,,Spot,1,Image 1,153,1000000330,332,
204,,Spot,1,Image 1,154,1000000330,333,
200,,Spot,1,Image 1,155,1000000330,334,
200,,Spot,1,Image 1,156,1000000330,335,
202,,Spot,1,Image 1,157,1000000330,336,
200,,Spot,1,Image 1,158,1000000330,337,
208,,Spot,1,Image 1,159,1000000330,338,
192,,Spot,1,Image 1,160,1000000330,339,
188,,Spot,1,Image 1,161,1000000330,340,
212,,Spot,1,Image 1,162,1000000330,341,
198,,Spot,1,Image 1,243,1000000371,371,
202,,Spot,1,Image 1,244,1000000372,372,
196,,Spot,1,Image 1,244,1000000371,373,
194,,Spot,1,Image 1,244,1000000401,401,
206,,Spot,1,Image 1,245,1000000372,402,
212,,Spot,1,Image 1,245,1000000371,403,
198,,Spot,1,Image 1,245,1000000401,404,
212,,Spot,1,Image 1,246,1000000372,405,
204,,Spot,1,Image 1,246,1000000371,406,
198,,Spot,1,Image 1,246,1000000401,407,
206,,Spot,1,Image 1,247,1000000372,408,
198,,Spot,1,Image 1,247,1000000371,409,
208,,Spot,1,Image 1,247,1000000401,410,
216,,Spot,1,Image 1,248,1000000372,411,
208,,Spot,1,Image 1,248,1000000371,412,
194,,Spot,1,Image 1,248,1000000401,413,
198,,Spot,1,Image 1,249,1000000372,414,
200,,Spot,1,Image 1,249,1000000371,415,
202,,Spot,1,Image 1,249,1000000401,416,
198,,Spot,1,Image 1,250,1000000372,417,
208,,Spot,1,Image 1,250,1000000371,418,
212,,Spot,1,Image 1,250,1000000401,419,
218,,Spot,1,Image 1,251,1000000372,420,
218,,Spot,1,Image 1,251,1000000371,421,
198,,Spot,1,Image 1,251,1000000401,422,
208,,Spot,1,Image 1,252,1000000372,423,
208,,Spot,1,Image 1,252,1000000371,424,
222,,Spot,1,Image 1,252,1000000401,425,
196,,Spot,1,Image 1,253,1000000372,426,
218,,Spot,1,Image 1,253,1000000371,427,
210,,Spot,1,Image 1,253,1000000401,428,
206,,Spot,1,Image 1,254,1000000372,429,
208,,Spot,1,Image 1,254,1000000371,430,
212,,Spot,1,Image 1,254,1000000401,431,
188,,Spot,1,Image 1,255,1000000372,432,
202,,Spot,1,Image 1,255,1000000371,433,
202,,Spot,1,Image 1,255,1000000401,434,
200,,Spot,1,Image 1,256,1000000371,435,
200,,Spot,1,Image 1,256,1000000401,436,
196,,Spot,1,Image 1,257,1000000371,437,
214,,Spot,1,Image 1,257,1000000401,438,
218,,Spot,1,Image 1,258,1000000371,439,
208,,Spot,1,Image 1,258,1000000401,440,
206,,Spot,1,Image 1,259,1000000371,441,
220,,Spot,1,Image 1,259,1000000401,442,
200,,Spot,1,Image 1,260,1000000371,443,
216,,Spot,1,Image 1,260,1000000401,444,
198,,Spot,1,Image 1,261,1000000371,445,
206,,Spot,1,Image 1,261,1000000401,446,
222,,Spot,1,Image 1,262,1000000371,447,
214,,Spot,1,Image 1,262,1000000401,448,
190,,Spot,1,Image 1,263,1000000371,449,
216,,Spot,1,Image 1,263,1000000401,450,
222,,Spot,1,Image 1,264,1000000371,451,
208,,Spot,1,Image 1,264,1000000401,452,
214,,Spot,1,Image 1,265,1000000401,453,
208,,Spot,1,Image 1,265,1000000371,454,
202,,Spot,1,Image 1,266,1000000401,455,
192,,Spot,1,Image 1,343,1000000456,456,
186,,Spot,1,Image 1,344,1000000456,457,
