
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
198.04,,Spot,1,Image 1,28,1000000051,51,
198.016,,Spot,1,Image 1,29,1000000051,52,
198,,Spot,1,Image 1,30,1000000051,53,
202.032,,Spot,1,Image 1,31,1000000051,54,
202,,Spot,1,Image 1,32,1000000051,55,
200.016,,Spot,1,Image 1,33,1000000051,56,
203.992,,Spot,1,Image 1,34,1000000051,57,
201.968,,Spot,1,Image 1,35,1000000051,58,
200,,Spot,1,Image 1,36,1000000051,59,
204.032,,Spot,1,Image 1,37,1000000051,60,
203.984,,Spot,1,Image 1,38,1000000051,61,
202,,Spot,1,Image 1,39,1000000051,62,
200,,Spot,1,Image 1,40,1000000051,63,
200.04,,Spot,1,Image 1,41,1000000051,64,
199.984,,Spot,1,Image 1,42,1000000051,65,
204.008,,Spot,1,Image 1,43,1000000051,66,
202.04,,Spot,1,Image 1,44,1000000051,67,
205.984,,Spot,1,Image 1,45,1000000051,68,
202.016,,Spot,1,Image 1,46,1000000051,69,
202,,Spot,1,Image 1,47,1000000051,70,
202.016,,Spot,1,Image 1,48,1000000051,71,
204.016,,Spot,1,Image 1,49,1000000051,72,
206.032,,Spot,1,Image 1,50,1000000051,73,
202,,Spot,1,Image 1,51,1000000051,74,
203.984,,Spot,1,Image 1,52,1000000051,75,
203.986,,Spot,1,Image 1,53,1000000051,76,
203.984,,Spot,1,Image 1,54,1000000051,77,
197.992,,Spot,1,Image 1,54,1000000094,94,
198,,Spot,1,Image 1,55,1000000094,95,
204.02,,Spot,1,Image 1,55,1000000051,181,
201.984,,Spot,1,Image 1,56,1000000094,182,
206,,Spot,1,Image 1,56,1000000051,183,
199.968,,Spot,1,Image 1,57,1000000094,184,
201.98,,Spot,1,Image 1,57,1000000051,185,
204,,Spot,1,Image 1,58,1000000094,186,
205.952,,Spot,1,Image 1,58,1000000051,187,
204,,Spot,1,Image 1,59,1000000094,188,
206.02,,Spot,1,Image 1,59,1000000051,189,
212.008,,Spot,1,Image 1,60,1000000094,190,
208.048,,Spot,1,Image 1,60,1000000051,191,
204,,Spot,1,Image 1,61,1000000192,192,
219.964,,Spot,1,Image 1,61,1000000094,193,
213.968,,Spot,1,Image 1,61,1000000051,194,
202.008,,Spot,1,Image 1,62,1000000195,195,
222.08,,Spot,1,Image 1,62,1000000094,196,
204.016,,Spot,1,Image 1,62,1000000192,197,
203.939,,Spot,1,Image 1,62,1000000198,198,
207.988,,Spot,1,Image 1,62,1000000051,199,
202.04,,Spot,1,Image 1,63,1000000195,200,
210.048,,Spot,1,Image 1,63,1000000094,201,
210.024,,Spot,1,Image 1,63,1000000192,202,
210.102,,Spot,1,Image 1,63,1000000198,203,
207.964,,Spot,1,Image 1,63,1000000051,204,
204.016,,Spot,1,Image 1,64,1000000195,205,
209.96,,Spot,1,Image 1,64,1000000094,206,
212.08,,Spot,1,Image 1,64,1000000192,207,
209.984,,Spot,1,Image 1,64,1000000198,208,
197.936,,Spot,1,Image 1,65,1000000195,209,
208.01,,Spot,1,Image 1,65,1000000192,210,
202.1,,Spot,1,Image 1,65,1000000198,211,
200.04,,Spot,1,Image 1,66,1000000195,212,
207.903,,Spot,1,Image 1,66,1000000192,213,
201.94,,Spot,1,Image 1,66,1000000198,214,
201.952,,Spot,1,Image 1,67,1000000195,215,
209.976,,Spot,1,Image 1,67,1000000192,216,
204.102,,Spot,1,Image 1,67,1000000198,217,
204,,Spot,1,Image 1,68,1000000195,218,
213.934,,Spot,1,Image 1,68,1000000192,219,
205.931,,Spot,1,Image 1,68,1000000198,220,
203.952,,Spot,1,Image 1,69,1000000195,221,
214.008,,Spot,1,Image 1,69,1000000192,222,
207.952,,Spot,1,Image 1,69,1000000198,223,
206.04,,Spot,1,Image 1,70,1000000195,224,
213.993,,Spot,1,Image 1,70,1000000192,225,
206.024,,Spot,1,Image 1,70,1000000198,226,
206.004,,Spot,1,Image 1,71,1000000195,227,
214.012,,Spot,1,Image 1,71,1000000192,228,
206.1,,Spot,1,Image 1,71,1000000198,229,
208.036,,Spot,1,Image 1,72,1000000195,230,
212.016,,Spot,1,Image 1,72,1000000192,231,
205.968,,Spot,1,Image 1,72,1000000198,232,
210.036,,Spot,1,Image 1,73,1000000195,233,
216.008,,Spot,1,Image 1,73,1000000192,234,
208.048,,Spot,1,Image 1,73,1000000198,235,
209.988,,Spot,1,Image 1,74,1000000195,236,
210.087,,Spot,1,Image 1,74,1000000192,237,
207.968,,Spot,1,Image 1,74,1000000198,238,
206.032,,Spot,1,Image 1,75,1000000195,239,
207.952,,Spot,1,Image 1,75,1000000192,240,
204.04,,Spot,1,Image 1,75,1000000198,241,
205.984,,Spot,1,Image 1,76,1000000195,242,
212,,Spot,1,Image 1,76,1000000192,243,
206.048,,Spot,1,Image 1,76,1000000198,244,
206.02,,Spot,1,Image 1,77,1000000195,245,
210.024,,Spot,1,Image 1,77,1000000192,246,
208.016,,Spot,1,Image 1,77,1000000198,247,
206.032,,Spot,1,Image 1,78,1000000195,248,
208.032,,Spot,1,Image 1,78,1000000192,249,
206.032,,Spot,1,Image 1,78,1000000198,250,
206.04,,Spot,1,Image 1,79,1000000195,251,
209.984,,Spot,1,Image 1,79,1000000192,252,
211.968,,Spot,1,Image 1,79,1000000198,253,
207.984,,Spot,1,Image 1,80,1000000195,254,
208,,Spot,1,Image 1,81,1000000195,255,
205.968,,Spot,1,Image 1,82,1000000195,256,
204.032,,Spot,1,Image 1,83,1000000195,257,
205.984,,Spot,1,Image 1,84,1000000195,258,
206.048,,Spot,1,Image 1,85,1000000195,259,
205.976,,Spot,1,Image 1,86,1000000195,260,
200.016,,Spot,1,Image 1,92,1000000261,261,
201.984,,Spot,1,Image 1,93,1000000261,262,
204,,Spot,1,Image 1,94,1000000261,263,
209.984,,Spot,1,Image 1,95,1000000261,264,
206.04,,Spot,1,Image 1,96,1000000261,265,
209.992,,Spot,1,Image 1,97,1000000261,266,
208.02,,Spot,1,Image 1,98,1000000261,267,
205.992,,Spot,1,Image 1,99,1000000261,268,
204.048,,Spot,1,Image 1,100,1000000261,269,
204.016,,Spot,1,Image 1,101,1000000261,270,
199.984,,Spot,1,Image 1,102,1000000261,271,
200,,Spot,1,Image 1,103,1000000261,272,
204.028,,Spot,1,Image 1,104,1000000261,273,
200.012,,Spot,1,Image 1,105,1000000261,274,
199.984,,Spot,1,Image 1,106,1000000261,275,
203.984,,Spot,1,Image 1,107,1000000261,276,
204.012,,Spot,1,Image 1,111,1000000277,277,
210.032,,Spot,1,Image 1,112,1000000277,278,
207.976,,Spot,1,Image 1,113,1000000277,279,
207.976,,Spot,1,Image 1,114,1000000277,280,
210.04,,Spot,1,Image 1,115,1000000277,281,
207.976,,Spot,1,Image 1,116,1000000277,282,
205.992,,Spot,1,Image 1,117,1000000277,283,
210.02,,Spot,1,Image 1,118,1000000277,284,
210,,Spot,1,Image 1,119,1000000277,285,
