
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
4.54302,22.0802,22.75,µm,Spot,Position,28,1000000051,51,
5.87071,22.7863,22.75,µm,Spot,Position,29,1000000051,52,
7.17663,22.7223,22.75,µm,Spot,Position,30,1000000051,53,
7.86007,22.8372,22.25,µm,Spot,Position,31,1000000051,54,
6.89571,23.0335,21.75,µm,Spot,Position,32,1000000051,55,
6.61847,22.823,23.25,µm,Spot,Position,33,1000000051,56,
6.57019,23.1612,21.75,µm,Spot,Position,34,1000000051,57,
6.69928,22.9626,24.25,µm,Spot,Position,35,1000000051,58,
8.07042,23.0903,20.25,µm,Spot,Position,36,1000000051,59,
9.0074,23.6685,24.0539,µm,Spot,Position,37,1000000051,60,
8.57589,22.3803,24.25,µm,Spot,Position,38,1000000051,61,
10.7494,22.6246,21.75,µm,Spot,Position,39,1000000051,62,
12.0555,21.8273,19.75,µm,Spot,Position,40,1000000051,63,
11.8359,22.4006,19.75,µm,Spot,Position,41,1000000051,64,
13.0665,23.5904,21.4546,µm,Spot,Position,42,1000000051,65,
12.8206,23.0079,22.25,µm,Spot,Position,43,1000000051,66,
12.4436,23.678,23.75,µm,Spot,Position,44,1000000051,67,
13.3207,22.9655,22.75,µm,Spot,Position,45,1000000051,68,
13.4325,23.445,23.75,µm,Spot,Position,46,1000000051,69,
12.8739,22.8603,22.75,µm,Spot,Position,47,1000000051,70,
12.4268,22.9366,21.75,µm,Spot,Position,48,1000000051,71,
12.8184,22.9663,21.25,µm,Spot,Position,49,1000000051,72,
12.7645,22.973,22.75,µm,Spot,Position,50,1000000051,73,
13.1549,22.8487,21.25,µm,Spot,Position,51,1000000051,74,
13.4406,22.9927,20.75,µm,Spot,Position,52,1000000051,75,
13.8294,23.1062,22.25,µm,Spot,Position,53,1000000051,76,
13.7777,23.143,21.75,µm,Spot,Position,54,1000000051,77,
9.3465,26.5492,11.1185,µm,Spot,Position,54,1000000094,94,
9.5325,26.3456,10.9257,µm,Spot,Position,55,1000000094,95,
13.6067,22.8315,22.3144,µm,Spot,Position,55,1000000051,181,
9.8115,26.2724,11.4863,µm,Spot,Position,56,1000000094,182,
13.3949,22.5525,21.8624,µm,Spot,Position,56,1000000051,183,
9.9975,25.3681,12.6965,µm,Spot,Position,57,1000000094,184,
13.3693,22.3665,22.0483,µm,Spot,Position,57,1000000051,185,
10.2765,24.9391,13.1609,µm,Spot,Position,58,1000000094,186,
