
Shortest Distance to Spots Spots=Cell-Soma
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
24.9897,µm,Spot,Cell-Soma,28,1000000051,51,
23.9696,µm,Spot,Cell-Soma,29,1000000051,52,
22.9395,µm,Spot,Cell-Soma,30,1000000051,53,
19.5002,µm,Spot,Cell-Soma,31,1000000051,54,
17.2873,µm,Spot,Cell-Soma,32,1000000051,55,
15.5417,µm,Spot,Cell-Soma,33,1000000051,56,
15.1821,µm,Spot,Cell-Soma,34,1000000051,57,
15.376,µm,Spot,Cell-Soma,35,1000000051,58,
13.0053,µm,Spot,Cell-Soma,36,1000000051,59,
12.9168,µm,Spot,Cell-Soma,37,1000000051,60,
13.5444,µm,Spot,Cell-Soma,38,1000000051,61,
12.3525,µm,Spot,Cell-Soma,39,1000000051,62,
7.82376,µm,Spot,Cell-Soma,40,1000000051,63,
7.65688,µm,Spot,Cell-Soma,41,1000000051,64,
7.50544,µm,Spot,Cell-Soma,42,1000000051,65,
7.82098,µm,Spot,Cell-Soma,43,1000000051,66,
11.1443,µm,Spot,Cell-Soma,44,1000000051,67,
10.1311,µm,Spot,Cell-Soma,45,1000000051,68,
10.0292,µm,Spot,Cell-Soma,46,1000000051,69,
10.4102,µm,Spot,Cell-Soma,47,1000000051,70,
10.9889,µm,Spot,Cell-Soma,48,1000000051,71,
10.2553,µm,Spot,Cell-Soma,49,1000000051,72,
10.9007,µm,Spot,Cell-Soma,50,1000000051,73,
10.3932,µm,Spot,Cell-Soma,51,1000000051,74,
8.59716,µm,Spot,Cell-Soma,52,1000000051,75,
7.90985,µm,Spot,Cell-Soma,53,1000000051,76,
8.21655,µm,Spot,Cell-Soma,54,1000000051,77,
16.2208,µm,Spot,Cell-Soma,54,1000000094,94,
16.7286,µm,Spot,Cell-Soma,55,1000000094,95,
9.01735,µm,Spot,Cell-Soma,55,1000000051,181,
15.9637,µm,Spot,Cell-Soma,56,1000000094,182,
8.01056,µm,Spot,Cell-Soma,56,1000000051,183,
14.2194,µm,Spot,Cell-Soma,57,1000000094,184,
5.70803,µm,Spot,Cell-Soma,57,1000000051,185,
12.8123,µm,Spot,Cell-Soma,58,1000000094,186,
6.61027,µm,Spot,Cell-Soma,58,1000000051,187,
11.8287,µm,Spot,Cell-Soma,59,1000000094,188,
4.32896,µm,Spot,Cell-Soma,59,1000000051,189,
11.9444,µm,Spot,Cell-Soma,60,1000000094,190,
5.8392,µm,Spot,Cell-Soma,60,1000000051,191,
18.1327,µm,Spot,Cell-Soma,61,1000000192,192,
10.7139,µm,Spot,Cell-Soma,61,1000000094,193,
4.42279,µm,Spot,Cell-Soma,61,1000000051,194,
14.2117,µm,Spot,Cell-Soma,62,1000000195,195,
11.2378,µm,Spot,Cell-Soma,62,1000000094,196,
18.2513,µm,Spot,Cell-Soma,62,1000000192,197,
17.9424,µm,Spot,Cell-Soma,62,1000000198,198,
4.85291,µm,Spot,Cell-Soma,62,1000000051,199,
13.2349,µm,Spot,Cell-Soma,63,1000000195,200,
6.24963,µm,Spot,Cell-Soma,63,1000000094,201,
12.1461,µm,Spot,Cell-Soma,63,1000000192,202,
12.5497,µm,Spot,Cell-Soma,63,1000000198,203,
3.67255,µm,Spot,Cell-Soma,63,1000000051,204,
14.4845,µm,Spot,Cell-Soma,64,1000000195,205,
4.04054,µm,Spot,Cell-Soma,64,1000000094,206,
10.7049,µm,Spot,Cell-Soma,64,1000000192,207,
10.9529,µm,Spot,Cell-Soma,64,1000000198,208,
14.0926,µm,Spot,Cell-Soma,65,1000000195,209,
11.4778,µm,Spot,Cell-Soma,65,1000000192,210,
12.3364,µm,Spot,Cell-Soma,65,1000000198,211,
14.1285,µm,Spot,Cell-Soma,66,1000000195,212,
10.2632,µm,Spot,Cell-Soma,66,1000000192,213,
10.7161,µm,Spot,Cell-Soma,66,1000000198,214,
14.1069,µm,Spot,Cell-Soma,67,1000000195,215,
10.4442,µm,Spot,Cell-Soma,67,1000000192,216,
10.2037,µm,Spot,Cell-Soma,67,1000000198,217,
14.0739,µm,Spot,Cell-Soma,68,1000000195,218,
8.7812,µm,Spot,Cell-Soma,68,1000000192,219,
9.61018,µm,Spot,Cell-Soma,68,1000000198,220,
13.3011,µm,Spot,Cell-Soma,69,1000000195,221,
8.25048,µm,Spot,Cell-Soma,69,1000000192,222,
9.13791,µm,Spot,Cell-Soma,69,1000000198,223,
13.1348,µm,Spot,Cell-Soma,70,1000000195,224,
7.99344,µm,Spot,Cell-Soma,70,1000000192,225,
9.01744,µm,Spot,Cell-Soma,70,1000000198,226,
10.9062,µm,Spot,Cell-Soma,71,1000000195,227,
8.05433,µm,Spot,Cell-Soma,71,1000000192,228,
9.54066,µm,Spot,Cell-Soma,71,1000000198,229,
9.01768,µm,Spot,Cell-Soma,72,1000000195,230,
8.02332,µm,Spot,Cell-Soma,72,1000000192,231,
5.64445,µm,Spot,Cell-Soma,72,1000000198,232,
8.97145,µm,Spot,Cell-Soma,73,1000000195,233,
8.39338,µm,Spot,Cell-Soma,73,1000000192,234,
5.95228,µm,Spot,Cell-Soma,73,1000000198,235,
8.78048,µm,Spot,Cell-Soma,74,1000000195,236,
8.18189,µm,Spot,Cell-Soma,74,1000000192,237,
4.98112,µm,Spot,Cell-Soma,74,1000000198,238,
8.77759,µm,Spot,Cell-Soma,75,1000000195,239,
7.32728,µm,Spot,Cell-Soma,75,1000000192,240,
6.41014,µm,Spot,Cell-Soma,75,1000000198,241,
7.24929,µm,Spot,Cell-Soma,76,1000000195,242,
6.15279,µm,Spot,Cell-Soma,76,1000000192,243,
5.85027,µm,Spot,Cell-Soma,76,1000000198,244,
7.51261,µm,Spot,Cell-Soma,77,1000000195,245,
5.82137,µm,Spot,Cell-Soma,77,1000000192,246,
5.31575,µm,Spot,Cell-Soma,77,1000000198,247,
6.84579,µm,Spot,Cell-Soma,78,1000000195,248,
5.04905,µm,Spot,Cell-Soma,78,1000000192,249,
4.62205,µm,Spot,Cell-Soma,78,1000000198,250,
5.99015,µm,Spot,Cell-Soma,79,1000000195,251,
5.11574,µm,Spot,Cell-Soma,79,1000000192,252,
4.08055,µm,Spot,Cell-Soma,79,1000000198,253,
5.79973,µm,Spot,Cell-Soma,80,1000000195,254,
5.0204,µm,Spot,Cell-Soma,81,1000000195,255,
4.851,µm,Spot,Cell-Soma,82,1000000195,256,
5.53905,µm,Spot,Cell-Soma,83,1000000195,257,
5.92759,µm,Spot,Cell-Soma,84,1000000195,258,
6.2184,µm,Spot,Cell-Soma,85,1000000195,259,
6.04944,µm,Spot,Cell-Soma,86,1000000195,260,
6.18889,µm,Spot,Cell-Soma,92,1000000261,261,
4.59295,µm,Spot,Cell-Soma,93,1000000261,262,
3.88448,µm,Spot,Cell-Soma,94,1000000261,263,
2.95169,µm,Spot,Cell-Soma,95,1000000261,264,
2.86005,µm,Spot,Cell-Soma,96,1000000261,265,
