
Shortest Distance to Spots Spots=Phagosomes Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
0,,Spot,Phagosomes Selection,28,1000000051,51,
12.0111,,Spot,Phagosomes Selection,54,1000000051,77,
0,,Spot,Phagosomes Selection,54,1000000094,94,
0,,Spot,Phagosomes Selection,61,1000000192,192,
7.58238,,Spot,Phagosomes Selection,61,1000000094,193,
14.5604,,Spot,Phagosomes Selection,61,1000000051,194,
0,,Spot,Phagosomes Selection,62,1000000195,195,
7.75105,,Spot,Phagosomes Selection,62,1000000094,196,
5.6938,,Spot,Phagosomes Selection,62,1000000192,197,
0,,Spot,Phagosomes Selection,62,1000000198,198,
14.5353,,Spot,Phagosomes Selection,62,1000000051,199,
0,,Spot,Phagosomes Selection,92,1000000261,261,
0,,Spot,Phagosomes Selection,111,1000000277,277,
0,,Spot,Phagosomes Selection,126,1000000292,292,
14.3675,,Spot,Phagosomes Selection,140,1000000292,306,
0,,Spot,Phagosomes Selection,140,1000000307,307,
15.9305,,Spot,Phagosomes Selection,151,1000000292,328,
13.5889,,Spot,Phagosomes Selection,151,1000000307,329,
0,,Spot,Phagosomes Selection,151,1000000330,330,
0,,Spot,Phagosomes Selection,243,1000000371,371,
0,,Spot,Phagosomes Selection,244,1000000372,372,
6.18499,,Spot,Phagosomes Selection,244,1000000371,373,
0,,Spot,Phagosomes Selection,244,1000000401,401,
0,,Spot,Phagosomes Selection,343,1000000456,456,
