
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
27,s,Spot,28,1000000051,51,
28,s,Spot,29,1000000051,52,
29,s,Spot,30,1000000051,53,
30,s,Spot,31,1000000051,54,
31,s,Spot,32,1000000051,55,
32,s,Spot,33,1000000051,56,
33,s,Spot,34,1000000051,57,
34,s,Spot,35,1000000051,58,
35,s,Spot,36,1000000051,59,
36,s,Spot,37,1000000051,60,
37,s,Spot,38,1000000051,61,
38,s,Spot,39,1000000051,62,
39,s,Spot,40,1000000051,63,
40,s,Spot,41,1000000051,64,
41,s,Spot,42,1000000051,65,
42,s,Spot,43,1000000051,66,
43,s,Spot,44,1000000051,67,
44,s,Spot,45,1000000051,68,
45,s,Spot,46,1000000051,69,
46,s,Spot,47,1000000051,70,
47,s,Spot,48,1000000051,71,
48,s,Spot,49,1000000051,72,
49,s,Spot,50,1000000051,73,
50,s,Spot,51,1000000051,74,
51,s,Spot,52,1000000051,75,
52,s,Spot,53,1000000051,76,
53,s,Spot,54,1000000051,77,
53,s,Spot,54,1000000094,94,
54,s,Spot,55,1000000094,95,
54,s,Spot,55,1000000051,181,
55,s,Spot,56,1000000094,182,
55,s,Spot,56,1000000051,183,
56,s,Spot,57,1000000094,184,
56,s,Spot,57,1000000051,185,
57,s,Spot,58,1000000094,186,
57,s,Spot,58,1000000051,187,
58,s,Spot,59,1000000094,188,
58,s,Spot,59,1000000051,189,
59,s,Spot,60,1000000094,190,
59,s,Spot,60,1000000051,191,
60,s,Spot,61,1000000192,192,
60,s,Spot,61,1000000094,193,
60,s,Spot,61,1000000051,194,
61,s,Spot,62,1000000195,195,
61,s,Spot,62,1000000094,196,
61,s,Spot,62,1000000192,197,
61,s,Spot,62,1000000198,198,
61,s,Spot,62,1000000051,199,
62,s,Spot,63,1000000195,200,
62,s,Spot,63,1000000094,201,
62,s,Spot,63,1000000192,202,
62,s,Spot,63,1000000198,203,
62,s,Spot,63,1000000051,204,
63,s,Spot,64,1000000195,205,
63,s,Spot,64,1000000094,206,
63,s,Spot,64,1000000192,207,
63,s,Spot,64,1000000198,208,
64,s,Spot,65,1000000195,209,
64,s,Spot,65,1000000192,210,
64,s,Spot,65,1000000198,211,
65,s,Spot,66,1000000195,212,
65,s,Spot,66,1000000192,213,
65,s,Spot,66,1000000198,214,
66,s,Spot,67,1000000195,215,
66,s,Spot,67,1000000192,216,
66,s,Spot,67,1000000198,217,
67,s,Spot,68,1000000195,218,
67,s,Spot,68,1000000192,219,
67,s,Spot,68,1000000198,220,
68,s,Spot,69,1000000195,221,
68,s,Spot,69,1000000192,222,
68,s,Spot,69,1000000198,223,
69,s,Spot,70,1000000195,224,
69,s,Spot,70,1000000192,225,
69,s,Spot,70,1000000198,226,
70,s,Spot,71,1000000195,227,
70,s,Spot,71,1000000192,228,
70,s,Spot,71,1000000198,229,
71,s,Spot,72,1000000195,230,
71,s,Spot,72,1000000192,231,
71,s,Spot,72,1000000198,232,
72,s,Spot,73,1000000195,233,
72,s,Spot,73,1000000192,234,
72,s,Spot,73,1000000198,235,
73,s,Spot,74,1000000195,236,
73,s,Spot,74,1000000192,237,
73,s,Spot,74,1000000198,238,
74,s,Spot,75,1000000195,239,
74,s,Spot,75,1000000192,240,
74,s,Spot,75,1000000198,241,
75,s,Spot,76,1000000195,242,
75,s,Spot,76,1000000192,243,
75,s,Spot,76,1000000198,244,
76,s,Spot,77,1000000195,245,
76,s,Spot,77,1000000192,246,
76,s,Spot,77,1000000198,247,
77,s,Spot,78,1000000195,248,
77,s,Spot,78,1000000192,249,
77,s,Spot,78,1000000198,250,
78,s,Spot,79,1000000195,251,
78,s,Spot,79,1000000192,252,
78,s,Spot,79,1000000198,253,
79,s,Spot,80,1000000195,254,
80,s,Spot,81,1000000195,255,
81,s,Spot,82,1000000195,256,
82,s,Spot,83,1000000195,257,
83,s,Spot,84,1000000195,258,
84,s,Spot,85,1000000195,259,
85,s,Spot,86,1000000195,260,
91,s,Spot,92,1000000261,261,
92,s,Spot,93,1000000261,262,
93,s,Spot,94,1000000261,263,
94,s,Spot,95,1000000261,264,
95,s,Spot,96,1000000261,265,
96,s,Spot,97,1000000261,266,
97,s,Spot,98,1000000261,267,
98,s,Spot,99,1000000261,268,
99,s,Spot,100,1000000261,269,
100,s,Spot,101,1000000261,270,
101,s,Spot,102,1000000261,271,
102,s,Spot,103,1000000261,272,
103,s,Spot,104,1000000261,273,
104,s,Spot,105,1000000261,274,
105,s,Spot,106,1000000261,275,
106,s,Spot,107,1000000261,276,
110,s,Spot,111,1000000277,277,
111,s,Spot,112,1000000277,278,
112,s,Spot,113,1000000277,279,
113,s,Spot,114,1000000277,280,
114,s,Spot,115,1000000277,281,
115,s,Spot,116,1000000277,282,
116,s,Spot,117,1000000277,283,
117,s,Spot,118,1000000277,284,
118,s,Spot,119,1000000277,285,
119,s,Spot,120,1000000277,286,
120,s,Spot,121,1000000277,287,
121,s,Spot,122,1000000277,288,
122,s,Spot,123,1000000277,289,
123,s,Spot,124,1000000277,290,
124,s,Spot,125,1000000277,291,
125,s,Spot,126,1000000292,292,
126,s,Spot,127,1000000292,293,
127,s,Spot,128,1000000292,294,
128,s,Spot,129,1000000292,295,
129,s,Spot,130,1000000292,296,
130,s,Spot,131,1000000292,297,
131,s,Spot,132,1000000292,298,
132,s,Spot,133,1000000292,299,
133,s,Spot,134,1000000292,300,
134,s,Spot,135,1000000292,301,
135,s,Spot,136,1000000292,302,
136,s,Spot,137,1000000292,303,
137,s,Spot,138,1000000292,304,
138,s,Spot,139,1000000292,305,
139,s,Spot,140,1000000292,306,
139,s,Spot,140,1000000307,307,
140,s,Spot,141,1000000292,308,
140,s,Spot,141,1000000307,309,
141,s,Spot,142,1000000292,310,
141,s,Spot,142,1000000307,311,
142,s,Spot,143,1000000292,312,
142,s,Spot,143,1000000307,313,
143,s,Spot,144,1000000292,314,
143,s,Spot,144,1000000307,315,
144,s,Spot,145,1000000292,316,
144,s,Spot,145,1000000307,317,
145,s,Spot,146,1000000292,318,
145,s,Spot,146,1000000307,319,
146,s,Spot,147,1000000292,320,
146,s,Spot,147,1000000307,321,
147,s,Spot,148,1000000292,322,
147,s,Spot,148,1000000307,323,
148,s,Spot,149,1000000292,324,
148,s,Spot,149,1000000307,325,
149,s,Spot,150,1000000292,326,
149,s,Spot,150,1000000307,327,
150,s,Spot,151,1000000292,328,
150,s,Spot,151,1000000307,329,
150,s,Spot,151,1000000330,330,
151,s,Spot,152,1000000330,331,
152,s,Spot,153,1000000330,332,
153,s,Spot,154,1000000330,333,
154,s,Spot,155,1000000330,334,
155,s,Spot,156,1000000330,335,
156,s,Spot,157,1000000330,336,
157,s,Spot,158,1000000330,337,
158,s,Spot,159,1000000330,338,
159,s,Spot,160,1000000330,339,
160,s,Spot,161,1000000330,340,
161,s,Spot,162,1000000330,341,
242,s,Spot,243,1000000371,371,
243,s,Spot,244,1000000372,372,
243,s,Spot,244,1000000371,373,
243,s,Spot,244,1000000401,401,
244,s,Spot,245,1000000372,402,
244,s,Spot,245,1000000371,403,
244,s,Spot,245,1000000401,404,
245,s,Spot,246,1000000372,405,
245,s,Spot,246,1000000371,406,
245,s,Spot,246,1000000401,407,
246,s,Spot,247,1000000372,408,
246,s,Spot,247,1000000371,409,
246,s,Spot,247,1000000401,410,
247,s,Spot,248,1000000372,411,
247,s,Spot,248,1000000371,412,
247,s,Spot,248,1000000401,413,
248,s,Spot,249,1000000372,414,
248,s,Spot,249,1000000371,415,
248,s,Spot,249,1000000401,416,
249,s,Spot,250,1000000372,417,
249,s,Spot,250,1000000371,418,
249,s,Spot,250,1000000401,419,
250,s,Spot,251,1000000372,420,
250,s,Spot,251,1000000371,421,
250,s,Spot,251,1000000401,422,
251,s,Spot,252,1000000372,423,
251,s,Spot,252,1000000371,424,
251,s,Spot,252,1000000401,425,
252,s,Spot,253,1000000372,426,
252,s,Spot,253,1000000371,427,
252,s,Spot,253,1000000401,428,
253,s,Spot,254,1000000372,429,
253,s,Spot,254,1000000371,430,
253,s,Spot,254,1000000401,431,
254,s,Spot,255,1000000372,432,
254,s,Spot,255,1000000371,433,
254,s,Spot,255,1000000401,434,
255,s,Spot,256,1000000371,435,
255,s,Spot,256,1000000401,436,
256,s,Spot,257,1000000371,437,
256,s,Spot,257,1000000401,438,
257,s,Spot,258,1000000371,439,
257,s,Spot,258,1000000401,440,
258,s,Spot,259,1000000371,441,
258,s,Spot,259,1000000401,442,
259,s,Spot,260,1000000371,443,
259,s,Spot,260,1000000401,444,
260,s,Spot,261,1000000371,445,
260,s,Spot,261,1000000401,446,
261,s,Spot,262,1000000371,447,
261,s,Spot,262,1000000401,448,
262,s,Spot,263,1000000371,449,
262,s,Spot,263,1000000401,450,
263,s,Spot,264,1000000371,451,
263,s,Spot,264,1000000401,452,
264,s,Spot,265,1000000401,453,
264,s,Spot,265,1000000371,454,
265,s,Spot,266,1000000401,455,
342,s,Spot,343,1000000456,456,
343,s,Spot,344,1000000456,457,
344,s,Spot,345,1000000456,458,
345,s,Spot,346,1000000456,459,
346,s,Spot,347,1000000456,460,
347,s,Spot,348,1000000456,461,
348,s,Spot,349,1000000456,462,
349,s,Spot,350,1000000456,463,
350,s,Spot,351,1000000456,464,
351,s,Spot,352,1000000456,465,
352,s,Spot,353,1000000456,466,
353,s,Spot,354,1000000456,467,
354,s,Spot,355,1000000456,468,
354,s,Spot,355,1000000469,469,
355,s,Spot,356,1000000456,470,
355,s,Spot,356,1000000469,471,
356,s,Spot,357,1000000456,472,
356,s,Spot,357,1000000469,473,
357,s,Spot,358,1000000456,474,
357,s,Spot,358,1000000469,475,
358,s,Spot,359,1000000456,476,
358,s,Spot,359,1000000469,477,
359,s,Spot,360,1000000456,478,
359,s,Spot,360,1000000469,479,
360,s,Spot,361,1000000456,480,
360,s,Spot,361,1000000469,481,
361,s,Spot,362,1000000456,482,
361,s,Spot,362,1000000469,483,
362,s,Spot,363,1000000469,484,
363,s,Spot,364,1000000469,485,
364,s,Spot,365,1000000469,486,
365,s,Spot,366,1000000469,487,
366,s,Spot,367,1000000469,488,
