
Track Diameter Mean
 ==================== 
Track Diameter Mean,Unit,Category,ID,
4.27333,,Track,1000000051,
4.27333,,Track,1000000094,
4.27333,,Track,1000000192,
4.27332,,Track,1000000195,
4.27333,,Track,1000000198,
4.27333,,Track,1000000261,
4.27333,,Track,1000000277,
4.27332,,Track,1000000292,
4.27333,,Track,1000000307,
4.27333,,Track,1000000330,
4.27333,,Track,1000000371,
4.27333,,Track,1000000372,
4.27333,,Track,1000000401,
4.27333,,Track,1000000456,
4.27333,,Track,1000000469,
4.27333,,Track,1000000496,
